names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SAP18,3.5546772,0.43851262,0.0003784433540294421,1.0,0.8981481481481481
KHDRBS1,3.436037,0.38504916,0.0005902900905236247,1.0,0.8981481481481481
DPYSL2,3.1361697,0.36914772,0.0017117019391930865,1.0,0.9537037037037037
POLR2K,2.9975364,0.40747854,0.002721714400411083,1.0,0.8240740740740741
NDUFA1,2.9659429,0.2955916,0.003017565057752481,1.0,0.9259259259259259
SEC13,2.9161549,0.59455293,0.0035437460511772516,1.0,0.5277777777777778
F11R,2.8943033,0.65562665,0.0038000101083835265,1.0,0.5370370370370371
EIF4E,2.7974548,0.4318979,0.005150698035784723,1.0,0.7129629629629629
APTX,2.7551904,0.76282793,0.005865800015484571,1.0,0.42592592592592593
IFNGR2,2.7376251,0.6199509,0.006188457272438584,1.0,0.5
TMEM14C,2.7326493,0.35771093,0.006282718610633109,1.0,0.8055555555555556
RAP2B,2.6646366,0.6896923,0.007707156258668602,1.0,0.42592592592592593
MRPL34,2.618985,0.5185157,0.00881918215545639,1.0,0.5833333333333334
MFSD14B,2.6004307,0.7062172,0.009310683960141267,1.0,0.4351851851851852
POLD4,2.592877,0.3378579,0.009517680417659958,1.0,0.8333333333333334
C1QBP,2.5779495,0.27338156,0.009938850352885208,1.0,0.9259259259259259
GNS,2.5710554,0.4149455,0.010138911577258594,1.0,0.6481481481481481
ELF1,2.5708456,0.538045,0.010145056225479152,1.0,0.5277777777777778
ACP1,2.5641313,0.4623733,0.010343443836425582,1.0,0.6111111111111112
DCXR,2.5504627,0.41653478,0.010758003350145989,1.0,0.6851851851851852
SDHD,2.5453072,0.53930306,0.01091816864086221,1.0,0.5092592592592593
TBC1D9B,2.515632,0.8274676,0.011881916400883479,1.0,0.35185185185185186
PICALM,2.4921618,0.69332117,0.012696818699641293,1.0,0.4166666666666667
NDUFC1,2.491802,0.29582986,0.012709683361207126,1.0,0.9351851851851852
PERP,2.4839187,0.35104772,0.012994546034422138,1.0,0.7870370370370371
WDR41,2.4761553,0.7438129,0.01328058089666406,1.0,0.37037037037037035
TSC22D3,2.4296343,0.42928624,0.015114058681005755,1.0,0.7037037037037037
VPS13C,2.4221408,0.38707384,0.01542937348337116,1.0,0.6666666666666666
NEDD8,2.4132082,0.21701849,0.01581278123678275,1.0,0.9814814814814815
RAD17,2.3844025,0.9729802,0.01710687972186009,1.0,0.2777777777777778
MRPS33,2.383893,0.43180323,0.017130584998244783,1.0,0.6296296296296297
FKBP14,2.3781378,0.42889836,0.017400322477399238,1.0,0.6111111111111112
