names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NECTIN2,2.9629028,0.5840666,0.0030475278751180496,1.0,0.5904761904761905
MAP1LC3B,2.8328474,0.5126145,0.004613540057368146,1.0,0.6761904761904762
RHOBTB3,2.7600808,0.48190758,0.005778705226130255,1.0,0.638095238095238
KIF2A,2.7468534,0.56737906,0.006017002874143751,1.0,0.5333333333333333
ANXA6,2.6889563,0.55742896,0.007167578481049443,1.0,0.6190476190476191
RPS27L,2.6108685,0.13312754,0.009031263446715431,1.0,0.9809523809523809
RSRC2,2.6009555,0.45050272,0.009296454302740707,1.0,0.7047619047619048
RNF181,2.5779364,0.37927073,0.009939227035998456,1.0,0.6857142857142857
ATP2B4,2.5361557,0.59514374,0.011207687152774495,1.0,0.5333333333333333
FNTA,2.5217726,0.5005828,0.01167651185070766,1.0,0.5904761904761905
ROMO1,2.502555,0.23138636,0.012330052539275875,1.0,0.9809523809523809
MAT2A,2.3887677,0.41209835,0.01690498373067772,1.0,0.6095238095238096
ATOX1,2.338047,0.20610513,0.019384804969564653,1.0,0.9809523809523809
PFDN5,2.3354928,0.18269515,0.019517690515261414,1.0,0.9904761904761905
DDX6,2.3289552,0.5330334,0.019861445367514278,1.0,0.5619047619047619
PPM1F,2.3265529,0.51821613,0.01998907681172111,1.0,0.5142857142857142
LYPLA1,2.2806973,0.24801652,0.022566355874711373,1.0,0.8285714285714286
CTTN,2.2723656,0.39019212,0.02306443520979965,1.0,0.5904761904761905
PRMT2,2.2609627,0.33276412,0.023761572544128366,1.0,0.7333333333333333
FAM3C,2.2556715,0.53824663,0.024091205281419583,1.0,0.5333333333333333
LYRM2,2.2445726,0.41741368,0.024795580027922776,1.0,0.580952380952381
MXD4,2.2384303,0.371606,0.0251930131967987,1.0,0.6476190476190476
RWDD1,2.227453,0.30614674,0.02591702020795669,1.0,0.9238095238095239
CFL1,2.186402,0.04047967,0.02878620819998154,1.0,0.9809523809523809
LTBR,2.1850033,0.49006537,0.02888861067476283,1.0,0.4857142857142857
RPN2,2.179621,0.22509949,0.02928556782037832,1.0,0.9047619047619048
PPP1CB,2.1559634,0.30666867,0.03108651550239459,1.0,0.7047619047619048
ITM2B,2.1545646,0.20266448,0.031195911806688938,1.0,0.9714285714285714
HDGFL3,2.1524665,0.38996637,0.03136062561302298,1.0,0.638095238095238
PTEN,2.1295388,0.44690928,0.03320970219424245,1.0,0.5523809523809524
PSMF1,2.1203861,0.42893776,0.03397350291915272,1.0,0.5619047619047619
CDH2,2.111294,0.47737986,0.034747047371845204,1.0,0.5333333333333333
PTPRA,2.087302,0.25136584,0.03686083990419455,1.0,0.8571428571428571
SUMO1,2.073588,0.3043725,0.03811759050815113,1.0,0.7523809523809524
NFE2L2,2.0728278,0.3510382,0.038188308322828365,1.0,0.6190476190476191
FNBP1L,2.0530322,0.5639922,0.04006946079143697,1.0,0.4380952380952381
CASP3,2.051086,0.64709085,0.04025857052938734,1.0,0.3619047619047619
SERINC3,2.0426934,0.28659058,0.04108279969722907,1.0,0.7619047619047619
KXD1,2.0421765,0.42704612,0.04113403148985826,1.0,0.5428571428571428
POP4,2.0395005,0.63980365,0.04140009738045288,1.0,0.38095238095238093
SNHG11,2.030591,0.811053,0.04229650433129209,1.0,0.29523809523809524
SEPTIN6,2.02308,0.31273335,0.0430648821259444,1.0,0.6666666666666666
CDC37,2.020313,0.24254484,0.04335092709027221,1.0,0.8380952380952381
PEA15,2.0187926,0.34757438,0.04350877683238134,1.0,0.6190476190476191
MBNL1,2.0142922,0.2728648,0.043978860301058846,1.0,0.7142857142857143
SMARCE1,1.9956217,0.28984407,0.04597511828503035,1.0,0.7333333333333333
LYRM1,1.9850397,0.6972952,0.047140058818777926,1.0,0.3523809523809524
ATL3,1.9835801,0.5485419,0.04730267221058129,1.0,0.44761904761904764
CMSS1,1.9835193,0.40184772,0.04730945799332866,1.0,0.6095238095238096
MRPL11,1.9772856,0.33389515,0.04800935621558813,1.0,0.5523809523809524
GYG1,1.9733933,0.5709471,0.0484507626922926,1.0,0.41904761904761906
SETD5,1.9583414,0.4632169,0.0501899699051217,1.0,0.45714285714285713
DNAJC7,1.9404918,0.37402126,0.052319947149651456,1.0,0.6
NBL1,1.938789,0.43839005,0.05252703988797915,1.0,0.5047619047619047
JUND,1.9301531,0.22959994,0.05358787403060436,1.0,0.8857142857142857
ZNF428,1.9248012,0.3988396,0.05425422748459686,1.0,0.6095238095238096
PALM2-AKAP2,1.9223077,0.20973013,0.05456704063963211,1.0,0.9238095238095239
UBE2V1,1.9202704,0.13675426,0.05482374735816681,1.0,0.9238095238095239
LRP10,1.9084417,0.35762894,0.05633415129322449,1.0,0.6
PHKB,1.9029074,0.43069956,0.05705262519380185,1.0,0.4380952380952381
COX6C,1.8817738,0.15321183,0.05986673278313716,1.0,0.9904761904761905
ZNF292,1.8788546,0.47973904,0.06026434428804178,1.0,0.37142857142857144
NT5C,1.8717695,0.39562118,0.06123849214995363,1.0,0.5523809523809524
NSA2,1.8669955,0.14837074,0.061902218395571265,1.0,0.9523809523809523
CAPZB,1.8668739,0.25150713,0.061919206085253004,1.0,0.8476190476190476
SOX4,1.8636506,0.3428939,0.062370787508614876,1.0,0.7428571428571429
TMEM245,1.8600017,0.56377906,0.06288529596389324,1.0,0.44761904761904764
RBBP5,1.8552884,0.9243709,0.0635550576957367,1.0,0.23809523809523808
SLU7,1.8512441,0.63843983,0.06413444433715028,1.0,0.3333333333333333
PCYT1A,1.8467437,0.57739836,0.06478429475222132,1.0,0.3523809523809524
BTN2A1,1.8453753,1.1115628,0.06498295814796216,1.0,0.21904761904761905
SELENOK,1.8429123,0.2905769,0.06534181862732974,1.0,0.6285714285714286
DNAJC25,1.8398715,1.0847754,0.0657871088220143,1.0,0.21904761904761905
DYNLL1,1.8370739,0.11234275,0.0661989820177902,1.0,0.9523809523809523
NDUFS2,1.8367394,0.34183288,0.06624836961417956,1.0,0.6666666666666666
TOP1,1.8342459,0.22039452,0.06661748903546263,1.0,0.8380952380952381
ASPH,1.8313876,0.25098956,0.06704270788925415,1.0,0.9238095238095239
AHSA1,1.8313572,0.39578667,0.06704724347687233,1.0,0.5142857142857142
TAL1,1.820319,1.1521978,0.06871042782870704,1.0,0.21904761904761905
TBCA,1.8195589,0.1341651,0.06882620924290703,1.0,0.9523809523809523
TRAF5,1.8167005,0.950212,0.06926298279959903,1.0,0.23809523809523808
NDUFB6,1.8149977,0.33678916,0.06952426867667295,1.0,0.6190476190476191
OGFOD1,1.8149065,0.6482964,0.06953828894370087,1.0,0.34285714285714286
BCCIP,1.810771,0.4414188,0.07017631656138999,1.0,0.44761904761904764
EXT1,1.8101932,0.25509676,0.07026583400195106,1.0,0.8476190476190476
PNISR,1.8080038,0.20106873,0.07060590860100617,1.0,0.7714285714285715
CPSF6,1.807122,0.5503922,0.07074326393137577,1.0,0.4
TIMM10,1.805115,0.31410593,0.07105668269846306,1.0,0.6095238095238096
EXOSC1,1.8039899,0.6285989,0.07123288456471598,1.0,0.3619047619047619
NSMCE1,1.8008275,0.55691487,0.07173007362512576,1.0,0.3904761904761905
MNAT1,1.7976042,0.39872906,0.07223974609557608,1.0,0.5238095238095238
CLNS1A,1.7966616,0.3098836,0.07238936045450266,1.0,0.6571428571428571
SPG7,1.7853802,0.5747939,0.07419966970879183,1.0,0.41904761904761906
DYNC1I2,1.7849848,0.19301264,0.07426376866866605,1.0,0.8285714285714286
DNAJB6,1.7800891,0.19906662,0.07506136650969532,1.0,0.7714285714285715
TIMM13,1.7735819,0.21163677,0.07613234148278915,1.0,0.9047619047619048
SNRNP27,1.7722439,0.511431,0.07635407956432665,1.0,0.44761904761904764
RPL22,1.7652197,0.07472916,0.0775268606110529,1.0,1.0
WDFY1,1.7648852,0.40371242,0.07758307132794136,1.0,0.47619047619047616
