names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
KIF13A,3.7742991,2.4397511,0.0001604580856218787,1.0,1.0
MAP1LC3B,3.2148137,1.6969726,0.001305291892924548,1.0,1.0
SNRPN,3.0327938,1.7921067,0.0024230107996367216,1.0,1.0
ZADH2,2.9678037,2.3818274,0.00299935820847045,1.0,0.8571428571428571
CPNE3,2.9523582,1.2957313,0.0031535693520314393,1.0,1.0
IFNAR1,2.815368,1.8485837,0.004872141334136592,1.0,0.8571428571428571
ZGPAT,2.7787738,2.9947195,0.00545644932756958,1.0,0.7142857142857143
DFFA,2.741467,1.9175912,0.006116551774572996,1.0,1.0
CDH5,2.6868134,1.1733259,0.007213723276853362,1.0,1.0
SNX27,2.6247935,2.478308,0.008670150838116201,1.0,0.7142857142857143
RRN3,2.621942,2.5502162,0.008743028124571764,1.0,0.7142857142857143
AGPAT5,2.6199224,1.569293,0.008794980225825455,1.0,0.8571428571428571
GET1,2.604952,1.8940235,0.00918871321959822,1.0,0.8571428571428571
SKA2,2.5760808,1.7855245,0.00999273224674799,1.0,0.8571428571428571
MTCL1,2.575843,2.4607527,0.009999601861441375,1.0,0.7142857142857143
COPB2,2.5568333,1.3858923,0.010562986675140372,1.0,1.0
NDUFA10,2.5401995,1.4093412,0.011078925747446353,1.0,0.8571428571428571
ASAH1,2.5227342,1.5959357,0.011644640432699156,1.0,0.8571428571428571
MBD5,2.520239,1.781552,0.011727514907986791,1.0,0.8571428571428571
UBE2G2,2.5195262,1.3731695,0.011751289226708277,1.0,1.0
CAMK2G,2.5169125,2.4447002,0.011838827880303862,1.0,0.7142857142857143
USP11,2.49814,2.3113844,0.012484685764477888,1.0,0.7142857142857143
DENND5A,2.4850707,2.3023117,0.012952569265939034,1.0,0.7142857142857143
C1orf50,2.4693875,2.281934,0.013534454399468916,1.0,0.7142857142857143
AC009107.2,2.4689124,2.2518477,0.01355244220993855,1.0,0.7142857142857143
EIF2AK2,2.4559617,1.5998274,0.014050808711890449,1.0,0.8571428571428571
SAR1A,2.4301796,1.5403421,0.015091341680536354,1.0,0.8571428571428571
ATP5MG,2.4219816,0.6614199,0.015436132276352677,1.0,1.0
STIP1,2.4193678,1.3304657,0.015547513811107892,1.0,0.8571428571428571
MRPL9,2.4022589,1.6369866,0.016294175587091498,1.0,0.8571428571428571
RSL1D1,2.372437,1.080918,0.017671175828802538,1.0,1.0
DMAC1,2.3624568,1.410435,0.018154256715853433,1.0,1.0
REV1,2.356041,2.1088896,0.018470880687400482,1.0,0.7142857142857143
SETD1A,2.3384569,3.4369328,0.01936356442076035,1.0,0.5714285714285714
C1orf43,2.3358428,1.2240511,0.019499429131561937,1.0,0.8571428571428571
HPCAL1,2.307328,1.2987479,0.02103653812844276,1.0,1.0
ABHD17A,2.302932,1.496082,0.021282668106886758,1.0,0.8571428571428571
PIAS3,2.2937834,2.0626633,0.021802937525849688,1.0,0.7142857142857143
DPM1,2.2752488,1.7243919,0.02289100665877162,1.0,0.7142857142857143
OSBPL6,2.2649121,3.070302,0.02351806806060548,1.0,0.5714285714285714
PRAG1,2.2533875,1.9909331,0.024234730815138963,1.0,0.7142857142857143
EDN1,2.236635,1.4572371,0.025310208426669235,1.0,0.8571428571428571
MFNG,2.2355657,1.4508622,0.02538023698445918,1.0,0.8571428571428571
NAA60,2.2350905,2.8963199,0.02541141456768506,1.0,0.5714285714285714
VEZT,2.2268925,1.5663673,0.02595446760780071,1.0,0.8571428571428571
ARHGEF12,2.219526,1.4272164,0.026450958109723994,1.0,0.8571428571428571
SNX1,2.212516,1.8054873,0.026931023042587515,1.0,0.7142857142857143
NMT1,2.2118032,1.2751893,0.026980261990529244,1.0,0.8571428571428571
GATB,2.2024171,2.8294935,0.027635858167706345,1.0,0.5714285714285714
CHURC1,2.196833,0.7680718,0.028032378803501276,1.0,0.8571428571428571
SIVA1,2.1889913,1.2346815,0.028597467821867964,1.0,1.0
PCBP4,2.1611893,2.782542,0.030680714501365596,1.0,0.5714285714285714
LAMTOR1,2.1573875,1.3391645,0.030975493406695056,1.0,1.0
DCAF7,2.1484766,1.1748772,0.03167592227522499,1.0,0.8571428571428571
CCN2,2.1434865,1.0408732,0.032074063123204974,1.0,0.8571428571428571
GTF3C1,2.141823,1.8202037,0.032207726402167236,1.0,0.7142857142857143
EIF3M,2.1390903,0.88558644,0.032428352314997314,1.0,0.8571428571428571
FAAP20,2.1314864,0.93871766,0.03304909342470587,1.0,1.0
LMNA,2.1276844,0.35527897,0.0333632594869976,1.0,0.8571428571428571
TIMM9,2.1262586,1.7793348,0.033481728762829,1.0,0.7142857142857143
USP22,2.117229,1.1574169,0.03424042197774488,1.0,0.8571428571428571
ILF3,2.1161597,1.0129645,0.0343312327593526,1.0,1.0
VPS26C,2.1142585,2.6407716,0.03449318233499149,1.0,0.5714285714285714
CCND3,2.112714,1.8539467,0.034625246515951495,1.0,0.7142857142857143
DCAF13,2.1085556,1.1945314,0.034982952503605245,1.0,0.8571428571428571
TUBB6,2.0928724,0.956347,0.036360538137428476,1.0,1.0
RAB3GAP1,2.0901399,1.6581601,0.0366052415456403,1.0,0.7142857142857143
RFK,2.0885952,1.3846924,0.03674417178949792,1.0,0.8571428571428571
SNHG25,2.083724,1.1253967,0.03718528212474638,1.0,0.8571428571428571
C12orf45,2.0708923,1.6462014,0.0383688633694614,1.0,0.7142857142857143
CPSF2,2.070417,1.4397055,0.03841330780044774,1.0,0.7142857142857143
SYPL1,2.0699418,1.0736122,0.03845779598454839,1.0,0.8571428571428571
ZNF337,2.0689912,2.52738,0.03854690374416341,1.0,0.5714285714285714
UBE2S,2.066021,1.2274036,0.038826497265157744,1.0,1.0
MFSD1,2.0511694,1.6283069,0.04025044292767561,1.0,0.7142857142857143
RBM18,2.0511694,1.7298616,0.04025044292767561,1.0,0.7142857142857143
EIF5B,2.0492685,0.74957955,0.040435866141833074,1.0,1.0
DCAF1,2.0490308,2.3437722,0.04045909488828698,1.0,0.5714285714285714
PPP2CA,2.0468922,1.2062254,0.04066866318615104,1.0,0.8571428571428571
ATP5PF,2.0466547,0.9775382,0.04069200524955023,1.0,1.0
POLR2J3,2.0234864,1.2703259,0.043023032946143444,1.0,0.8571428571428571
CDK11B,2.023011,2.476142,0.0430720063509016,1.0,0.5714285714285714
NR1H2,2.0217042,1.58567,0.0432069262135398,1.0,0.7142857142857143
POGK,2.015407,2.3654668,0.0438620107123703,1.0,0.5714285714285714
