names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
LOXL2,3.3150427,0.32245344,0.0009162914179307869,1.0,0.945054945054945
THSD4,3.2644165,0.5105249,0.001096898523614921,1.0,0.7582417582417582
NR2F6,3.1451435,0.8286361,0.001660053177279036,1.0,0.5274725274725275
HYI,3.0988996,0.57225096,0.0019424078202471761,1.0,0.7032967032967034
PPP2R5C,2.9981377,0.7783054,0.002716349949233711,1.0,0.5164835164835165
ATP5F1A,2.922198,0.3081189,0.003475703615920133,1.0,0.9120879120879121
TBCB,2.9168346,0.51791644,0.0035360320740049603,1.0,0.7032967032967034
ISY1,2.8155494,0.79213166,0.004869392829335404,1.0,0.46153846153846156
IGF2BP2,2.7577934,0.46479765,0.005819296129548284,1.0,0.7692307692307693
FHL3,2.7251873,1.1387734,0.006426504039899627,1.0,0.31868131868131866
ECE1,2.5593762,0.3353693,0.0104860200325981,1.0,0.8791208791208791
IFI27,2.5419447,0.16335353,0.011023758917557658,1.0,0.967032967032967
PPFIA1,2.5402768,0.7138004,0.011076475000835445,1.0,0.4725274725274725
SERPINB9,2.523107,0.63678396,0.011632297512672017,1.0,0.5494505494505495
SRRM2,2.520229,0.33929625,0.011727847555039491,1.0,0.9230769230769231
ZYX,2.4747047,0.47818604,0.013334639729127188,1.0,0.7912087912087912
FAM126A,2.4726443,0.4548018,0.013411756390901293,1.0,0.6263736263736264
CCDC43,2.4716632,0.6392532,0.013448616945808196,1.0,0.4725274725274725
RHOA,2.4707801,0.16751066,0.013481867959274436,1.0,0.9340659340659341
SRPK1,2.4625058,0.4150516,0.013796988892208917,1.0,0.6923076923076923
UBA2,2.4526293,0.57344806,0.01418164307804101,1.0,0.5604395604395604
TXN2,2.4289186,0.4568098,0.01514393279886621,1.0,0.6593406593406593
RIPOR1,2.4022646,0.6847374,0.016293920299474785,1.0,0.45054945054945056
KCNQ1OT1,2.38552,0.6394084,0.017054998641972432,1.0,0.5604395604395604
METRNL,2.3793714,0.7497343,0.017342188050417068,1.0,0.42857142857142855
PEPD,2.376003,0.73753625,0.017501322480936724,1.0,0.3626373626373626
VPS25,2.3626924,0.4367066,0.018142726515978726,1.0,0.6373626373626373
C1orf43,2.3305767,0.3997042,0.019775694908788777,1.0,0.6593406593406593
METRN,2.3273063,0.5163426,0.019948974170130883,1.0,0.5824175824175825
CXorf38,2.3229566,1.0331309,0.02018148832457356,1.0,0.31868131868131866
LTA4H,2.3183453,0.5801409,0.02043056729026385,1.0,0.5164835164835165
FAM91A1,2.3051653,0.64462316,0.021157314119316352,1.0,0.4945054945054945
B2M,2.3035955,0.11599057,0.021245357814750735,1.0,1.0
MPLKIP,2.2949617,0.45398408,0.021735324718473968,1.0,0.6593406593406593
CCN1,2.289369,0.3888259,0.022057912226840625,1.0,0.8571428571428571
PPIP5K2,2.2864912,0.6778496,0.022225539425280674,1.0,0.42857142857142855
LETM1,2.2826974,0.82293326,0.022448194430834224,1.0,0.38461538461538464
DAP3,2.2566648,0.47178313,0.02402902641417198,1.0,0.5934065934065934
FAM136A,2.2557163,0.40977687,0.02408839791720412,1.0,0.6263736263736264
