names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL8,4.009456,0.16795202,6.0858711640503456e-05,1.0,1.0
PARK7,3.2025032,0.32774964,0.0013623873692120464,1.0,0.9452054794520548
IER2,3.112277,0.5654347,0.001856502101624979,1.0,0.7808219178082192
MTX1,3.0610745,0.75631404,0.002205442821307755,1.0,0.589041095890411
DNAJC8,3.0539427,0.42315993,0.0022585528019280275,1.0,0.863013698630137
JUND,3.0176985,0.35305044,0.002547021831457532,1.0,0.863013698630137
POLR2A,2.9092953,0.75795645,0.003622445642887929,1.0,0.5616438356164384
PHLDA2,2.8826334,0.3783792,0.003943661916122743,1.0,0.8356164383561644
PPP1R14B,2.7570407,0.22028145,0.005832709661015613,1.0,0.8904109589041096
SURF4,2.7562726,0.7479151,0.005846424404444989,1.0,0.5342465753424658
PREPL,2.5854023,0.6853709,0.009726545313031887,1.0,0.5753424657534246
ITGA3,2.550365,0.54255813,0.010761018390423354,1.0,0.6575342465753424
C12orf10,2.5367963,0.71461433,0.011187201651657949,1.0,0.5205479452054794
RUVBL1,2.5212893,0.49909946,0.011692568977272296,1.0,0.7123287671232876
ACTG1,2.5151815,0.13571091,0.01189711114028852,1.0,1.0
PLP2,2.5060017,0.34798828,0.012210505800446463,1.0,0.7808219178082192
UBE2Q2,2.503917,0.77367675,0.012282686194882398,1.0,0.4520547945205479
EMD,2.447338,0.49786797,0.014391577598141489,1.0,0.6027397260273972
PLOD1,2.4450705,0.5144478,0.014482381700647452,1.0,0.6301369863013698
PUF60,2.4372072,0.5219007,0.014801192554589069,1.0,0.6712328767123288
TUBA1A,2.4339888,0.3771923,0.014933456137629085,1.0,0.8767123287671232
TMSB10,2.4267108,0.0973341,0.015236398444064521,1.0,1.0
LSM8,2.4153,0.4883889,0.01572225963597317,1.0,0.7123287671232876
UBR4,2.3742647,1.2018423,0.017583942212788566,1.0,0.3287671232876712
HMGN1,2.3329368,0.24596132,0.01965146087191132,1.0,0.9863013698630136
RPL27A,2.3015203,0.08873659,0.02136223483094436,1.0,1.0
NDUFV3,2.265313,0.44156906,0.023493489585637566,1.0,0.6301369863013698
HMGA1,2.248672,0.16866858,0.024533373185157366,1.0,0.958904109589041
TAF10,2.2451975,0.34605792,0.024755455434375347,1.0,0.821917808219178
PRMT1,2.2440639,0.39183444,0.024828300212058493,1.0,0.7123287671232876
CLEC14A,2.2340062,0.4384894,0.025482672272132283,1.0,0.7808219178082192
MRPS26,2.2332747,0.44123358,0.025530839770972945,1.0,0.684931506849315
DLGAP4,2.2286298,0.5306653,0.025838545380350998,1.0,0.5342465753424658
LDHB,2.2232902,0.13653114,0.026196243428252376,1.0,0.9452054794520548
NELFE,2.197323,0.55516446,0.02799738013658552,1.0,0.6164383561643836
MRPL41,2.1814868,0.300307,0.029147425962440524,1.0,0.9041095890410958
MAPK1IP1L,2.1633465,0.6943478,0.03051453907006505,1.0,0.4520547945205479
SNW1,2.1454623,0.4776808,0.03191591349148999,1.0,0.6027397260273972
GAL,2.1399763,1.2405151,0.03235669259111268,1.0,0.2602739726027397
SQLE,2.1359532,0.28194582,0.032683236078511556,1.0,0.9315068493150684
