names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
IL13RA2,3.0342433,0.5653021,0.0024113979518725925,1.0,0.8545454545454545
GHITM,2.9075916,0.5966334,0.0036422376824862125,1.0,0.8545454545454545
SEL1L3,2.8579183,0.9126782,0.004264301656062147,1.0,0.5454545454545454
MALAT1,2.8188381,0.30481896,0.004819781968716055,1.0,1.0
NEAT1,2.8049533,0.41728354,0.005032387815197416,1.0,1.0
ITGB1,2.78478,0.22395362,0.005356403441601644,1.0,1.0
FTL,2.7570527,0.16325027,0.0058324971123446,1.0,1.0
PTPN11,2.7397914,0.65415764,0.006147817775855557,1.0,0.6909090909090909
NUMB,2.7071683,0.6625163,0.006785983216486191,1.0,0.7090909090909091
SLC25A37,2.6601539,0.50183535,0.007810493746742494,1.0,0.8
G3BP2,2.6507425,0.5919172,0.008031501247055938,1.0,0.7636363636363637
ZNF24,2.6235638,0.9890699,0.00870151541530507,1.0,0.45454545454545453
GRN,2.6217067,0.4914642,0.00874906570688809,1.0,0.8
RTL8A,2.6050787,0.66961396,0.00918531442127963,1.0,0.6181818181818182
LEPROT,2.5645638,0.5361453,0.010330562846114185,1.0,0.7454545454545455
ATP6V0D1,2.5509741,0.8654635,0.010742227316777079,1.0,0.5454545454545454
ATM,2.5211787,0.6426265,0.011696242507767005,1.0,0.6545454545454545
CHP1,2.4953082,0.6929253,0.012584778621386872,1.0,0.6
DDX54,2.4760213,0.9356712,0.013285565983979704,1.0,0.4727272727272727
CLEC14A,2.4687202,0.49705017,0.013559722702850233,1.0,0.7454545454545455
FTH1,2.4548352,0.14834066,0.014094916597848225,1.0,1.0
BOP1,2.4504461,0.8955603,0.014267931398882543,1.0,0.4727272727272727
TIMP2,2.4078631,0.6026395,0.01604619847278465,1.0,0.6909090909090909
GABARAP,2.406639,0.3641194,0.016100068409303458,1.0,1.0
GNS,2.397059,0.64338756,0.016527260637485348,1.0,0.6545454545454545
RPL6,2.3763373,0.09731623,0.017485473100913817,1.0,1.0
EPRS,2.3736784,0.4720035,0.01761188054204554,1.0,0.8
DCUN1D5,2.3659554,0.5317966,0.017983617710241595,1.0,0.7636363636363637
ARL6IP4,2.3481033,0.33847764,0.01886928784309149,1.0,0.9454545454545454
PDIA3,2.3458242,0.3458646,0.018985053838634167,1.0,1.0
TUBGCP4,2.3167884,1.3241057,0.020515256158402596,1.0,0.32727272727272727
GYG1,2.3151848,0.7645618,0.020602822350147876,1.0,0.4909090909090909
ARL2,2.3062377,0.36990073,0.021097354891215475,1.0,0.9090909090909091
LINC00607,2.2859802,0.7888321,0.02225542069324096,1.0,0.4727272727272727
TLK2,2.285938,1.01178,0.022257889910112637,1.0,0.38181818181818183
EPAS1,2.2744586,0.6032298,0.022938424323248434,1.0,0.6909090909090909
DIS3,2.2677906,0.7440718,0.02334197604462788,1.0,0.509090909090909
ATP5MD,2.2619243,0.15253265,0.023702081055716247,1.0,0.9272727272727272
MRPL41,2.2608693,0.29988572,0.02376735701248527,1.0,0.8545454545454545
MMRN2,2.2576196,0.5909425,0.02396938778364401,1.0,0.6181818181818182
MARCH6,2.2121668,0.70481557,0.026955149703218897,1.0,0.5454545454545454
TIGAR,2.20993,0.77748185,0.02711002663688856,1.0,0.4909090909090909
COMMD6,2.206385,0.2875525,0.027357065265922586,1.0,0.9636363636363636
DNASE1L1,2.2000544,0.6854529,0.027803038447106045,1.0,0.5272727272727272
EIF3K,2.1862962,0.22056007,0.028793948755956356,1.0,0.9272727272727272
RTL8C,2.1633797,0.46652284,0.030511983486088867,1.0,0.7636363636363637
H2AFJ,2.159075,0.4416909,0.030844346946737475,1.0,0.8363636363636363
PHLDA3,2.152196,0.6818338,0.03138192860336178,1.0,0.5272727272727272
PHF20L1,2.1197839,0.46008787,0.03402428062743202,1.0,0.7272727272727273
TM9SF2,2.1124403,0.55285704,0.034648688141977926,1.0,0.6727272727272727
ATP6AP1,2.1110055,0.534527,0.034771835196022095,1.0,0.7090909090909091
GLOD4,2.096741,0.72112787,0.036016521883474144,1.0,0.4727272727272727
RBMS3,2.0934913,0.6472685,0.03630532832783837,1.0,0.509090909090909
ABI3BP,2.0918453,1.0506814,0.0364523584146424,1.0,0.4
KLHL5,2.086823,0.67516387,0.036904128664380476,1.0,0.509090909090909
HSD17B14,2.081379,1.5694436,0.03739924040151762,1.0,0.2545454545454545
CFL1,2.0813367,0.033071153,0.03740310045214531,1.0,0.9636363636363636
ATP1B3,2.078509,0.41897938,0.03766249741352329,1.0,0.8363636363636363
