names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
UBE2I,3.7915614,0.9304336,0.00014970320181400263,1.0,0.9642857142857143
GNB1,3.3953643,0.7675075,0.0006853734216762814,1.0,0.9285714285714286
CDH2,3.3870633,1.2277396,0.0007064510033058909,1.0,0.6785714285714286
SLTM,3.2808099,1.1381261,0.001035094915118989,1.0,0.75
LAMC1,3.2280982,0.68772876,0.001246161669370001,1.0,0.9642857142857143
DCAF7,3.1884904,1.0839881,0.0014301775554789668,1.0,0.75
SOX4,2.904239,0.81165224,0.0036814708961252817,1.0,0.7857142857142857
PRMT1,2.8508158,0.7786452,0.004360722561532623,1.0,0.8214285714285714
TMEM14C,2.7867198,0.6959824,0.005324448536527182,1.0,0.8928571428571429
APEX1,2.7601566,0.602034,0.005777367441351656,1.0,0.8214285714285714
PALMD,2.677917,0.8205208,0.007408159787366212,1.0,0.7142857142857143
RSL1D1,2.6336842,0.759447,0.008446401149344926,1.0,0.8214285714285714
EXOC6,2.6064093,1.3109514,0.009149704704172581,1.0,0.5357142857142857
RTF1,2.6011915,0.678285,0.00929005731159715,1.0,0.8214285714285714
POLD2,2.5627697,1.0238345,0.010384094843188248,1.0,0.6428571428571429
CPEB4,2.507212,1.9651147,0.012168775636637532,1.0,0.39285714285714285
C20orf27,2.488416,0.79704,0.01283135784950309,1.0,0.6785714285714286
BCAP29,2.4861035,0.66940427,0.012915040799152741,1.0,0.7857142857142857
DDX24,2.4766166,0.59905815,0.013263430684224793,1.0,0.9642857142857143
ATP6V0E1,2.4703314,0.57228464,0.013498790027472191,1.0,0.8214285714285714
MRPL32,2.4035082,1.2384899,0.01623860805918693,1.0,0.5
IPO11,2.3772411,0.9408947,0.017442677904137886,1.0,0.6071428571428571
MED31,2.3650267,1.0294714,0.018028765632747162,1.0,0.5714285714285714
MRPS21,2.36141,0.5216588,0.01820559383608603,1.0,1.0
ITGA2,2.32702,0.83818346,0.01996420675250506,1.0,0.6785714285714286
UBL5,2.3124337,0.38572338,0.020753791304903912,1.0,0.9642857142857143
ARL8B,2.3084612,1.365971,0.020973502646310743,1.0,0.4642857142857143
KCMF1,2.2933414,1.1689694,0.021828359477617444,1.0,0.5
CRTC3,2.2703357,2.067673,0.023187227761391753,1.0,0.35714285714285715
MRPL41,2.267371,0.46757013,0.023367574214253596,1.0,0.9642857142857143
PLEKHB2,2.2654736,0.9040409,0.0234836338791059,1.0,0.5714285714285714
CARS,2.2617974,0.99640745,0.02370992373602999,1.0,0.5714285714285714
CCDC6,2.2571132,0.96634614,0.024000999988796574,1.0,0.5357142857142857
TCEAL4,2.2446616,0.4950459,0.024789860462106718,1.0,0.8928571428571429
ILK,2.2163196,0.7937364,0.026669626190540537,1.0,0.6071428571428571
ZNF22,2.202682,0.73473287,0.027617162526839018,1.0,0.6071428571428571
SNRNP70,2.1991246,0.8966576,0.0278690699703989,1.0,0.6071428571428571
PTPN11,2.1768303,0.78119224,0.029493232926981815,1.0,0.6785714285714286
PTAR1,2.1614141,1.2857816,0.030663369395881445,1.0,0.42857142857142855
PRDX3,2.1608803,0.5713558,0.030704578069697543,1.0,0.7857142857142857
PDS5A,2.1407208,0.9090188,0.03229656520546268,1.0,0.6071428571428571
CTSZ,2.1387641,0.34671286,0.0324547813644709,1.0,1.0
NDUFS1,2.136926,0.88512987,0.03260401302624422,1.0,0.6071428571428571
AK1,2.135325,0.67000884,0.032734467455599846,1.0,0.6785714285714286
DYNC1H1,2.062513,0.575384,0.03915891725994604,1.0,0.8214285714285714
ESM1,2.0620387,0.78749424,0.039204052057912865,1.0,0.6071428571428571
ORMDL1,2.0613866,0.7049357,0.03926618453119767,1.0,0.6785714285714286
TPM1,2.036009,0.42665252,0.041749452285824475,1.0,0.9642857142857143
GANAB,2.0241504,0.6156328,0.04295468354075737,1.0,0.7142857142857143
PRRC2C,2.020059,0.43513402,0.04337725463009021,1.0,0.9642857142857143
CCDC80,1.9923099,0.6116356,0.04633706354451536,1.0,0.75
PACSIN2,1.9888116,0.7489453,0.04672199900456301,1.0,0.6071428571428571
TTC3,1.9808663,0.40080932,0.04760626460036642,1.0,0.8571428571428571
GIPC1,1.969067,1.026652,0.048945397782803816,1.0,0.5
NRBF2,1.9649165,1.3349181,0.049423905280877915,1.0,0.39285714285714285
AC007998.3,1.9606473,0.69465435,0.04992017257210296,1.0,0.6071428571428571
OGFR,1.9570898,1.1509255,0.05033691395429689,1.0,0.42857142857142855
GTF2I,1.9564376,0.51815504,0.050413631936504985,1.0,0.8571428571428571
LINC02742,1.954303,1.5179725,0.050665394351302545,1.0,0.35714285714285715
HUWE1,1.9331946,0.6459514,0.05321222608417039,1.0,0.6785714285714286
PPT1,1.9323052,0.8460785,0.05332184302944844,1.0,0.6071428571428571
SNCA,1.9291627,0.32500076,0.05371066790358119,1.0,0.8214285714285714
BID,1.9282733,0.63573,0.05382114150239368,1.0,0.6428571428571429
SRP72,1.9230555,0.53980017,0.05447308052342297,1.0,0.8214285714285714
PSME2,1.9123827,0.47989753,0.05582712201051554,1.0,0.7857142857142857
COX7B,1.8967294,0.37348077,0.05786367088465753,1.0,0.9642857142857143
ARL6IP1,1.8944762,0.7393452,0.058161832189060965,1.0,0.6071428571428571
ATP5F1D,1.8916302,0.2263021,0.05854028053586842,1.0,0.9285714285714286
TNPO3,1.8867681,1.2213829,0.059191526891285366,1.0,0.39285714285714285
SMARCA5,1.8835069,0.5747774,0.05963169883221599,1.0,0.75
DHRS7,1.876451,0.8418722,0.06059336853471129,1.0,0.5357142857142857
FAM200B,1.876451,0.7052555,0.06059336853471129,1.0,0.5714285714285714
PPP4R3A,1.8731307,0.9463512,0.06105034655884341,1.0,0.4642857142857143
PCBP4,1.8641773,1.664509,0.06229679941810356,1.0,0.32142857142857145
UXT,1.8514886,0.4680438,0.0640992880293442,1.0,0.8214285714285714
STUB1,1.8460929,0.4780628,0.06487870920602694,1.0,0.7857142857142857
HIBCH,1.8412902,1.2173326,0.06557904152290712,1.0,0.39285714285714285
PNP,1.8389184,0.7063717,0.0659271766978587,1.0,0.5714285714285714
NREP,1.8338785,0.78368783,0.06667202220743577,1.0,0.5357142857142857
DCTN3,1.8264077,0.5766894,0.06778888429824363,1.0,0.75
SCO2,1.8245102,1.1052678,0.06807496928497317,1.0,0.42857142857142855
CCT7,1.8211305,0.48126453,0.06858701715689165,1.0,0.8571428571428571
EGLN2,1.8189367,1.3706315,0.06892109032608368,1.0,0.35714285714285715
ATP6V1D,1.814549,0.7422063,0.06959324769974892,1.0,0.5714285714285714
PGM1,1.8138968,1.1014479,0.06969362095791548,1.0,0.42857142857142855
XIST,1.8138375,0.31420386,0.0697027516899342,1.0,0.9285714285714286
PRPF38B,1.81111,0.5940118,0.0701238281472008,1.0,0.6071428571428571
ISCA1,1.8082047,0.90583766,0.07057465987053063,1.0,0.4642857142857143
ATP6V1E1,1.802809,0.55735946,0.07141822550397484,1.0,0.6785714285714286
NUCKS1,1.8018602,0.3202598,0.07156739551040504,1.0,1.0
ZC3H7A,1.7994292,1.0133033,0.07195080926592914,1.0,0.42857142857142855
SNRPF,1.7939149,0.43283093,0.07282674246558346,1.0,0.8571428571428571
BEX3,1.7936778,0.304989,0.07286461190622527,1.0,1.0
DAAM1,1.7738146,0.65056425,0.07609382576424503,1.0,0.6071428571428571
PRKCSH,1.7727473,0.5447432,0.0762705891512264,1.0,0.6785714285714286
ELMSAN1,1.7710278,0.7758879,0.0765560789153102,1.0,0.5
RNF130,1.7676481,0.9047322,0.07711975328712582,1.0,0.5
ANAPC11,1.7646241,0.25903705,0.07762695606705403,1.0,0.8928571428571429
CPSF2,1.7625489,0.726557,0.07797660604316392,1.0,0.5357142857142857
RRM2B,1.7620152,0.46274817,0.0780667230054249,1.0,0.75
SLC2A3,1.7607108,1.2155464,0.07828736591482516,1.0,0.35714285714285715
NGLY1,1.7600585,0.98012316,0.07839787757489698,1.0,0.42857142857142855
GOLIM4,1.7566788,0.60548717,0.0789725641680178,1.0,0.6071428571428571
SOCS2,1.7543664,1.0370309,0.07936774168648057,1.0,0.42857142857142855
PCSK7,1.7499194,0.8747015,0.08013221738292545,1.0,0.4642857142857143
SRSF1,1.7288704,0.702225,0.08383230106358794,1.0,0.5
PLXNB2,1.7274473,1.7784876,0.08408735890450095,1.0,0.2857142857142857
MZT2B,1.7262615,0.36769542,0.08430038660018803,1.0,0.9642857142857143
UBE2D2,1.7262021,0.4243368,0.08431104943915467,1.0,0.7142857142857143
SHC1,1.717486,0.34868675,0.08589039851061493,1.0,0.7142857142857143
VRK1,1.7129205,1.8061907,0.08672716813802055,1.0,0.2857142857142857
TEFM,1.7114382,1.9456545,0.08700025770069125,1.0,0.2857142857142857
IL32,1.709185,0.50202936,0.0874166827650819,1.0,0.75
PCBD1,1.7082956,0.4174379,0.08758150315758301,1.0,0.7857142857142857
CTNNB1,1.7050345,0.5790135,0.08818799061509652,1.0,0.6428571428571429
HERC4,1.7021291,0.68411416,0.08873116384659618,1.0,0.5357142857142857
GDF15,1.7006468,0.7150819,0.0890093299192696,1.0,0.6785714285714286
TERF1,1.690982,0.87465477,0.09084023751126763,1.0,0.4642857142857143
AC020916.1,1.6908634,1.2626207,0.090862889330858,1.0,0.35714285714285715
COLEC12,1.6868315,0.5403967,0.09163575782854533,1.0,0.75
ATP5IF1,1.6864758,0.32715,0.09170420499130415,1.0,0.9285714285714286
CCDC25,1.6789455,0.449138,0.09316266552689599,1.0,0.7857142857142857
NIPSNAP3A,1.6711781,0.81028265,0.09468650542525296,1.0,0.4642857142857143
VPS28,1.6689843,0.34781685,0.09512050152174749,1.0,0.9285714285714286
DEGS1,1.6656638,0.59048253,0.09578038984340047,1.0,0.5714285714285714
PPP2R2D,1.665486,1.1761076,0.09581584416886481,1.0,0.35714285714285715
PARVA,1.6639444,0.595393,0.0961235552498519,1.0,0.6071428571428571
RAB13,1.6615133,0.3652024,0.09661039828834114,1.0,0.8928571428571429
PNPLA2,1.6607425,1.1980151,0.09676517434480537,1.0,0.35714285714285715
TAOK1,1.6583115,0.6545552,0.09725461362858044,1.0,0.6428571428571429
ABCF2,1.6538645,0.9495637,0.09815504925406754,1.0,0.42857142857142855
C18orf32,1.6533902,0.44499812,0.09825148748757721,1.0,0.6428571428571429
MYOF,1.6515521,0.47979152,0.09862590065363472,1.0,0.7857142857142857
RBM22,1.6506034,0.92140436,0.09881959140340532,1.0,0.42857142857142855
TOMM6,1.6493582,0.34892127,0.09907427120612344,1.0,0.8928571428571429
TMEM30A,1.6466308,0.33429414,0.0996339717396584,1.0,0.8571428571428571
STX16,1.645682,0.40380123,0.09982924037103366,1.0,0.6428571428571429
TANC1,1.6412944,0.65967715,0.10073633119491508,1.0,0.5714285714285714
PVR,1.6406422,0.73099506,0.10087172800160714,1.0,0.5357142857142857
MRPL22,1.6385669,0.44966504,0.10130350090637188,1.0,0.75
PSMA1,1.6307402,0.31898943,0.10294516054751389,1.0,0.8214285714285714
APLN,1.6246922,0.32720312,0.10422814999916559,1.0,0.8214285714285714
BCL7A,1.617162,1.1917691,0.10584331335254625,1.0,0.35714285714285715
HCFC1R1,1.6063707,0.73959786,0.10819249405262137,1.0,0.5
APBB2,1.6057184,0.8193128,0.10833578950367236,1.0,0.42857142857142855
CFAP54,1.5986625,1.0013021,0.10989560433011422,1.0,0.35714285714285715
ETHE1,1.5978917,0.69995445,0.11006707415767761,1.0,0.5357142857142857
SHQ1,1.5972395,1.8539729,0.11021232906389056,1.0,0.25
DYNLL1,1.5968838,0.20713207,0.11029162281962443,1.0,0.9642857142857143
CREBRF,1.592496,1.2034816,0.11127328890799976,1.0,0.35714285714285715
KHSRP,1.5901244,0.85494745,0.11180678331133156,1.0,0.4642857142857143
GATA2-AS1,1.5900058,1.0261494,0.11183351090770488,1.0,0.35714285714285715
NME3,1.5895314,0.4819483,0.11194047169937078,1.0,0.7857142857142857
DDX21,1.5868039,0.3719956,0.11255706302704112,1.0,0.8928571428571429
DHRS1,1.5846694,1.5810465,0.11304147790277917,1.0,0.2857142857142857
RPS27L,1.5844915,0.27828673,0.11308191985116023,1.0,1.0
NUDCD1,1.5840764,0.6051077,0.11317632873449415,1.0,0.5357142857142857
PRSS23,1.5830091,0.17078514,0.1134193796091183,1.0,0.8928571428571429
KIAA1549L,1.5812304,1.4134225,0.113825377903489,1.0,0.32142857142857145
ATP1B3,1.5702611,0.407969,0.11635437672686275,1.0,0.7857142857142857
PRDX2,1.5685416,0.32341695,0.11675478652559164,1.0,0.8928571428571429
MED14,1.566822,1.2813684,0.11715627773120406,1.0,0.32142857142857145
CSPP1,1.562138,1.1170876,0.11825549444058173,1.0,0.35714285714285715
LMNB2,1.5590547,1.1986494,0.11898343301441115,1.0,0.32142857142857145
PITPNM2,1.5587583,1.5527653,0.11905361179909878,1.0,0.2857142857142857
PYGL,1.5562086,0.64784724,0.11965848932734822,1.0,0.5714285714285714
DDX6,1.5547856,0.63820934,0.11999714068780988,1.0,0.5714285714285714
ZBTB11,1.5540148,1.2302687,0.12018088997252907,1.0,0.32142857142857145
PMF1,1.5508722,0.8893524,0.12093230256218648,1.0,0.42857142857142855
IST1,1.5480262,0.7945418,0.12161599480892289,1.0,0.4642857142857143
AXL,1.5474333,0.59193176,0.12175881041314184,1.0,0.5357142857142857
TMEM69,1.5474333,1.2755228,0.12175881041314184,1.0,0.32142857142857145
MANEA,1.5458916,1.0293636,0.12213074469113112,1.0,0.39285714285714285
IK,1.5432234,0.5230366,0.12277657497952246,1.0,0.75
POLR2J,1.5426306,0.41562784,0.12292045447871217,1.0,0.6785714285714286
MICB,1.5422155,0.972878,0.12302124846354798,1.0,0.35714285714285715
UROD,1.5418004,0.6872753,0.1231221069872595,1.0,0.5714285714285714
RPN2,1.5407925,0.28650415,0.12336731795584209,1.0,0.8928571428571429
PYCR1,1.5373534,0.77459854,0.12420679053305071,1.0,0.4642857142857143
TAOK3,1.5359896,0.47655696,0.12454091629416167,1.0,0.6785714285714286
SCOC,1.5333807,0.5771182,0.12518206633327006,1.0,0.6071428571428571
NDUFS4,1.5333215,0.48909503,0.12519666777116686,1.0,0.6785714285714286
C1QTNF6,1.5267992,1.1958586,0.1268109460435134,1.0,0.32142857142857145
RELL1,1.5256727,0.66232914,0.1270914096066292,1.0,0.5
CTNNBL1,1.5225894,0.79016185,0.1278614626348477,1.0,0.4642857142857143
SEPTIN6,1.520099,0.42625427,0.12848607336824494,1.0,0.6428571428571429
SPOP,1.5177866,0.6283271,0.12906819012527576,1.0,0.5
DYNLT1,1.5173123,0.3845616,0.1291878515346421,1.0,0.9285714285714286
DARS,1.5170752,0.53175825,0.12924771454522696,1.0,0.5714285714285714
PIN1,1.5165415,0.5038102,0.12938248509272787,1.0,0.6785714285714286
ERP29,1.5130432,0.31408295,0.13026868539543948,1.0,0.75
CCDC68,1.512806,1.1119748,0.13032893685197058,1.0,0.35714285714285715
ERGIC3,1.5122131,0.34536532,0.13047966009856457,1.0,0.8571428571428571
RUFY2,1.5094264,1.00932,0.13118987155436032,1.0,0.39285714285714285
ZNF106,1.5084183,0.4732397,0.13144749343565784,1.0,0.7142857142857143
FRMD6,1.5038527,0.61267436,0.13261928277474566,1.0,0.5357142857142857
LRP10,1.5017182,0.51813436,0.13316990001417367,1.0,0.6071428571428571
CLIP1,1.4979235,0.5864665,0.1341531421465145,1.0,0.5714285714285714
TRIM5,1.4967968,0.7044951,0.13444612033174727,1.0,0.4642857142857143
IFI16,1.4950181,0.490931,0.1349097243538528,1.0,0.75
MCRIP2,1.4943066,0.8140685,0.13509551152587534,1.0,0.42857142857142855
TBC1D7,1.4920534,1.2317187,0.13568514199035978,1.0,0.35714285714285715
MAP4K4,1.4903339,0.33721682,0.13613645879071035,1.0,0.8928571428571429
CD81,1.4876658,0.3063823,0.1368390712323567,1.0,0.9642857142857143
NT5E,1.4851754,0.47388074,0.13749736396098422,1.0,0.7142857142857143
DKC1,1.4823886,0.633904,0.1382369172029953,1.0,0.5714285714285714
DPYD,1.4819735,1.4534869,0.13834732520050427,1.0,0.2857142857142857
CHD4,1.4817957,0.45517057,0.13839466370804426,1.0,0.7142857142857143
EMC4,1.4803134,0.6505082,0.13878963674256917,1.0,0.5
MRPL43,1.4796611,0.48899844,0.1389636996866492,1.0,0.5714285714285714
DDX5,1.4795426,0.2616618,0.13899536554857994,1.0,1.0
ZMYND8,1.4758071,0.40877855,0.13999568712211347,1.0,0.6428571428571429
PHLDA1,1.473376,0.7369959,0.1406496594396071,1.0,0.4642857142857143
RPL13A,1.4721309,0.07404484,0.14098552935226094,1.0,1.0
HM13,1.4689884,0.42143187,0.1418359425861917,1.0,0.6785714285714286
RTL8A,1.4669131,0.5910142,0.1423996928760976,1.0,0.5
C1GALT1C1,1.4653122,0.7295943,0.142835760206524,1.0,0.5
NDUFB9,1.4648379,0.32966515,0.14296516196450446,1.0,0.9285714285714286
NARF,1.4625847,0.80402,0.14358104919072745,1.0,0.39285714285714285
HEBP2,1.4624069,0.43088865,0.14362975840311631,1.0,0.9642857142857143
ARMCX6,1.4615767,1.0079818,0.14385723564768785,1.0,0.39285714285714285
LCMT1,1.4578413,0.8098345,0.14488430325904453,1.0,0.39285714285714285
CRIP1,1.4568926,0.4154697,0.1451460382312332,1.0,1.0
S100A13,1.4565961,0.32656646,0.14522790463683213,1.0,1.0
TNFRSF12A,1.4564183,0.35176906,0.145277041452517,1.0,0.75
PUS7L,1.4551138,0.7632236,0.14563776722753052,1.0,0.4642857142857143
HSBP1,1.4544616,0.22363704,0.14581838707913583,1.0,0.9285714285714286
C11orf74,1.4533943,0.87452537,0.14611431664090138,1.0,0.39285714285714285
AL353138.1,1.4518527,0.9449858,0.1465425815803117,1.0,0.35714285714285715
TMEM54,1.4513783,0.5056701,0.14667454841499372,1.0,0.5714285714285714
HOPX,1.445449,0.8392065,0.1483318128361011,1.0,0.39285714285714285
FAAP20,1.4424844,0.31551242,0.1491657903011729,1.0,0.7142857142857143
SHOC2,1.4408834,0.64765537,0.14961762374422016,1.0,0.4642857142857143
CHD8,1.4383931,0.81040376,0.15032255026708208,1.0,0.4642857142857143
SNRPD3,1.4381559,0.5885876,0.15038981798245157,1.0,0.5357142857142857
MAPRE2,1.4372665,0.6842364,0.15064227633179947,1.0,0.4642857142857143
LRRC14,1.4361993,1.1825043,0.15094565262968793,1.0,0.2857142857142857
PRKAR2B,1.4289654,0.38440177,0.15301415483304187,1.0,0.7142857142857143
BACE2,1.4289062,0.5376034,0.15303119842028873,1.0,0.6785714285714286
C5orf15,1.4273646,1.0386137,0.15347483873928275,1.0,0.35714285714285715
TAF2,1.4260601,0.7875872,0.15385098998184085,1.0,0.42857142857142855
FST,1.4257636,0.81240416,0.15393657655331308,1.0,0.42857142857142855
NRP2,1.4247557,0.34370333,0.15422784160104222,1.0,0.8214285714285714
SCRIB,1.4246371,1.712195,0.15426213559144714,1.0,0.25
TMEM126A,1.4244592,0.63762724,0.1543135874413386,1.0,0.5
CTSL,1.4240441,0.3841651,0.15443369246643318,1.0,0.8571428571428571
RPL38,1.4230362,0.09978369,0.15472567177185004,1.0,1.0
PCID2,1.4212574,0.7176724,0.1552419519670739,1.0,0.4642857142857143
KLHL5,1.4210795,0.72645664,0.15529365183704244,1.0,0.4642857142857143
PRCC,1.4210795,0.9228963,0.15529365183704244,1.0,0.35714285714285715
NUDT3,1.4210202,0.44018546,0.15531088803148146,1.0,0.6071428571428571
NBDY,1.4204866,0.35216358,0.15546607914359098,1.0,0.75
IFT43,1.4179963,0.6412529,0.15619186109810956,1.0,0.4642857142857143
NOP53,1.4170475,0.4362796,0.1564690245528422,1.0,0.6785714285714286
HEXA,1.4167511,0.8303814,0.15655571458450115,1.0,0.4642857142857143
TERF2IP,1.4156839,0.44663182,0.15686810030327403,1.0,0.5714285714285714
PKN1,1.4155059,0.54426336,0.15692021050287078,1.0,0.6071428571428571
FAM155A,1.4148537,1.289389,0.15711139351719278,1.0,0.2857142857142857
EAPP,1.4146166,0.71706027,0.15718095837075416,1.0,0.4642857142857143
MEX3D,1.4111183,1.5736927,0.1582097535386967,1.0,0.25
ATP6V0C,1.4105253,0.43807754,0.15838462984484947,1.0,0.75
SUN1,1.4085686,0.7499901,0.15896276011317112,1.0,0.42857142857142855
FRMD4A,1.4056633,0.43930727,0.15982414017575897,1.0,0.6071428571428571
GEMIN7,1.4054261,1.8127242,0.15989461244377656,1.0,0.25
TFG,1.4031136,0.5368447,0.16058294889793379,1.0,0.5357142857142857
NMT2,1.4025208,0.43165657,0.16075980561533942,1.0,0.7857142857142857
FKBP1A,1.4013349,0.21205015,0.16111396051540994,1.0,1.0
DDX17,1.3998525,0.25301135,0.16155748250744062,1.0,0.8571428571428571
PPP5C,1.3980144,0.9218885,0.1621087293583875,1.0,0.42857142857142855
CARD8,1.3979552,0.28191864,0.162126535119811,1.0,0.75
TFPI,1.397125,0.32021558,0.1623759707833886,1.0,0.9642857142857143
SEC62,1.3958206,0.34251925,0.16276852598850367,1.0,0.8214285714285714
MIR222HG,1.3956428,0.7861421,0.16282211165885585,1.0,0.42857142857142855
PPP1R14B,1.3955834,0.23985778,0.162839976505478,1.0,0.9285714285714286
BTF3,1.3951684,0.15226826,0.16296507182901387,1.0,1.0
SEPTIN9,1.3931524,0.5517836,0.16357370876045452,1.0,0.5
NDUFV3,1.389832,0.42481324,0.1645799022661516,1.0,0.6785714285714286
