names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SINHCAF,3.2619178,0.5455158,0.0011066118151267263,1.0,0.5875
PSMC5,3.1679084,0.39877766,0.0015353982845485378,1.0,0.7125
STOML2,2.984915,0.32753804,0.002836571502238747,1.0,0.8
ODF2L,2.9336817,0.4637186,0.00334967531783271,1.0,0.60625
RAD51C,2.8027794,0.72600967,0.005066430682004571,1.0,0.3625
NOB1,2.7718434,0.5489279,0.0055739854320126314,1.0,0.46875
FBXL5,2.70676,0.46048373,0.0067943374063375245,1.0,0.59375
PTMA,2.6042442,0.08627025,0.009207709495531683,1.0,1.0
ACLY,2.5509274,0.24961896,0.010743671043540334,1.0,0.88125
YES1,2.4922175,0.36631256,0.012694828594505835,1.0,0.65625
CAMTA1,2.4755728,0.26659584,0.01330226491423563,1.0,0.75625
LSM12,2.4678266,0.43550664,0.013593619043710627,1.0,0.5875
JOSD2,2.4305658,0.3947577,0.01507526327053582,1.0,0.5625
NUTF2,2.3815389,0.27144146,0.017240471803601935,1.0,0.8125
CBX5,2.3709245,0.32942003,0.017743655382355304,1.0,0.6625
COX8A,2.316529,0.14073573,0.020529404867722523,1.0,0.96875
ANXA7,2.294859,0.41251087,0.0217412061104967,1.0,0.53125
MPC2,2.2732382,0.36356992,0.02301183768818262,1.0,0.58125
NDUFA7,2.2629914,0.25823814,0.02363621906299389,1.0,0.85625
MPRIP,2.2552695,0.44528002,0.024116408886770028,1.0,0.46875
CEP57,2.2282557,0.55401385,0.025863466755614163,1.0,0.38125
AC005670.3,2.217666,0.6476369,0.02657762220630663,1.0,0.30625
HLA-B,2.2126405,0.16688143,0.02692243311055989,1.0,0.98125
NAA20,2.1920493,0.30750644,0.028375951474027713,1.0,0.69375
NPTN,2.1687858,0.52470636,0.03009894260349005,1.0,0.3875
NDUFB7,2.1666777,0.19062695,0.030259435774942937,1.0,0.88125
CREM,2.1543474,0.5037285,0.031212936445369963,1.0,0.39375
TXN,2.1395903,0.117234595,0.03238789317187845,1.0,0.9875
DGKZ,2.1132138,0.5660314,0.03458248009961136,1.0,0.3375
SMC3,2.1117918,0.4362573,0.03470429994053776,1.0,0.50625
JAG1,2.099094,0.37451893,0.03580862251977038,1.0,0.4625
DNAJA3,2.04563,0.7696929,0.040792797401889715,1.0,0.24375
FAM241A,2.0438895,0.42817646,0.040964470700985925,1.0,0.48125
CHID1,2.0301127,0.39149123,0.042345071385865705,1.0,0.55625
