names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CLU,3.5296433,0.5539866,0.0004161202011679045,1.0,0.8235294117647058
CDK2AP1,3.296031,0.4211628,0.0009806115533693243,1.0,0.8137254901960784
KPNA4,3.091736,0.5309216,0.0019898965105668506,1.0,0.7450980392156863
BCAT1,3.017517,0.5048905,0.0025485459775406757,1.0,0.696078431372549
SIL1,2.7203946,0.50925237,0.006520407484933079,1.0,0.6470588235294118
PAK2,2.5902567,0.32754204,0.009590437585841664,1.0,0.8725490196078431
LARP1,2.5845475,0.4363136,0.009750684655293787,1.0,0.6764705882352942
COL5A1,2.5706604,0.54248065,0.010150478849258536,1.0,0.5980392156862745
PFKP,2.4819372,0.29774943,0.013067030419192837,1.0,0.8137254901960784
SNX9,2.4783573,0.6026639,0.013198885818747284,1.0,0.49019607843137253
TMOD3,2.4621866,0.2546736,0.013809279178602632,1.0,0.8725490196078431
CHRAC1,2.4619706,0.6185052,0.013817599266758143,1.0,0.5098039215686274
JAK1,2.4521263,0.28833666,0.014201485518492067,1.0,0.9215686274509803
MXRA7,2.4060519,0.32256898,0.016125978369884473,1.0,0.7941176470588235
CNOT7,2.3705626,0.41856477,0.017761041671856,1.0,0.7647058823529411
LRPAP1,2.3655322,0.35353988,0.018004174794329385,1.0,0.7549019607843137
RBM27,2.335351,0.5322533,0.0195250964716521,1.0,0.5
GALNT11,2.3332524,0.6267417,0.019634901313700628,1.0,0.47058823529411764
ARPC5L,2.330475,0.3821215,0.019781060327899835,1.0,0.6764705882352942
CCNC,2.31989,0.53310776,0.020346833097437792,1.0,0.4803921568627451
YWHAE,2.3031945,0.12141205,0.02126790144953391,1.0,0.9803921568627451
ATP6AP2,2.2976706,0.40894943,0.021580548403923087,1.0,0.7156862745098039
DTD1,2.266656,0.30070928,0.023411251141918728,1.0,0.8137254901960784
GNG12,2.260453,0.37563524,0.0237931478889899,1.0,0.696078431372549
CBX1,2.255824,0.5104616,0.024081655770609414,1.0,0.5784313725490197
CD151,2.2297163,0.24117683,0.025766289037089402,1.0,0.8725490196078431
COQ10B,2.2256734,0.5719972,0.02603605804240434,1.0,0.45098039215686275
MAVS,2.213175,0.6532769,0.026885575694482116,1.0,0.45098039215686275
ESM1,2.208145,0.4801653,0.02723417520562344,1.0,0.5490196078431373
HAX1,2.1962328,0.41248593,0.0280752835676384,1.0,0.5980392156862745
LAPTM4A,2.1958625,0.25855145,0.028101786947153033,1.0,0.8627450980392157
CSE1L,2.1859562,0.43829253,0.028818799143682784,1.0,0.5392156862745098
REXO4,2.1602497,0.7433871,0.0307533412559779,1.0,0.4117647058823529
CFDP1,2.159324,0.2537235,0.030825044511638727,1.0,0.8431372549019608
PEBP1,2.158429,0.18141373,0.03089449404852206,1.0,0.9117647058823529
RPL29,2.1538618,0.06049768,0.03125102189414364,1.0,1.0
DNAJB11,2.1347592,0.47824258,0.03278068781464698,1.0,0.5196078431372549
RPA3,2.134389,0.5526832,0.03281096461723146,1.0,0.47058823529411764
MIEN1,2.0992699,0.38935626,0.0357931196426666,1.0,0.6568627450980392
BET1L,2.0886848,0.8806061,0.03673610804991355,1.0,0.29411764705882354
SC5D,2.077143,0.56465036,0.03778835950584783,1.0,0.43137254901960786
RHOJ,2.055294,0.41684,0.03985061983646496,1.0,0.5392156862745098
CLASP1,2.0531337,1.3071476,0.04005960783359825,1.0,0.21568627450980393
EBAG9,2.0430424,0.42406115,0.04104823723825805,1.0,0.5
STIP1,2.0419624,0.35551208,0.041155268232403175,1.0,0.6568627450980392
MIER1,2.0413451,0.4586246,0.04121653487879266,1.0,0.5098039215686274
RAB6A,2.0340004,0.61096495,0.041951557203933454,1.0,0.4411764705882353
SDCBP,2.0305748,0.21364245,0.04229813712784921,1.0,0.8823529411764706
PNISR,2.0266247,0.2559643,0.04270080089344714,1.0,0.7843137254901961
ERGIC3,2.0256371,0.21075845,0.042801971759281056,1.0,0.8529411764705882
COL18A1,2.02107,0.32920462,0.04327252698594555,1.0,0.6568627450980392
MTHFD1,2.017737,0.75496954,0.04361865742526922,1.0,0.3137254901960784
APLP2,2.0021217,0.1479619,0.0452716419803295,1.0,0.9901960784313726
PAK1IP1,2.0002701,0.6790045,0.04547110536550906,1.0,0.4019607843137255
PSMB4,1.9978322,0.28855914,0.04573486128602318,1.0,0.7058823529411765
