names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
BLOC1S1,3.5059645,0.48646927,0.0004549557473896579,1.0,0.8141592920353983
IFI27,3.4375992,0.24250667,0.0005868956051684951,1.0,0.9911504424778761
DPM1,3.171402,0.70719665,0.0015170501596450507,1.0,0.504424778761062
RTL8C,3.1057608,0.44461644,0.0018979018582767928,1.0,0.7433628318584071
ATP5IF1,2.8727503,0.3198726,0.004069155054032683,1.0,0.9292035398230089
NUDCD1,2.646799,0.4977087,0.008125761003739072,1.0,0.5663716814159292
NCEH1,2.6213744,0.6355563,0.008757600996052554,1.0,0.4690265486725664
IPO5,2.5975022,0.5338413,0.009390450670718118,1.0,0.5575221238938053
KATNBL1,2.5660436,0.5802625,0.010286588504790908,1.0,0.5221238938053098
COX5A,2.5506952,0.28299782,0.010750832511490093,1.0,0.911504424778761
NOL8,2.5395353,0.75137705,0.011099986584728005,1.0,0.3805309734513274
BST2,2.520291,0.26519975,0.011725784995877538,1.0,0.9823008849557522
NSMCE2,2.496448,0.6947772,0.01254440333540997,1.0,0.39823008849557523
IMMT,2.4758565,0.42016208,0.013291700566027163,1.0,0.6371681415929203
CSE1L,2.467772,0.49313232,0.013595683927066443,1.0,0.5486725663716814
ADAR,2.4579597,0.50869256,0.013972888560971609,1.0,0.5663716814159292
VGLL4,2.4388032,0.7792662,0.014735988503862348,1.0,0.3893805309734513
SYAP1,2.4331207,0.36696386,0.01496930605925303,1.0,0.8230088495575221
LTBR,2.4192953,0.5071369,0.015550605578963568,1.0,0.5309734513274337
CDYL,2.4081063,0.4813243,0.016035514503138486,1.0,0.5752212389380531
LARS,2.3855815,0.31646836,0.017052148321038237,1.0,0.8938053097345132
PRELID1,2.3707309,0.24252611,0.017752954713596603,1.0,0.9203539823008849
TMEM35B,2.3628807,0.51120144,0.018133499933589467,1.0,0.48672566371681414
NPM3,2.3598347,0.42642698,0.018283087018301936,1.0,0.6371681415929203
RBX1,2.3579307,0.28336203,0.018377126578016788,1.0,0.9380530973451328
NDUFC2,2.3423185,0.2858644,0.019164352873910048,1.0,0.9380530973451328
PPP1CA,2.3382764,0.33389652,0.019372918108617434,1.0,0.7699115044247787
SELENON,2.3181827,0.50139743,0.020439396024237513,1.0,0.5486725663716814
RABAC1,2.3034492,0.2590916,0.021253579185146573,1.0,0.9646017699115044
DCUN1D5,2.2851717,0.37304577,0.02230276595691842,1.0,0.7345132743362832
ALG8,2.2694423,0.7486578,0.023241440511778788,1.0,0.3274336283185841
TMA7,2.2397997,0.16716242,0.02510392462143883,1.0,1.0
CRIPT,2.2394483,0.58047885,0.025126762943241537,1.0,0.46017699115044247
SUPT16H,2.225828,0.42325136,0.02602570885774027,1.0,0.672566371681416
RAD21,2.2134964,0.39682922,0.026863441304273622,1.0,0.7168141592920354
