names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CAVIN2,3.5650687,0.5166292,0.00036376080389741036,1.0,0.9047619047619048
CSRP1,3.1082418,0.5499627,0.001882039830872603,1.0,0.7023809523809523
BZW1,3.0881457,0.3312779,0.0020140960942026144,1.0,0.9285714285714286
ACAP2,3.0794601,0.6645374,0.0020737603476722,1.0,0.6190476190476191
TMEM258,2.7911675,0.2862177,0.0052518292070789395,1.0,0.9047619047619048
APC,2.7649064,0.88637525,0.005693913332020976,1.0,0.44047619047619047
TKT,2.739633,0.17248796,0.006150780759623509,1.0,0.9880952380952381
ARL6IP4,2.7048566,0.32437047,0.006833385184802302,1.0,0.9404761904761905
PRSS23,2.5903094,0.26609325,0.009588970405430844,1.0,0.9761904761904762
ACTR3,2.558258,0.3571642,0.01051980270513357,1.0,0.8214285714285714
HAUS1,2.5535235,0.9117148,0.010663909382105544,1.0,0.4166666666666667
CRIP2,2.5300894,0.16856214,0.011403344937872406,1.0,0.9642857142857143
SYF2,2.4966075,0.3977964,0.012538768034971393,1.0,0.7380952380952381
PCBP2,2.3694575,0.1798169,0.01781420213433072,1.0,0.9404761904761905
ZC3H13,2.3311048,0.4581983,0.019747836739006992,1.0,0.6904761904761905
EIF2S1,2.320069,0.50769085,0.020337146613126193,1.0,0.5833333333333334
SPATS2,2.3103616,0.3856022,0.02086814491072186,1.0,0.7738095238095238
COX16,2.2991555,0.30793938,0.02149611200696107,1.0,0.7619047619047619
DENR,2.2845092,0.40090322,0.022341621027025665,1.0,0.6428571428571429
POFUT2,2.2786508,1.0053285,0.022687836137324453,1.0,0.32142857142857145
FBXL5,2.26036,0.5237168,0.023798920941730965,1.0,0.6190476190476191
ARHGAP6,2.2334516,0.55939966,0.0255191721139389,1.0,0.5714285714285714
RGS3,2.228104,0.50322,0.025873573062855672,1.0,0.5119047619047619
TFDP2,2.2116187,1.0058796,0.02699303181655447,1.0,0.32142857142857145
LRRFIP1,2.2108352,0.30601972,0.027047254297013032,1.0,0.7857142857142857
SLC25A1,2.209677,0.42623374,0.02712758147930655,1.0,0.6904761904761905
TRIM38,2.1911137,0.7787152,0.028443558023402236,1.0,0.4166666666666667
RDX,2.1889338,0.2989905,0.028601644940359924,1.0,0.7976190476190477
TFPI,2.1657383,0.24200213,0.030331189323834693,1.0,0.9047619047619048
TNFRSF19,2.1603568,0.917306,0.030745069139740653,1.0,0.34523809523809523
TMF1,2.1484694,0.54914856,0.03167648795497568,1.0,0.5357142857142857
CAV2,2.1350152,0.26847464,0.03275976514915694,1.0,0.7976190476190477
LRPAP1,2.11761,0.36969155,0.03420810709876456,1.0,0.7142857142857143
TRIM5,2.1112065,0.70606536,0.03475456105209207,1.0,0.42857142857142855
TNFSF12,2.1057909,0.78101885,0.03522252366197664,1.0,0.39285714285714285
MED28,2.0981612,0.55143213,0.035890909858651364,1.0,0.4880952380952381
MARCH5,2.0976162,0.8642509,0.03593906286997557,1.0,0.35714285714285715
ANKRD28,2.0800066,0.46806577,0.037524924490231495,1.0,0.5714285714285714
TSPAN3,2.0794957,0.37790596,0.037571811054077864,1.0,0.8095238095238095
COX8A,2.0639298,0.20384993,0.0390243715265954,1.0,0.9761904761904762
NDUFA2,2.0610347,0.37695888,0.03929973703287184,1.0,0.7380952380952381
