names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ESD,3.0606334,0.41641635,0.002208692551051022,1.0,0.7888888888888889
NEDD8,2.9942975,0.32633993,0.0027507759646761038,1.0,0.9888888888888889
DDOST,2.966408,0.48430872,0.0030130042392926557,1.0,0.7444444444444445
RGS3,2.9312832,0.66760767,0.003375649084684444,1.0,0.5444444444444444
NDUFAF2,2.9040515,0.48434713,0.003683675183173836,1.0,0.7222222222222222
GINM1,2.829,0.45559347,0.004669369061541438,1.0,0.7555555555555555
MRPL51,2.7758522,0.3416964,0.005505721453511988,1.0,0.8777777777777778
XRN2,2.742306,0.31941628,0.006100946540445131,1.0,0.8666666666666667
COX4I1,2.6474886,0.18990347,0.008109209044985848,1.0,1.0
ARCN1,2.568096,0.59544545,0.010225887420060616,1.0,0.5666666666666667
SCARF1,2.56336,0.7925331,0.010366452331038759,1.0,0.3888888888888889
SLC39A10,2.4967608,0.5476777,0.012533347707603535,1.0,0.5777777777777777
PDIA4,2.493998,0.3131633,0.012631320498873973,1.0,0.8888888888888888
SLC25A36,2.4740348,0.53352594,0.013359666589102802,1.0,0.5777777777777777
MIR217HG,2.3773098,0.4241361,0.017439431115796464,1.0,0.7333333333333333
TBCA,2.3644505,0.23029067,0.0180568413368906,1.0,0.9555555555555556
RBFA,2.3607998,0.6015378,0.018235569242361197,1.0,0.4777777777777778
C17orf75,2.3547485,0.8987329,0.01853525186198,1.0,0.3333333333333333
DYNC1I2,2.3337326,0.30859455,0.01960972535452318,1.0,0.8555555555555555
HMG20A,2.3183079,0.6710097,0.020432590165179256,1.0,0.4222222222222222
CRTAP,2.2846959,0.26553604,0.022330662450072997,1.0,0.8555555555555555
DDX46,2.2786775,0.48265535,0.022686251664807203,1.0,0.6222222222222222
GNB4,2.2571683,0.6760273,0.02399756033500611,1.0,0.45555555555555555
RAB11B,2.2553265,0.7267144,0.02411283950039332,1.0,0.43333333333333335
G3BP2,2.2506893,0.37825263,0.024405224633758632,1.0,0.7
RABGGTB,2.2323046,0.3910671,0.025594836686163042,1.0,0.6555555555555556
NDUFB7,2.230759,0.26012808,0.02569710620831841,1.0,0.9222222222222223
TRMT112,2.211881,0.22491412,0.026974896444574147,1.0,0.8666666666666667
RPL13,2.2107956,0.05954335,0.027049997156941074,1.0,1.0
MAT2A,2.1955025,0.40136027,0.028127576950760087,1.0,0.6222222222222222
MRPS11,2.1845834,0.5418575,0.028919401980298205,1.0,0.5111111111111111
ECSCR,2.1654425,0.1770618,0.03035382428725373,1.0,0.9666666666666667
CHD2,2.1446898,0.4720221,0.031977661145891144,1.0,0.5666666666666667
