names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MGP,3.916255,0.75986063,8.993512301126522e-05,1.0,0.6341463414634146
NHP2,3.0773861,0.28574634,0.0020882463678179265,1.0,0.9512195121951219
SKA2,3.0335436,0.6640146,0.002416997489306819,1.0,0.4959349593495935
RPS25,2.9660268,0.09353656,0.0030167416061224286,1.0,1.0
CIAO2A,2.9296458,0.65326893,0.003393486303898588,1.0,0.45528455284552843
LRRC75A,2.9190707,0.4971581,0.003510764475677828,1.0,0.6666666666666666
SNHG29,2.9040358,0.16154869,0.003683858860374325,1.0,1.0
SH3GLB1,2.85607,0.37888038,0.004289204163246723,1.0,0.8373983739837398
MRPL34,2.7970245,0.4671424,0.005157562854745306,1.0,0.6422764227642277
G6PC3,2.7952855,0.589681,0.005185392395933006,1.0,0.5121951219512195
XXYLT1,2.762747,0.68459994,0.005731715280176542,1.0,0.43902439024390244
UCHL3,2.7438974,0.59589297,0.006071450985221738,1.0,0.4959349593495935
PPP2R5E,2.7127898,0.43275812,0.006671942441729209,1.0,0.6829268292682927
SVIL,2.7050478,0.44239104,0.006829454194285514,1.0,0.6585365853658537
FAU,2.6886106,0.10801879,0.0071750087506553505,1.0,1.0
PERP,2.6747537,0.34912977,0.007478417106568314,1.0,0.7804878048780488
TM4SF1,2.6638982,0.2152954,0.007724091766730353,1.0,1.0
HDAC2,2.6637862,0.42349765,0.007726668366941305,1.0,0.6747967479674797
CALR,2.6231134,0.20518196,0.008713029304706887,1.0,1.0
POP5,2.6187935,0.6723151,0.008824132858984774,1.0,0.42276422764227645
CASP4,2.590463,0.47462413,0.00958469582896102,1.0,0.5365853658536586
RPL23,2.5480509,0.08624191,0.01083266349523792,1.0,1.0
RPL3,2.5434787,0.07097278,0.01097547126661701,1.0,1.0
PHAX,2.5209825,0.6436333,0.01170276509821117,1.0,0.3902439024390244
SH3BP5,2.5193276,0.30682334,0.011757920307743225,1.0,0.8536585365853658
PTEN,2.5141103,0.4492351,0.011933311628015341,1.0,0.5772357723577236
FAM120A,2.4762986,0.31933904,0.01327524939041734,1.0,0.7967479674796748
