names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RALBP1,3.4288418,0.47239152,0.0006061624296192227,1.0,0.8411214953271028
S1PR1,3.316595,0.501352,0.0009112154433470722,1.0,0.7570093457943925
GNG11,3.162094,0.31907687,0.0015663899264353406,1.0,0.9626168224299065
GOLPH3,2.8851664,1.0755316,0.0039120676683105995,1.0,0.3364485981308411
SDCBP,2.8342986,0.30264863,0.004592640855228717,1.0,0.9158878504672897
RHOQ,2.7716246,0.6289491,0.0055777312764241,1.0,0.4953271028037383
ZBTB4,2.7291896,0.9184369,0.006349020253555697,1.0,0.35514018691588783
BPTF,2.7039814,0.41789946,0.006851411575677072,1.0,0.719626168224299
RBFOX2,2.640344,0.48729393,0.00828219562756557,1.0,0.616822429906542
SMARCA1,2.6265802,0.44056475,0.008624764861784161,1.0,0.6915887850467289
PPM1G,2.6232374,0.30423507,0.008709859553060643,1.0,0.8598130841121495
TAPBP,2.622153,0.39704317,0.008737618522662442,1.0,0.7009345794392523
RPS20,2.6135697,0.0707599,0.008960182113581803,1.0,1.0
UBAC2,2.6126962,0.86483717,0.008983110342215307,1.0,0.35514018691588783
BSG,2.5815248,0.25609785,0.009836488056447054,1.0,0.9252336448598131
MRPL32,2.5629728,0.714302,0.010378018954961796,1.0,0.4205607476635514
PCYOX1,2.5607743,0.44301566,0.010443920862983966,1.0,0.6261682242990654
POP5,2.5601418,0.7389908,0.010462947780983842,1.0,0.42990654205607476
PVT1,2.5314703,0.37685737,0.011358547405537538,1.0,0.6728971962616822
CMC1,2.5008109,0.5464429,0.01239093256026974,1.0,0.48598130841121495
UFC1,2.4989738,0.28245732,0.012455354131219702,1.0,0.7383177570093458
COX4I1,2.4952393,0.1773408,0.012587224443215281,1.0,1.0
CD93,2.4884026,0.34149894,0.012831837881805367,1.0,0.897196261682243
LIMD1,2.4881015,1.2487888,0.012842709882837292,1.0,0.2616822429906542
RABAC1,2.4430761,0.29080138,0.0145626607376444,1.0,0.9719626168224299
UAP1,2.442504,0.59302455,0.014585767653712106,1.0,0.4485981308411215
ACTB,2.4171152,0.10031999,0.015644064338979143,1.0,1.0
ARCN1,2.3741982,0.4183045,0.01758710598581903,1.0,0.5794392523364486
IER3,2.3658257,0.39028224,0.017989914389885685,1.0,0.6635514018691588
RAB18,2.346671,0.45222348,0.018941966380946713,1.0,0.5327102803738317
MRPS18B,2.3386297,0.49779093,0.01935459990662356,1.0,0.514018691588785
UTRN,2.3228483,0.38443574,0.02018729701912966,1.0,0.6822429906542056
CD55,2.309627,0.22710069,0.02090881506414789,1.0,0.9532710280373832
KLF6,2.2973692,0.4439999,0.021597712948987838,1.0,0.6728971962616822
ZYX,2.28469,0.32557464,0.022331014987353685,1.0,0.7476635514018691
HSPG2,2.2733057,0.2148129,0.023007767803289073,1.0,1.0
ACTG1,2.2701433,0.1168248,0.023198887653159996,1.0,1.0
RSRC2,2.2515912,0.33664382,0.024348120939638347,1.0,0.7476635514018691
NFAT5,2.2495432,0.52982694,0.024477958852268368,1.0,0.5233644859813084
IER2,2.2483385,0.33926985,0.02455461401585823,1.0,0.7383177570093458
PDAP1,2.2004824,0.3052228,0.027772695857186596,1.0,0.8504672897196262
SULF2,2.194218,0.46493647,0.028219748044543358,1.0,0.5607476635514018
SH3BP5,2.193766,0.2926054,0.028252225768632355,1.0,0.8411214953271028
ATP5PF,2.1893992,0.22033545,0.028567841116866076,1.0,0.9158878504672897
HEG1,2.177051,0.73471737,0.029476754512212544,1.0,0.34579439252336447
WDR82,2.1731358,0.5233498,0.029770092563166768,1.0,0.48598130841121495
LPP,2.1709673,0.31365752,0.029933634159012044,1.0,0.7663551401869159
PHTF1,2.157746,0.8522979,0.030947586287960113,1.0,0.3177570093457944
ROMO1,2.1569028,0.2228883,0.0310132459758684,1.0,0.9813084112149533
EXTL3,2.1489217,0.9145537,0.031640611132528494,1.0,0.2897196261682243
MEAF6,2.1365736,0.40724316,0.03263268839258004,1.0,0.5887850467289719
CASC4,2.128984,0.46035793,0.0332555781370205,1.0,0.5327102803738317
CPNE1,2.1152506,0.28838044,0.03440859139601941,1.0,0.794392523364486
SVIL,2.1111245,0.39492974,0.034761605200645015,1.0,0.6261682242990654
CLK3,2.097873,0.89173406,0.03591636418506161,1.0,0.2803738317757009
STAU1,2.0886571,0.24807975,0.036738596040395206,1.0,0.8504672897196262
SNRPB2,2.0780559,0.2681827,0.037704210175894703,1.0,0.8598130841121495
CYLD,2.0729058,0.76579666,0.03818104085917125,1.0,0.29906542056074764
SPARC,2.065226,0.13876094,0.03890162300141945,1.0,0.9719626168224299
EXOC5,2.0627866,0.44609666,0.03913291796582555,1.0,0.4766355140186916
PRKAR2A,2.0553474,0.32655993,0.03984544797012221,1.0,0.6448598130841121
GLRX5,2.046463,0.33284461,0.04071084155704799,1.0,0.7102803738317757
TP53I11,2.0430899,0.6029163,0.04104354442400266,1.0,0.4205607476635514
NEAT1,2.0279107,0.19000104,0.042569353942002154,1.0,0.9906542056074766
FAM171A1,2.0146894,0.4591764,0.0439372096592257,1.0,0.5046728971962616
ADH5,2.012581,0.33610472,0.0441587128685937,1.0,0.616822429906542
GEMIN8,2.0081239,0.8980366,0.044630138321226025,1.0,0.27102803738317754
CRTAP,2.0037267,0.2768276,0.045099346118476116,1.0,0.9252336448598131
ARPC3,1.9993597,0.19994026,0.045569449802072004,1.0,0.9906542056074766
NKAP,1.995836,0.44972008,0.04595177885521905,1.0,0.48598130841121495
SRSF11,1.9865298,0.23624933,0.046974530601136044,1.0,0.8130841121495327
