names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SH3GLB1,3.6298404,0.34431884,0.0002835965504489355,1.0,0.8306878306878307
AAK1,3.147975,0.4366205,0.0016440582071094497,1.0,0.6402116402116402
TSN,3.1003034,0.6754106,0.0019332242995100083,1.0,0.3862433862433862
RALY,3.0783014,0.42518798,0.0020818427832858984,1.0,0.6190476190476191
STRAP,2.8748825,0.34810233,0.004041778468610415,1.0,0.6878306878306878
GDE1,2.867481,0.6334069,0.004137536761373256,1.0,0.3862433862433862
RCN1,2.8482459,0.2332222,0.00439609357102957,1.0,0.9312169312169312
EPHA2,2.7623296,0.45992848,0.00573905259618891,1.0,0.5026455026455027
SDF2L1,2.7479763,0.37601963,0.005996433289662134,1.0,0.6243386243386243
COMT,2.6395178,0.27044514,0.008302405953114284,1.0,0.7671957671957672
SELENON,2.6367056,0.39422625,0.008371543239254932,1.0,0.5502645502645502
HELZ,2.591734,0.4938625,0.009549358476288333,1.0,0.3862433862433862
CMSS1,2.5458848,0.30578,0.010900113336627429,1.0,0.6296296296296297
CCDC28B,2.5106094,0.51938355,0.012052296955493156,1.0,0.42857142857142855
ASL,2.4383712,0.42138186,0.01475361526450565,1.0,0.4708994708994709
ICE1,2.4317122,0.6181194,0.015027648656265182,1.0,0.32275132275132273
HDGFL3,2.42809,0.32611573,0.01517857512925223,1.0,0.6084656084656085
ADGRL4,2.4120047,0.26542953,0.015865081622735276,1.0,0.7777777777777778
GTPBP6,2.404558,0.3969086,0.01619203424424536,1.0,0.48148148148148145
GNAQ,2.3918247,0.32089767,0.016764847937796,1.0,0.5873015873015873
LRP8,2.382061,0.44076017,0.01721604782690111,1.0,0.4444444444444444
DNAJB6,2.3776965,0.23688263,0.01742115768987029,1.0,0.8359788359788359
TCTN3,2.3722973,0.50364834,0.017677864546569114,1.0,0.3915343915343915
RECK,2.357629,0.5239906,0.01839205928200952,1.0,0.3862433862433862
RBM28,2.34926,0.42992574,0.01881075797791002,1.0,0.49206349206349204
ACTA2,2.342376,0.5702502,0.01916139724276553,1.0,0.3386243386243386
PLAU,2.326673,0.58501995,0.019982671924080923,1.0,0.32275132275132273
FAM204A,2.3011389,0.28704816,0.021383783337315394,1.0,0.6137566137566137
