names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CHM,3.539042,0.73863375,0.0004015818732906011,1.0,0.42857142857142855
SMS,3.0704274,0.25272298,0.0021375267453568737,1.0,0.8571428571428571
SF3B1,2.9689655,0.36736065,0.0029880422234273723,1.0,0.6455026455026455
FAM210B,2.8275712,0.39979532,0.004690259677612217,1.0,0.5978835978835979
TRPV2,2.7717109,0.5359836,0.005576255334916921,1.0,0.43915343915343913
NFE2L1,2.760867,0.37914115,0.005764811243752986,1.0,0.5978835978835979
PCMTD1,2.6745007,0.48119792,0.00748405948052205,1.0,0.49206349206349204
UHRF2,2.6589777,0.34479085,0.007837812488108782,1.0,0.6507936507936508
SWAP70,2.595176,0.44068596,0.00945424871363384,1.0,0.5343915343915344
TAF10,2.5609355,0.28408772,0.010439075671490305,1.0,0.8306878306878307
PRKCSH,2.5322967,0.31051436,0.011331808839365989,1.0,0.6772486772486772
APBB2,2.5009131,0.52673376,0.01238735515615659,1.0,0.37037037037037035
UTRN,2.494164,0.3074759,0.012625418834221299,1.0,0.671957671957672
MAN2C1,2.493984,0.7875957,0.012631822266768497,1.0,0.2857142857142857
LAMP2,2.474929,0.34517172,0.013326266679353936,1.0,0.582010582010582
PRMT2,2.4573362,0.2646178,0.013997160226653578,1.0,0.7407407407407407
SHISA5,2.4425106,0.3903405,0.014585498529183002,1.0,0.544973544973545
ESD,2.4252553,0.23333438,0.015297620966339484,1.0,0.7619047619047619
SRSF1,2.420621,0.42756164,0.015494022473802129,1.0,0.4973544973544973
RNF19A,2.3761892,0.41898724,0.017492490733245346,1.0,0.4603174603174603
ACP1,2.3172917,0.35717916,0.020487842627058106,1.0,0.5767195767195767
DCAF10,2.3167744,0.49671546,0.02051602702111944,1.0,0.38095238095238093
ZNF185,2.3083603,0.82998514,0.02097909780667818,1.0,0.25396825396825395
UBE2M,2.2982593,0.25367922,0.021547039279265948,1.0,0.6613756613756614
ZBTB8OS,2.2898004,0.46766126,0.022032894566555328,1.0,0.4444444444444444
POLR2J3,2.2892604,0.38593146,0.022064227650371387,1.0,0.5343915343915344
C20orf194,2.2790468,0.687742,0.022664289113063788,1.0,0.2804232804232804
SEPTIN7,2.2782142,0.18621098,0.02271381199429779,1.0,0.8835978835978836
GDI1,2.2731524,0.5205553,0.023016993815675055,1.0,0.36507936507936506
RBFA,2.2611165,0.38810506,0.023752043147565925,1.0,0.4497354497354497
TM9SF2,2.243074,0.30099726,0.024892053675866926,1.0,0.6190476190476191
ME1,2.2247837,0.27033648,0.02609576297122602,1.0,0.6984126984126984
RNF139,2.2088108,0.74585176,0.027187807469048676,1.0,0.25925925925925924
FLNB,2.2065384,0.22850052,0.027346315136238843,1.0,0.8518518518518519
ARF5,2.2007117,0.62432265,0.027756433932407166,1.0,0.291005291005291
ILF3,2.1828265,0.24241346,0.02904858293062565,1.0,0.7354497354497355
FBL,2.1806219,0.26749104,0.02921139607774614,1.0,0.671957671957672
BDH2,2.179677,0.7070444,0.02928141316093343,1.0,0.291005291005291
USP47,2.1660438,0.46739736,0.03030784412855835,1.0,0.42328042328042326
LAMTOR1,2.1604645,0.23894276,0.030736731620237923,1.0,0.6931216931216931
LRRC38,2.1178548,0.52862597,0.03418735401558618,1.0,0.4021164021164021
HHIP-AS1,2.100217,0.27939507,0.035709737373408275,1.0,0.5396825396825397
DDX39B,2.094053,0.305243,0.036255258161613936,1.0,0.5767195767195767
PCYOX1,2.0921633,0.26525262,0.036423914264147546,1.0,0.5925925925925926
DOK5,2.0881138,0.82036245,0.03678757264688963,1.0,0.2275132275132275
PCBD1,2.0516684,0.22056267,0.04020189332258913,1.0,0.8042328042328042
SPG7,2.0414097,0.3808733,0.04121011250185542,1.0,0.43386243386243384
ZNF37A,2.0330858,0.5345309,0.0420438495217573,1.0,0.3439153439153439
EPRS,2.0296888,0.2322926,0.042388182578723205,1.0,0.7354497354497355
PIR,2.0221298,0.18762286,0.043162947468297776,1.0,0.8465608465608465
HHIP,2.0188003,0.28641394,0.04350799065855454,1.0,0.6613756613756614
LAMTOR5,2.0004876,0.20726098,0.04544764264098999,1.0,0.8306878306878307
