names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PCBP2,3.5164702,0.44567785,0.0004373257586035649,1.0,0.9772727272727273
S1PR1,3.021202,0.7882717,0.002517733213242508,1.0,0.7954545454545454
BRD7,3.0066075,0.676392,0.0026418060823514165,1.0,0.8181818181818182
ARCN1,2.817682,0.78747,0.004837168722807068,1.0,0.6590909090909091
GSTA4,2.8077161,1.1014023,0.004989417454132406,1.0,0.5
PIGT,2.7844312,0.65030986,0.005362170528376125,1.0,0.7727272727272727
MRPL28,2.7640743,0.75595474,0.005708451834962975,1.0,0.6363636363636364
KTN1,2.7576509,0.28999692,0.00582183261512174,1.0,0.9772727272727273
LDLR,2.7265255,0.5700866,0.006400501113726902,1.0,0.7727272727272727
TXNIP,2.6597402,0.7064114,0.00782009196687917,1.0,0.7272727272727273
HEBP1,2.5844064,0.68161875,0.00975468125948988,1.0,0.6818181818181818
ANTKMT,2.5802972,0.8491086,0.009871533347614023,1.0,0.5681818181818182
POMP,2.5775106,0.33368176,0.009951485936318963,1.0,0.9772727272727273
TOMM5,2.572504,0.35667363,0.010096579798002724,1.0,0.9318181818181818
RLF,2.563152,1.4584587,0.010372657936350537,1.0,0.36363636363636365
ANP32A,2.5075135,0.5757771,0.01215839024938407,1.0,0.7727272727272727
SBDS,2.497973,0.5927217,0.012490575508780027,1.0,0.7727272727272727
DDA1,2.451497,0.9380004,0.014226329650638844,1.0,0.5227272727272727
PSAT1,2.4452627,0.67009807,0.014474668687475928,1.0,0.6818181818181818
EIF2A,2.4144206,0.6104682,0.015760259119171352,1.0,0.6590909090909091
KPNA3,2.4121535,0.6759299,0.015858605126717145,1.0,0.6590909090909091
P4HB,2.3934498,0.39743254,0.016690763617279978,1.0,0.9545454545454546
ZSWIM7,2.3662918,0.8585153,0.017967277119437675,1.0,0.5
HYOU1,2.3629856,0.7354533,0.018128374052869708,1.0,0.5454545454545454
DESI1,2.324917,0.62304956,0.020076392791461006,1.0,0.6590909090909091
SORBS2,2.3243032,0.8729656,0.02010925457388601,1.0,0.5454545454545454
COPA,2.2836368,0.54070896,0.02239287976180579,1.0,0.8181818181818182
