names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
AK1,3.5727854,0.663591,0.0003532042741515107,1.0,0.75
NASP,3.2959468,0.5703846,0.0009809059941661197,1.0,0.725
NDUFAF8,3.2391405,0.44676852,0.0011989047078187003,1.0,0.9125
RPL17,3.173396,0.12120863,0.0015066676284304578,1.0,1.0
RPL23,3.009821,0.11536533,0.0026140179698154573,1.0,1.0
RPS8,2.9432385,0.10166197,0.003247980202812928,1.0,1.0
S100A10,2.7503698,0.15137085,0.005952803979593336,1.0,1.0
METTL26,2.7161884,0.3312538,0.006603833949080398,1.0,0.875
NDUFAB1,2.6923766,0.4312666,0.0070944801957696325,1.0,0.9
NIFK,2.6805754,0.6127931,0.007349571571028921,1.0,0.6375
UXT,2.6596615,0.38036123,0.007821923102106793,1.0,0.8
DANCR,2.6472666,0.571858,0.008114532007432354,1.0,0.625
NKTR,2.6166465,0.57522696,0.008879823616328286,1.0,0.6
MRPS36,2.6150753,0.5196631,0.008920776207780864,1.0,0.675
ACBD6,2.607883,0.6135693,0.00911040971061451,1.0,0.625
DNAJC8,2.5000315,0.34423703,0.012418226856276799,1.0,0.8625
NDUFB4,2.495353,0.31661376,0.012583190931079194,1.0,0.9375
RPL18A,2.4885795,0.11097357,0.01282545702350985,1.0,1.0
TMSB10,2.4799206,0.09593295,0.013141163234067424,1.0,1.0
SMARCE1,2.4746835,0.40766317,0.013335432433044575,1.0,0.7375
ATP5MF,2.4696207,0.3004261,0.013525634590966994,1.0,0.95
RTF1,2.4602637,0.40825912,0.013883498127293864,1.0,0.8
C19orf53,2.3731863,0.2947615,0.017635360722430615,1.0,0.925
THUMPD3-AS1,2.3588364,0.6173672,0.018332331784764642,1.0,0.4875
RPL36A,2.3294733,0.11672262,0.019834009833895216,1.0,1.0
RPS3A,2.3293335,0.09457365,0.019841401480975154,1.0,1.0
ATP6V0C,2.2994118,0.3868994,0.021481573519701362,1.0,0.7875
MRPS21,2.287331,0.28047866,0.022176499072023532,1.0,0.9625
SLC25A6,2.2723527,0.19263624,0.023065210621934003,1.0,0.9875
RPL32,2.2625418,0.08752322,0.023663951560713378,1.0,1.0
FAM171A1,2.2609358,0.5933225,0.02376323979939915,1.0,0.5375
HSPB1,2.2593296,0.25284505,0.02386288923222812,1.0,1.0
RPS6,2.2434084,0.07038438,0.024870483410968956,1.0,1.0
RPS20,2.239533,0.103012376,0.025121257747582316,1.0,1.0
RPS19,2.2253926,0.08278324,0.02605489836825699,1.0,1.0
ZC3H13,2.2216566,0.38595507,0.02630651751596745,1.0,0.6625
MTX1,2.206853,0.5664665,0.027324342607305235,1.0,0.5125
RPL14,2.202279,0.072597146,0.027645606073730847,1.0,1.0
AL161772.1,2.1993113,1.3510604,0.0278557976475951,1.0,0.25
RPS25,2.1916997,0.08623192,0.02840118608566496,1.0,1.0
DHX15,2.1734743,0.48491606,0.02974463139224511,1.0,0.55
RPS27A,2.1591594,0.07452523,0.030837805314710937,1.0,1.0
DNTTIP1,2.1486151,0.7572624,0.03166492139960812,1.0,0.3875
TSPAN11,2.1259556,1.0207976,0.03350696541058828,1.0,0.3
CD151,2.1231623,0.23944406,0.03374025226150747,1.0,0.85
PHLDA3,2.1229877,0.49159878,0.03375487869542078,1.0,0.5125
JOSD2,2.1160398,0.46945056,0.034341429289330185,1.0,0.575
SRSF1,2.111047,0.49639973,0.03476827894548703,1.0,0.525
RPL13,2.106508,0.08638246,0.03516024785362403,1.0,1.0
ATXN7L3B,2.0890508,0.56374687,0.03670316247104264,1.0,0.475
RPS3,2.0632138,0.0678585,0.039092319913085295,1.0,1.0
PIN4,2.0551834,0.43907145,0.03986129215960704,1.0,0.5625
NUP62,2.054939,0.807199,0.03988489549826406,1.0,0.325
RPS7,2.054136,0.09512187,0.03996253283509418,1.0,1.0
TMEM14B,2.0494225,0.34798604,0.04042081957100981,1.0,0.7375
YWHAE,2.0479212,0.16803953,0.04056772493563917,1.0,1.0
H1FX,2.0425444,0.4898198,0.0410975698183484,1.0,0.6125
NBDY,2.0338504,0.3005072,0.04196666685300822,1.0,0.75
EIF3A,2.0272865,0.2554146,0.04263311313820804,1.0,0.925
PYM1,2.0239697,0.7860398,0.04297327105253496,1.0,0.3375
FOXA1,2.0035446,0.9991382,0.04511886644145514,1.0,0.3
PUM3,2.0030208,0.48909697,0.04517504840101927,1.0,0.525
EIF6,1.9914292,0.24520832,0.04643372244981262,1.0,0.8
MIR99AHG,1.9692235,0.68412066,0.04892743717105032,1.0,0.4375
MRPL22,1.9663954,0.37020308,0.04925295899251659,1.0,0.75
RPL18,1.9602853,0.081052005,0.04996245446401928,1.0,1.0
SNHG8,1.950998,0.32280716,0.0510572858788592,1.0,0.8
NDUFA12,1.9438754,0.3089719,0.05191048025383027,1.0,0.7375
UPP1,1.9364735,0.96775794,0.05280973871789894,1.0,0.3
C6orf62,1.9303285,0.39353177,0.05356614976939112,1.0,0.65
LUC7L3,1.9256848,0.35603625,0.05414373906073398,1.0,0.7125
ARID4B,1.9206222,0.4963019,0.05477935417611506,1.0,0.4875
ARHGAP26,1.9142329,0.5812803,0.05559041487695921,1.0,0.4125
NSA2,1.912487,0.16049811,0.05581374845458194,1.0,0.925
PRPF6,1.8854282,0.31167772,0.059372050627396665,1.0,0.75
PPP2R5C,1.8846949,0.5691844,0.0594710298754511,1.0,0.4875
ISG15,1.879388,0.46679822,0.060191540221338595,1.0,0.4875
YES1,1.8726844,0.36255875,0.06111198830804422,1.0,0.6625
SRI,1.855995,0.29423258,0.06345425516707219,1.0,0.825
DAG1,1.8492565,0.5694602,0.06442077309790806,1.0,0.4125
RPL31,1.8462888,0.14634354,0.06485027942918876,1.0,1.0
OTUB1,1.8353256,0.46250722,0.06645745827907036,1.0,0.4875
RPS18,1.8278887,0.06168286,0.06756624476781446,1.0,1.0
DLEU1,1.8277142,0.84184176,0.06759245434995029,1.0,0.2875
MRPL33,1.8208011,0.2932319,0.06863709683231263,1.0,0.8625
RNF187,1.8205566,0.6095058,0.06867427012783313,1.0,0.45
BAZ1A,1.819998,0.36039737,0.06875929979279002,1.0,0.5875
RPL27A,1.811863,0.0710808,0.07000737687263614,1.0,1.0
PUF60,1.8103966,0.3488428,0.07023431801155701,1.0,0.6625
CTBP1,1.8032739,0.4052647,0.07134520529560336,1.0,0.55
UQCC1,1.7985605,0.86493814,0.07208823930426238,1.0,0.2875
RBMS2,1.7848041,0.62768364,0.07429310529000482,1.0,0.4125
SMAD4,1.7825695,0.55888414,0.07465640588517995,1.0,0.3875
RPL27,1.7782401,0.065885484,0.07536443055731458,1.0,1.0
KIF2A,1.7749931,0.39593598,0.07589903844245831,1.0,0.55
SHMT2,1.7735615,0.40895692,0.07613570651883626,1.0,0.5625
PSMA6,1.7731076,0.3225566,0.07621087318958054,1.0,0.675
CALD1,1.7727934,0.2021562,0.07626294710349542,1.0,0.95
RPL13A,1.7650772,0.06694921,0.0775507826268599,1.0,1.0
TMEM160,1.7569422,0.32150358,0.07892767314869253,1.0,0.6375
RPS12,1.7511114,0.07014759,0.07992672645633557,1.0,1.0
DNAJC12,1.7507273,0.38142702,0.07999289150233534,1.0,0.5625
EIF5,1.7461185,0.340735,0.08079034909244329,1.0,0.7125
MAP7D3,1.7455949,0.40122527,0.08088137632297371,1.0,0.6
TUSC1,1.7399735,0.78992283,0.08186365488202459,1.0,0.275
RPS10,1.7392404,0.20529187,0.08199248859933293,1.0,0.9625
DAD1,1.7379835,0.21199986,0.08221372895253634,1.0,0.8625
ARF1,1.7335144,0.27465278,0.08300428464352944,1.0,0.8
NDUFAF2,1.7298484,0.26360986,0.08365737639548562,1.0,0.7
PSMA2,1.7263918,0.2501469,0.0842769538309564,1.0,0.85
SLC9A3R2,1.719374,0.39489076,0.08554630683060986,1.0,0.575
PCBD1,1.7178726,0.2912385,0.08581985662225097,1.0,0.8
TAF2,1.7175933,0.589522,0.0858708275101333,1.0,0.4375
MRPL24,1.7128099,0.44854394,0.08674750641160879,1.0,0.5
GABARAPL1,1.7098422,1.2267406,0.08729505422383439,1.0,0.2375
PARP1,1.7028593,0.3260738,0.08859440644809179,1.0,0.65
KRT8,1.69846,0.26407513,0.0894209710866173,1.0,0.8125
NAP1L1,1.6975871,0.0954347,0.08958570806614048,1.0,0.9875
CAT,1.6946194,0.64200765,0.09014764244728715,1.0,0.375
