names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PTPRA,4.0955553,0.5213531,4.211575876098015e-05,0.4178164040814304,0.9529411764705882
NOVA1,3.967948,0.8310244,7.249414000503109e-05,0.5393926487074338,0.6588235294117647
ADIRF,3.448208,0.40887213,0.0005643192575074023,1.0,0.9647058823529412
FTL,3.4203436,0.18573882,0.0006254207865742417,1.0,1.0
LY6E,3.2854571,0.5312772,0.001018170697454691,1.0,0.8
ACOT7,3.2229908,0.51544213,0.0012685966167024706,1.0,0.8117647058823529
CUX1,3.1924517,0.664878,0.0014107056509340625,1.0,0.6470588235294118
RAB31,3.1607275,0.7311399,0.0015737562281421004,1.0,0.5882352941176471
ICAM1,2.9538946,0.91567796,0.00313791090665509,1.0,0.4470588235294118
KCTD12,2.941503,0.5639843,0.003266237060249314,1.0,0.788235294117647
AK5,2.9061563,1.1899579,0.003658987626586068,1.0,0.35294117647058826
PTX3,2.8610585,0.54599476,0.004222290592648433,1.0,0.7529411764705882
PRMT1,2.7796323,0.4242997,0.005442048359165653,1.0,0.7647058823529411
ADGRG6,2.74178,0.57762986,0.006110724157240914,1.0,0.6235294117647059
AP1S2,2.7323678,0.3856447,0.006288090078522827,1.0,0.8
NMT1,2.7194345,0.49433926,0.006539366537505565,1.0,0.7411764705882353
SQSTM1,2.7189264,0.40127015,0.006549415162369993,1.0,0.8235294117647058
USP14,2.651314,0.41110775,0.008017927228098954,1.0,0.8
ETS2,2.6500611,0.8717948,0.008047718118914289,1.0,0.4823529411764706
CCND1,2.6492486,0.38481423,0.008067094891008573,1.0,0.9294117647058824
WDR36,2.6443055,0.56413925,0.008185872741608927,1.0,0.6235294117647059
JADE1,2.6402426,0.86511123,0.008284667677166995,1.0,0.38823529411764707
TNFRSF1A,2.6369586,0.49986643,0.008365305174857306,1.0,0.6941176470588235
CYB5B,2.6351979,0.50547683,0.008408821967506858,1.0,0.6941176470588235
SRPK1,2.621689,0.5211065,0.008749523038856087,1.0,0.7176470588235294
CCT4,2.593486,0.3118719,0.009500838926059253,1.0,0.8588235294117647
ADAMTS1,2.588543,0.90569985,0.009638293172684565,1.0,0.47058823529411764
SERPINB1,2.5828211,0.4330174,0.009799612771531295,1.0,0.8
SDCBP,2.5729349,0.29338187,0.01008401972919804,1.0,0.8941176470588236
ABLIM3,2.5339315,0.84363127,0.011279078940661482,1.0,0.4117647058823529
GLRX,2.5021057,0.59953475,0.012345702133212138,1.0,0.5411764705882353
PDIA3,2.5020041,0.2770093,0.012349244621385886,1.0,0.9764705882352941
GOLGA2,2.4922533,0.5576931,0.012693544076193355,1.0,0.5647058823529412
AP3S1,2.4736998,0.4405915,0.013372203763726168,1.0,0.6941176470588235
PSD3,2.473395,0.6162462,0.013383612313461586,1.0,0.4823529411764706
DUSP3,2.4720745,0.8921203,0.013433148828322968,1.0,0.3764705882352941
E2F7,2.4608002,0.7635962,0.0138627552447626,1.0,0.4470588235294118
LIMA1,2.4390302,0.42435244,0.014726742637697944,1.0,0.7764705882352941
CDC16,2.4357798,0.7406181,0.014859727552357675,1.0,0.4470588235294118
POU2F1,2.4268076,1.3475038,0.015232328660604906,1.0,0.25882352941176473
OGT,2.4221015,0.7240697,0.015431038390316449,1.0,0.4235294117647059
IARS2,2.4214582,0.37813306,0.015458376641878628,1.0,0.8
FKBP11,2.416075,0.58909136,0.015688830540056854,1.0,0.5176470588235295
ALDH1A3,2.4095745,0.64909333,0.015971138659074704,1.0,0.4823529411764706
CNOT7,2.3926458,0.38903543,0.01672737713402256,1.0,0.8
AKAP12,2.3777826,0.51822776,0.01741709030053008,1.0,0.5764705882352941
VEZF1,2.3768685,0.5759927,0.01746031254947475,1.0,0.49411764705882355
TOP2B,2.3756497,0.575946,0.017518088489519416,1.0,0.5411764705882353
CORO1C,2.3749049,0.5662521,0.017553478458641747,1.0,0.5529411764705883
ADAM23,2.3744307,0.8028174,0.01757603196637807,1.0,0.4117647058823529
SNTB2,2.3610911,0.40621862,0.01822125490867291,1.0,0.788235294117647
SPART,2.3594997,0.43570513,0.018299590930405663,1.0,0.6823529411764706
IL6ST,2.3559449,0.3602747,0.018475662800929275,1.0,0.8823529411764706
HIF1A,2.3465326,0.41081068,0.018949011785115915,1.0,0.8117647058823529
NDUFS5,2.3355968,0.10996743,0.01951227081812528,1.0,0.9764705882352941
OPTN,2.3311954,0.5029719,0.01974306500678762,1.0,0.6
OGFOD1,2.3264892,0.81830496,0.019992470916555587,1.0,0.4
ARHGAP6,2.3261845,0.5280206,0.020008713881787293,1.0,0.5764705882352941
H2AFJ,2.3192775,0.3616232,0.02037998990982166,1.0,0.7647058823529411
UXT,2.3153162,0.33387077,0.02059562788410927,1.0,0.8470588235294118
TECR,2.3139958,0.52354556,0.02066794799713056,1.0,0.611764705882353
TOP1,2.3100684,0.2866916,0.020884364182583146,1.0,0.8470588235294118
KCTD9,2.3089511,0.8075677,0.020946290591054947,1.0,0.35294117647058826
MYADM,2.30306,0.24600501,0.02127546487139699,1.0,1.0
CUL3,2.3030262,0.6311667,0.02127736962552931,1.0,0.5176470588235295
DNAJB4,2.2982523,0.5286022,0.021547431254746004,1.0,0.6352941176470588
SNAPIN,2.2892125,0.6932902,0.022067008605584974,1.0,0.4235294117647059
ADAM15,2.28603,0.3907674,0.02225250730779273,1.0,0.6823529411764706
MANF,2.2766516,0.45323572,0.02280704339602739,1.0,0.6470588235294118
DDX24,2.2752633,0.30426228,0.0228901345271299,1.0,0.8941176470588236
OTUD6B,2.2743492,0.68618196,0.022944996577765227,1.0,0.38823529411764707
PPP1R10,2.2708619,0.69409657,0.02315533541038144,1.0,0.4470588235294118
