names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COMT,4.2245965,1.1981654,2.3936947342667202e-05,0.35620571340623064,1.0
PA2G4,3.2432342,0.58226156,0.0011818105582386202,1.0,1.0
PSMD14,3.0787845,0.95929855,0.002078469295017136,1.0,0.84
SSBP1,3.0359774,0.7316556,0.002397572892066195,1.0,0.92
ZFP36L1,2.9958065,0.61333144,0.002737200017581784,1.0,0.96
CZIB,2.9622262,1.1816785,0.0030542329275699176,1.0,0.68
ZMYND11,2.9364917,1.2428254,0.003319476520322451,1.0,0.64
LDLR,2.9074934,0.9130208,0.0036433804449749873,1.0,0.8
TMEM245,2.802547,1.2168897,0.005070083605839292,1.0,0.64
RRAGC,2.8016055,1.4143625,0.0050849020583015,1.0,0.56
SMIM19,2.7721677,1.1108873,0.005568433775900893,1.0,0.8
HNRNPA2B1,2.7618113,0.44426796,0.005748171407995321,1.0,0.88
TMA16,2.689127,1.1733454,0.007163916582331315,1.0,0.64
DDR2,2.687746,0.96752375,0.007193607337175318,1.0,0.8
GTPBP4,2.5997467,1.0807205,0.00932925823156662,1.0,0.72
ECE1,2.5492194,0.581939,0.010796438467855468,1.0,0.92
SDCBP,2.541499,0.53067005,0.01103782744756149,1.0,0.92
CYP20A1,2.520472,1.9007341,0.011719755800277521,1.0,0.44
GPN1,2.509425,1.3765448,0.012092788581587672,1.0,0.52
PTS,2.5057218,1.1151454,0.01222017390751267,1.0,0.6
ARHGDIA,2.503525,0.6711729,0.012296302074357203,1.0,0.8
VPS51,2.4936078,1.2124457,0.012645220417977547,1.0,0.6
LY6E,2.4873939,0.7506853,0.012868286807224604,1.0,0.8
KIAA1143,2.48118,1.2456834,0.013094827794463807,1.0,0.56
S100A11,2.4656136,0.17106576,0.013677877771438031,1.0,0.96
OSBPL8,2.4572656,0.9275374,0.013999912538977912,1.0,0.76
SNRPA1,2.4500475,1.1653935,0.0142837398769984,1.0,0.6
CCDC124,2.4418876,0.9061522,0.014610690068001714,1.0,0.72
FBN1,2.4368663,0.8372633,0.01481515365888147,1.0,0.72
CD59,2.4344811,0.22300422,0.01491315412037437,1.0,0.96
REXO2,2.4313428,0.6503119,0.015042972031836075,1.0,0.96
SHARPIN,2.413517,1.0482728,0.01579938956871354,1.0,0.64
SLC25A1,2.4012146,0.8706608,0.016340746027265637,1.0,0.8
DDIT4,2.3889124,0.8384361,0.01689833279152461,1.0,0.76
ATG101,2.3784304,1.4468452,0.017386524914139022,1.0,0.48
GALNT6,2.372028,0.7133388,0.0176907482906166,1.0,0.8
NR2F6,2.3705845,1.070268,0.017759988813462694,1.0,0.6
KIF1BP,2.3678226,1.1826843,0.017893110904741126,1.0,0.52
SP100,2.35665,0.77001846,0.018440612434490643,1.0,0.76
POLR2K,2.3554575,0.6218539,0.018499910854783506,1.0,0.84
CTSL,2.338636,0.65445316,0.01935428065598525,1.0,0.88
RRS1,2.3229442,1.3331168,0.02018214836522207,1.0,0.48
OTUD6B-AS1,2.322693,0.82530236,0.02019564161119011,1.0,0.72
BEX4,2.320308,1.1011392,0.020324220539571797,1.0,0.6
PPP2R5C,2.3140314,0.91135955,0.020666004200274368,1.0,0.6
SRSF11,2.3118346,0.5916899,0.020786806810214106,1.0,0.88
PNO1,2.300348,1.1368926,0.02142850598075423,1.0,0.56
TNNT1,2.2822084,1.3408176,0.022477036677237276,1.0,0.48
MBTPS1,2.2756808,1.417759,0.02286512868109645,1.0,0.52
RPL22L1,2.272919,0.39165953,0.02303106588227196,1.0,1.0
ZHX1,2.2722912,1.1255312,0.023068924417388507,1.0,0.56
ITSN1,2.2468705,1.0772219,0.02464829683822608,1.0,0.6
STK17A,2.2369535,0.64271957,0.025289383735273174,1.0,0.8
EMC1,2.2277894,1.200354,0.025894558741431747,1.0,0.52
LARP1,2.227413,0.7996764,0.025919694571029717,1.0,0.72
SUMO2,2.2240233,0.3044399,0.026146867964042177,1.0,0.96
TMF1,2.217182,0.80411017,0.026610669058024675,1.0,0.64
DDX46,2.217119,0.92463154,0.026614956799829583,1.0,0.76
TUBA1B,2.2107167,0.5642059,0.027055452815653917,1.0,0.96
IDI1,2.2046912,0.6997481,0.027475771758023126,1.0,0.8
SERPINB6,2.1999836,0.5084753,0.02780805403673845,1.0,0.88
GLO1,2.188058,0.5063801,0.028665382646751326,1.0,0.84
HEBP2,2.1810908,0.51219004,0.029176701565922898,1.0,0.88
MALL,2.1725545,0.89509106,0.029813864932737962,1.0,0.6
CDKN2AIP,2.1697927,1.9202421,0.03002255112380504,1.0,0.36
