names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
EDN1,4.3032613,0.75473595,1.6830224915400784e-05,0.5009011539321581,0.6241610738255033
SSR3,3.9423254,0.4758343,8.069543349653412e-05,1.0,0.9463087248322147
DRAM1,3.6503727,0.7788805,0.00026186001119629535,1.0,0.4563758389261745
SSR2,3.4024088,0.32182556,0.0006679462003834941,1.0,0.9395973154362416
EMP3,3.2854958,0.25742266,0.0010180310741059522,1.0,0.9865771812080537
CCT3,3.1200423,0.23009194,0.0018082504317223627,1.0,0.8993288590604027
B2M,3.1020908,0.101180464,0.0019215894225679904,1.0,1.0
RER1,3.013427,0.3804884,0.0025831514429920702,1.0,0.7449664429530202
UBE2R2,2.966794,0.36333603,0.003009225346222231,1.0,0.6845637583892618
RPS27L,2.831319,0.13484979,0.004635645511606197,1.0,0.9932885906040269
SCP2,2.7900765,0.32112548,0.005269558962607619,1.0,0.785234899328859
CCL2,2.7597675,0.58578783,0.005784250324966254,1.0,0.5704697986577181
IFT57,2.6953864,0.35283047,0.0070307038013247905,1.0,0.7181208053691275
APRT,2.598942,0.15627797,0.009351159135184684,1.0,0.9463087248322147
VEZT,2.5232966,0.4170519,0.011626026994355968,1.0,0.5436241610738255
HCFC1R1,2.5100238,0.5133935,0.012072302555211236,1.0,0.47651006711409394
ARPP19,2.5076845,0.28244656,0.0121525114522105,1.0,0.7315436241610739
NDUFS3,2.5064385,0.41377372,0.0121954238625399,1.0,0.5906040268456376
GOLPH3L,2.503896,0.7693567,0.012283417049715967,1.0,0.30201342281879195
HYI,2.4837832,0.40709034,0.0129994938242527,1.0,0.6308724832214765
TAF2,2.4763331,0.5404534,0.013273968681165765,1.0,0.4563758389261745
BMX,2.458458,0.55216116,0.013953513822254975,1.0,0.42953020134228187
CLUAP1,2.3886354,0.716737,0.016911074631156417,1.0,0.3221476510067114
TSPO,2.3710399,0.16334175,0.017738113467662874,1.0,1.0
SCAMP1,2.36687,0.40704933,0.01793923618569077,1.0,0.5033557046979866
PSMC5,2.363717,0.30331975,0.018092628095255157,1.0,0.7181208053691275
RPS19BP1,2.357589,0.35836,0.018394041259170515,1.0,0.6375838926174496
COMMD6,2.3565974,0.18673594,0.018443228623452212,1.0,0.9463087248322147
ERMP1,2.3540802,0.5715875,0.01856860620976807,1.0,0.38926174496644295
EFNA5,2.3532157,0.49222112,0.018611836900996354,1.0,0.44966442953020136
ANXA7,2.340909,0.37452626,0.019236855774964475,1.0,0.5771812080536913
MED31,2.3281446,0.4296359,0.019904424166698048,1.0,0.5033557046979866
RBMS1,2.3154058,0.38369164,0.02059073800904246,1.0,0.5704697986577181
BDH2,2.3039126,0.7559744,0.021227542309604403,1.0,0.3087248322147651
NUTM2B-AS1,2.2966151,0.44215152,0.02164073077434304,1.0,0.42953020134228187
ACOT7,2.2942505,0.289783,0.021776114581877247,1.0,0.7516778523489933
FUOM,2.2900295,0.44078857,0.022019600031659838,1.0,0.48322147651006714
EIF5A,2.2872834,0.17600033,0.02217928092244272,1.0,0.9463087248322147
ICMT,2.2814353,0.6237498,0.022522701421216845,1.0,0.35570469798657717
RSPRY1,2.2747734,0.4745564,0.02291952498507209,1.0,0.4228187919463087
ATXN1,2.251406,0.6684053,0.024359831989977227,1.0,0.3087248322147651
VASP,2.2482276,0.36190224,0.024561676320745313,1.0,0.5637583892617449
SEC31A,2.2314205,0.2541098,0.02565329235199969,1.0,0.7718120805369127
HRAS,2.208104,0.40379763,0.02723703111808419,1.0,0.5302013422818792
TATDN1,2.1837194,0.32966313,0.02898287092987344,1.0,0.610738255033557
MLLT11,2.1774898,0.35542953,0.029444040247971322,1.0,0.5637583892617449
SVIL,2.1723535,0.31190738,0.029829003872597494,1.0,0.6241610738255033
PSMD9,2.1674716,0.37779698,0.03019891322811455,1.0,0.5704697986577181
CDC42EP5,2.166658,0.3821424,0.030260946470469386,1.0,0.5302013422818792
GUSB,2.1555717,0.47250345,0.031117118724165303,1.0,0.4161073825503356
LAGE3,2.1528256,0.44241166,0.03133238280746531,1.0,0.5167785234899329
CEBPZOS,2.1383576,0.4204725,0.032487722025443,1.0,0.44966442953020136
HIGD2A,2.12867,0.2614412,0.03328156985696006,1.0,0.8389261744966443
ERLIN2,2.099251,0.5682375,0.03579477835696136,1.0,0.3825503355704698
RORA,2.0970135,0.59009373,0.03599238478868013,1.0,0.348993288590604
MED4,2.0908856,0.4416401,0.036538324869307824,1.0,0.4697986577181208
PPP1CB,2.0905042,0.2814923,0.03657253654573374,1.0,0.6845637583892618
ATR,2.0780704,0.4779158,0.03770287978199589,1.0,0.3691275167785235
CEP97,2.074485,0.8930978,0.03803427652034401,1.0,0.21476510067114093
PRDX6,2.0690947,0.15778884,0.038537207445841444,1.0,0.9194630872483222
SERPINE1,2.0665774,0.19400075,0.03877399589241603,1.0,0.9932885906040269
EIF1B,2.0491345,0.30789268,0.04044896904345929,1.0,0.610738255033557
BICD1,2.0474818,0.60669047,0.04061081158381343,1.0,0.31543624161073824
MAPK14,2.0254111,0.5001791,0.04282516975422758,1.0,0.3691275167785235
UBA52,2.014986,0.05395898,0.04390611293396936,1.0,1.0
CNTNAP3B,2.0091379,0.4431351,0.04452251922144454,1.0,0.3825503355704698
EP300,2.0060866,0.5001553,0.0448470105399481,1.0,0.35570469798657717
RPL31,2.002476,0.10145527,0.04523356634219498,1.0,1.0
PHPT1,1.998077,0.18777066,0.045708302967423876,1.0,0.959731543624161
SLC12A2,1.9786254,0.4764856,0.047858191452985976,1.0,0.3624161073825503
RPS24,1.972345,0.042542744,0.04857023667358401,1.0,1.0
SREBF1,1.9583602,0.47015518,0.050187766528364014,1.0,0.3825503355704698
F2R,1.953046,0.21244083,0.05081415431049415,1.0,0.8322147651006712
PRKAG2,1.9499438,0.39419815,0.051182814491041305,1.0,0.436241610738255
SYNE1,1.9496641,0.41591164,0.05121616412351521,1.0,0.48322147651006714
ICAM1,1.945494,0.53105426,0.051715538210420506,1.0,0.3691275167785235
EIF3L,1.9357047,0.27313846,0.05290387574992934,1.0,0.6375838926174496
CAMLG,1.9351454,0.21588984,0.05297246437626287,1.0,0.825503355704698
CD200,1.9247203,0.5133187,0.05426436329264328,1.0,0.3221476510067114
RRS1,1.9244151,0.5308799,0.054302567493506475,1.0,0.31543624161073824
TCF4,1.9228895,0.2425088,0.05449392528284355,1.0,0.7919463087248322
FPGS,1.9191009,0.56402856,0.05497156458604349,1.0,0.30201342281879195
BDP1,1.9178295,0.31144965,0.05513262636467634,1.0,0.5906040268456376
CACYBP,1.9162022,0.340698,0.05533935927163972,1.0,0.5838926174496645
IGF2BP3,1.913507,0.2811464,0.055683181613357544,1.0,0.6510067114093959
CCDC167,1.9069214,0.28184068,0.05653076819139855,1.0,0.6040268456375839
PLSCR4,1.9054211,0.34215403,0.05672534217024944,1.0,0.5503355704697986
RPS3A,1.9043279,0.051250376,0.05686750115415796,1.0,1.0
MEAF6,1.8927586,0.35796264,0.058389984490497905,1.0,0.5167785234899329
GSN,1.8906735,0.34218708,0.0586679352976626,1.0,0.5302013422818792
VAMP8,1.889453,0.39020038,0.058831147429313446,1.0,0.4563758389261745
BCLAF3,1.8870883,1.2940001,0.059148443787244265,1.0,0.15436241610738255
PLCB1,1.880096,0.42570117,0.06009500521387653,1.0,0.35570469798657717
PFDN5,1.8794857,0.08736084,0.060178206797689655,1.0,0.9731543624161074
SERF2,1.8784177,0.084345624,0.06032403937233233,1.0,1.0
TEAD1,1.8671536,0.4695373,0.061880141263691915,1.0,0.3825503355704698
VPS51,1.8593984,0.44985688,0.06297069244921982,1.0,0.3825503355704698
GTF3A,1.8580762,0.21160512,0.0631581984834382,1.0,0.8120805369127517
PALMD,1.8573134,0.26514503,0.06326658479157703,1.0,0.6375838926174496
FAM174C,1.8519737,0.278781,0.06402960031187271,1.0,0.5973154362416108
C1D,1.8394891,0.33976027,0.06584328692865993,1.0,0.46308724832214765
KCTD12,1.8381668,0.22046398,0.0660378232774182,1.0,0.7315436241610739
EIF3I,1.8375312,0.16259192,0.06613151882046302,1.0,0.7516778523489933
POLR3GL,1.8371243,0.32407528,0.06619154143163108,1.0,0.5637583892617449
GUF1,1.8367175,0.68422896,0.06625160892048029,1.0,0.2483221476510067
DDAH2,1.8353698,0.32836172,0.06645090331821783,1.0,0.5503355704697986
ZFP91,1.8351918,0.23295584,0.06647726209848596,1.0,0.6375838926174496
RAB5IF,1.8274113,0.22021024,0.06763796097037274,1.0,0.7651006711409396
BTG1,1.8228853,0.34141377,0.06832077445978958,1.0,0.4899328859060403
CRCP,1.8143672,0.50973684,0.06962121205351719,1.0,0.3288590604026846
MINCR,1.8128161,0.40711954,0.06986018156060149,1.0,0.3691275167785235
ARF1,1.8115957,0.18681501,0.07004869612684075,1.0,0.8053691275167785
PHF20,1.8086461,0.32467932,0.07050599695393349,1.0,0.5771812080536913
SMOX,1.8068408,1.0660462,0.07078710277992895,1.0,0.18120805369127516
SRSF7,1.8058746,0.27790874,0.07093793097722774,1.0,0.6577181208053692
DR1,1.7904912,0.46583378,0.07337496936304225,1.0,0.40939597315436244
TOPORS,1.7887114,0.52674574,0.07366130890868053,1.0,0.3288590604026846
CAPZB,1.7832954,0.1794482,0.07453822385291409,1.0,0.825503355704698
GINM1,1.7817953,0.25155073,0.07478262794043904,1.0,0.6912751677852349
PAM16,1.7775489,0.29120207,0.07547796611667547,1.0,0.5906040268456376
TPST2,1.7693615,0.3796879,0.07683357381470274,1.0,0.4429530201342282
IPO9,1.767073,0.5148961,0.07721599909140842,1.0,0.31543624161073824
FXR2,1.7635641,0.6812447,0.07780539563254034,1.0,0.2214765100671141
ATP6V0E1,1.7630047,0.1913954,0.07789969512238676,1.0,0.8456375838926175
ERGIC3,1.7618605,0.13841401,0.07809287031537238,1.0,0.8322147651006712
RPL38,1.7618605,0.077368185,0.07809287031537238,1.0,1.0
H2AFJ,1.7616316,0.24408527,0.07813155211572616,1.0,0.7315436241610739
