names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
HNRNPA2B1,3.1308303,0.31707215,0.0017431285195615121,1.0,0.970873786407767
EIF4G1,2.8728886,0.42907178,0.0040673766331340185,1.0,0.7766990291262136
TXLNA,2.8618953,0.60336196,0.004211160653229971,1.0,0.5242718446601942
RBM39,2.7879827,0.36620438,0.005303738723964316,1.0,0.883495145631068
RPS6KA3,2.7856796,0.50408864,0.005341564350268785,1.0,0.6310679611650486
PHKB,2.7791388,0.6999384,0.005450321193222185,1.0,0.47572815533980584
RPS6,2.7266293,0.08379919,0.006398487306120492,1.0,1.0
METTL9,2.7200272,0.43867046,0.006527653799866582,1.0,0.7378640776699029
PXDN,2.714899,0.39355025,0.006629596282340947,1.0,0.8155339805825242
CD70,2.695492,0.31333476,0.007028475224236355,1.0,0.9223300970873787
RPL22,2.6954613,0.13050549,0.007029123080559045,1.0,1.0
CNRIP1,2.678388,0.63889474,0.007397745419841479,1.0,0.5145631067961165
COX19,2.6370866,0.8986418,0.008362146484783926,1.0,0.3592233009708738
EBPL,2.5443504,0.38318676,0.010948118571094163,1.0,0.6893203883495146
CSNK1G2,2.5436442,0.62894744,0.010970277581544093,1.0,0.44660194174757284
SLC7A1,2.5421703,0.68428916,0.011016650889222967,1.0,0.4077669902912621
ANP32A,2.541894,0.4098247,0.01102536524873991,1.0,0.7572815533980582
BZW2,2.534739,0.42094257,0.01125311237095264,1.0,0.7475728155339806
KCNQ1OT1,2.524022,0.50877714,0.011602061328872742,1.0,0.5631067961165048
NORAD,2.4859757,0.39701313,0.012919677067155582,1.0,0.7281553398058253
MTMR2,2.485515,0.79752964,0.01293640861556041,1.0,0.3592233009708738
MRFAP1,2.4800186,0.36325324,0.013137555973413489,1.0,0.8737864077669902
TOMM22,2.4724338,0.33375967,0.01341965654836964,1.0,0.7766990291262136
RTF2,2.4465783,0.41005215,0.014421950673455471,1.0,0.7281553398058253
IKBIP,2.4450736,0.46588317,0.014482260779317935,1.0,0.5825242718446602
DOCK4,2.4407132,0.43780637,0.014658294948914253,1.0,0.5825242718446602
SLC39A3,2.4336505,0.78581417,0.014947424004336705,1.0,0.34951456310679613
FLII,2.4311938,0.51735234,0.015049161937541522,1.0,0.5242718446601942
TUSC2,2.4092689,0.48357195,0.015984521975046472,1.0,0.5533980582524272
C20orf27,2.4046626,0.45067543,0.0161874007402423,1.0,0.6310679611650486
SRPRA,2.4010084,0.4986923,0.016349957588895226,1.0,0.5825242718446602
DELE1,2.382062,0.76925254,0.017215996789842685,1.0,0.34951456310679613
BCL10,2.3340356,0.46336806,0.019593851193960666,1.0,0.5631067961165048
PRPF8,2.326451,0.4218826,0.01999450306132996,1.0,0.5728155339805825
VPS26B,2.322459,0.8384969,0.020208230764580806,1.0,0.3300970873786408
JCAD,2.3211386,0.6951504,0.020279362707929197,1.0,0.3786407766990291
CEMIP2,2.3192961,0.6534663,0.020378981594086527,1.0,0.4174757281553398
EIF1,2.3117115,0.12623563,0.020793588475098178,1.0,1.0
RNF168,2.3041883,0.6392752,0.021212082757808684,1.0,0.4174757281553398
GPATCH2,2.3024685,0.6208034,0.021308762360762668,1.0,0.3883495145631068
AGPAT3,2.2805436,0.61123055,0.022575473497560186,1.0,0.39805825242718446
MTHFD2,2.2779949,0.41215155,0.022726887651574715,1.0,0.6699029126213593
BMS1,2.2688746,0.51446664,0.023275946051239782,1.0,0.47572815533980584
KANSL1,2.2458441,0.5180188,0.024713989693739554,1.0,0.46601941747572817
RNF152,2.23958,1.4678165,0.02511820955878203,1.0,0.21359223300970873
ZKSCAN1,2.235895,0.37312618,0.025358649559819296,1.0,0.6699029126213593
KDM5A,2.2349124,0.39484057,0.025423102300558605,1.0,0.5922330097087378
LAMTOR4,2.232732,0.3191055,0.0255666131644727,1.0,0.912621359223301
TRIML2,2.231688,0.51942986,0.025635584480192847,1.0,0.5048543689320388
RPL27A,2.2242875,0.07636617,0.02612909888112228,1.0,1.0
CLIC4,2.2207255,0.27511057,0.02636955449180227,1.0,0.7961165048543689
TMOD3,2.2203572,0.2889212,0.026394537996535513,1.0,0.9223300970873787
EPB41L4A-AS1,2.219743,0.5812638,0.026436222620477064,1.0,0.4563106796116505
REV3L,2.2117898,0.5488754,0.026981197206476567,1.0,0.42718446601941745
GPBP1,2.2007043,0.39821494,0.027756959191412984,1.0,0.5922330097087378
SERBP1,2.1964362,0.17754258,0.028060747885357805,1.0,1.0
SAR1B,2.1927512,0.45721444,0.02832531219728879,1.0,0.49514563106796117
UROS,2.1906323,0.61612445,0.028478407687005283,1.0,0.42718446601941745
CCNB1IP1,2.1886058,0.45952433,0.028625513286355743,1.0,0.6116504854368932
MKLN1,2.1885135,0.5578183,0.028632215425295572,1.0,0.44660194174757284
SFXN4,2.165483,0.721924,0.030350713680253424,1.0,0.32038834951456313
SSRP1,2.1401188,0.39978516,0.03234517120578739,1.0,0.6407766990291263
FADS1,2.1306303,0.2782454,0.033119621590747154,1.0,0.8155339805825242
AC007998.3,2.1295555,0.44004482,0.033208335047113534,1.0,0.5533980582524272
MAPK8,2.1243658,1.0308812,0.03363956129452847,1.0,0.24271844660194175
STAMBP,2.1165662,0.62237275,0.03429668088789641,1.0,0.3883495145631068
DTD1,2.113035,0.3099855,0.03459778446111541,1.0,0.8058252427184466
SLC39A1,2.1080296,0.6754251,0.035028432748873545,1.0,0.34951456310679613
LARP1,2.1077533,0.34881222,0.03505234360475726,1.0,0.6699029126213593
UBE2H,2.1029627,0.31140617,0.035469017591925396,1.0,0.6990291262135923
M6PR,2.1022565,0.5996963,0.03553080635407421,1.0,0.3786407766990291
GSK3B,2.094027,0.4995617,0.03625757493951588,1.0,0.46601941747572817
CYB5B,2.090987,0.32544646,0.03652923171577475,1.0,0.6699029126213593
ACIN1,2.0889602,0.45535135,0.03671129811355225,1.0,0.5048543689320388
CYC1,2.071887,0.2785435,0.038275981017582186,1.0,0.7669902912621359
ANAPC5,2.0703824,0.3059424,0.038416554761812584,1.0,0.6893203883495146
ZNF37A,2.0676494,0.5768864,0.03867300511603037,1.0,0.3883495145631068
DRAM1,2.0657148,0.54952526,0.03885541546297792,1.0,0.39805825242718446
IGF2BP2,2.0647016,0.3269618,0.03895125510258305,1.0,0.7669902912621359
MPRIP,2.062245,0.46775258,0.039184427407705336,1.0,0.4854368932038835
EXOC4,2.0589592,0.62826157,0.039498147424801934,1.0,0.3592233009708738
SPTBN1,2.0537083,0.2918376,0.04000393870764432,1.0,0.8640776699029126
CD200,2.0350995,0.6328347,0.041840854426430096,1.0,0.34951456310679613
RBM4,2.0324588,0.34879994,0.0421072361634449,1.0,0.6019417475728155
SCAF1,2.0249968,0.8060033,0.04286768698206588,1.0,0.2815533980582524
FOXN3,2.0235536,0.64365417,0.04301610218524427,1.0,0.33980582524271846
C1orf43,2.0209434,0.36146688,0.043285615704087566,1.0,0.6504854368932039
EPB41L4A,2.0150783,1.0924203,0.04389643721079897,1.0,0.24271844660194175
COL27A1,2.0109022,0.97369593,0.044335790208673884,1.0,0.27184466019417475
HHIP,2.0077393,0.30336732,0.044670999916824834,1.0,0.7378640776699029
PIK3C2A,2.0039315,0.33237132,0.04507738713760449,1.0,0.6990291262135923
FGFR1OP2,1.9913416,0.4220144,0.04644334601205655,1.0,0.5145631067961165
ATP1B3,1.9885166,0.2897973,0.04675459455280327,1.0,0.8446601941747572
ARL8A,1.9823136,0.61693496,0.04744414987379981,1.0,0.33980582524271846
RAB11FIP1,1.9801948,0.2951583,0.04768164186893593,1.0,0.6504854368932039
MRPL55,1.979642,0.4383684,0.04774376039492843,1.0,0.4854368932038835
PGRMC2,1.9724873,0.4194241,0.04855400797538865,1.0,0.4854368932038835
HNRNPUL1,1.97,0.37257186,0.0488383734238161,1.0,0.6019417475728155
