names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
HIGD2A,3.1817012,0.4207277,0.001464127606739976,1.0,0.8796296296296297
MAP3K20,3.1602392,0.5931541,0.0015763959725096028,1.0,0.6203703703703703
FLI1,3.0510113,0.6068264,0.0022807200495644346,1.0,0.5277777777777778
MAPRE2,2.970619,0.769996,0.0029720027071628895,1.0,0.5
AC100810.1,2.8448148,0.5723069,0.004443724001130993,1.0,0.5370370370370371
SSR4,2.8229632,0.2930755,0.004758202089924552,1.0,1.0
RER1,2.8022208,0.41690814,0.005075213378569772,1.0,0.7685185185185185
FAM50A,2.765112,0.40828058,0.005690325686605685,1.0,0.8055555555555556
FKBP3,2.758098,0.4095494,0.005813878442375357,1.0,0.7407407407407407
PRKCA,2.7305212,0.74588454,0.006323428321713417,1.0,0.46296296296296297
SRPX,2.7217984,0.35242054,0.006492772726483429,1.0,0.8611111111111112
THYN1,2.7064514,0.5862124,0.006800654093833532,1.0,0.49074074074074076
NNT,2.6935923,0.91020525,0.00706865916122321,1.0,0.35185185185185186
SNHG7,2.667514,0.4217269,0.0076414669735746215,1.0,0.6759259259259259
G3BP2,2.6317244,0.39821002,0.008495277257209876,1.0,0.7592592592592593
PPP1R18,2.5670388,0.64171475,0.010257114948860861,1.0,0.4444444444444444
RNF168,2.5261831,0.6967515,0.011530935102975913,1.0,0.4166666666666667
KNOP1,2.5044813,0.46691883,0.012263104668639878,1.0,0.5833333333333334
MRPL15,2.499086,0.44083247,0.01245141040051287,1.0,0.6111111111111112
THBD,2.4881153,0.4319631,0.012842212791079574,1.0,0.6018518518518519
SENP6,2.456072,0.5274273,0.014046494311172374,1.0,0.5648148148148148
MTMR2,2.42304,0.80732435,0.015391232477635868,1.0,0.3425925925925926
OCIAD2,2.4093115,0.42342338,0.015982648069823153,1.0,0.7314814814814815
FAM118A,2.392196,0.6309857,0.01674789803407329,1.0,0.4351851851851852
NUDT9,2.3662677,0.64277893,0.017968442558146062,1.0,0.3888888888888889
GAPDH,2.3653984,0.087226935,0.0180106787377052,1.0,1.0
PTRH2,2.3615918,0.6110816,0.018196670006294508,1.0,0.39814814814814814
BBX,2.344776,0.34069377,0.019038519987730273,1.0,0.6666666666666666
RBMX,2.343307,0.4174454,0.019113642471158786,1.0,0.6666666666666666
ISCA2,2.3430374,0.63297355,0.019127468611188483,1.0,0.39814814814814814
ULBP2,2.3339849,0.66935354,0.019596509304058384,1.0,0.39814814814814814
SCAF1,2.331677,1.0718788,0.019717694604491607,1.0,0.28703703703703703
MRPS26,2.330388,0.3689432,0.019785653887296306,1.0,0.7129629629629629
SLBP,2.32793,0.45319223,0.019915817723621474,1.0,0.5740740740740741
GPI,2.3193274,0.3692167,0.02037729606163686,1.0,0.7222222222222222
SMIM19,2.3145313,0.39820084,0.020638594113876033,1.0,0.6574074074074074
STARD4,2.2867148,0.456915,0.022212477554361086,1.0,0.5740740740740741
TSTA3,2.2846766,0.47831103,0.022331804917253315,1.0,0.5648148148148148
PSMA3,2.2729864,0.3144226,0.02302700438198468,1.0,0.7129629629629629
COPS2,2.2479575,0.41549662,0.024578906989583774,1.0,0.6018518518518519
TCF15,2.2417526,0.35732427,0.024977365245189186,1.0,0.6574074074074074
ERH,2.237616,0.2487376,0.025246100845782805,1.0,0.8796296296296297
TARS,2.2298827,0.3186673,0.025755237216129566,1.0,0.7129629629629629
ZYG11B,2.228084,0.5590428,0.02587490580144829,1.0,0.4722222222222222
ACBD6,2.2277844,0.43391773,0.02589489723895429,1.0,0.5925925925925926
