names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ZFAS1,4.684657,0.34380966,2.804288501947338e-06,0.013910205732492777,0.9886363636363636
ATF4,3.7482514,0.5979281,0.00017807173632306762,0.5389733824797825,0.7840909090909091
RPLP2,3.406576,0.11416263,0.0006578326905869572,1.0,1.0
CBX3,2.9122758,0.3165056,0.0035880576620019706,1.0,0.8295454545454546
RSL24D1,2.8942788,0.3372797,0.003800305770293299,1.0,0.8295454545454546
RPL24,2.849802,0.11030413,0.004374644041605864,1.0,1.0
RPL41,2.818798,0.09227764,0.004820382202992696,1.0,1.0
PROCR,2.7958114,0.24005418,0.005176961696856464,1.0,0.9318181818181818
EIF2S2,2.7446482,0.2506226,0.006057580934348862,1.0,0.9772727272727273
C19orf33,2.7329385,0.45275536,0.006277205532905968,1.0,0.7386363636363636
RPS29,2.7235575,0.14811218,0.006458298040449594,1.0,1.0
RPS14,2.662215,0.099321134,0.007762830555561462,1.0,1.0
RPS28,2.5695689,0.12388107,0.01018251273858158,1.0,1.0
GADD45GIP1,2.5401285,0.19383128,0.01108117477592154,1.0,0.8977272727272727
RPS19BP1,2.5397294,0.5032339,0.01109382953126969,1.0,0.6363636363636364
NSA2,2.532677,0.20647919,0.01131952355978998,1.0,0.9318181818181818
PSAT1,2.53118,0.5751279,0.011367951553321362,1.0,0.6136363636363636
PA2G4,2.5289178,0.2503358,0.011441480632256947,1.0,0.9659090909090909
NOP10,2.4933565,0.25945455,0.012654174337723739,1.0,0.8977272727272727
HSPA9,2.4918594,0.4861834,0.012707630480375404,1.0,0.6590909090909091
RPL21,2.491294,0.08137688,0.01272787698069068,1.0,0.9886363636363636
YIPF4,2.4763243,0.48929206,0.013274296944908006,1.0,0.5909090909090909
NDUFB10,2.475426,0.3152715,0.01330773196918511,1.0,0.8977272727272727
SH3BGRL3,2.4663444,0.1341775,0.013650001393785104,1.0,1.0
DDX52,2.4632506,0.54782826,0.01376836175022916,1.0,0.6022727272727273
RPS17,2.4339433,0.052031837,0.014935334868547798,1.0,0.9886363636363636
SLC25A6,2.4210694,0.24128845,0.015474925534912866,1.0,1.0
SYF2,2.4115553,0.45997387,0.015884645254398786,1.0,0.7045454545454546
UXT,2.39775,0.33428666,0.016496127163373016,1.0,0.7840909090909091
RPS26,2.3962529,0.13995077,0.016563659124796147,1.0,0.9886363636363636
ATP5IF1,2.375262,0.2555461,0.017536498062189473,1.0,0.9204545454545454
XRN2,2.3490815,0.2405454,0.018819781185264325,1.0,0.7840909090909091
ZNF593,2.3400333,0.43905836,0.01928202311843827,1.0,0.6590909090909091
RPS27,2.3363075,0.10435657,0.019475223316316126,1.0,1.0
RPS8,2.3270926,0.07925858,0.019960328770216692,1.0,1.0
PSMA7,2.300746,0.13997345,0.021405989282934884,1.0,0.9886363636363636
SQSTM1,2.280487,0.33494285,0.022578818925073983,1.0,0.7727272727272727
TFRC,2.2697754,1.0482924,0.023221215807158867,1.0,0.32954545454545453
RALBP1,2.256835,0.34701905,0.024018394497296064,1.0,0.7727272727272727
RPS25,2.2411332,0.097725086,0.025017441409727875,1.0,1.0
NQO1,2.2370083,0.23058261,0.025285796522888856,1.0,0.9545454545454546
DYNC1I2,2.2295568,0.25014985,0.025776885663843625,1.0,0.7840909090909091
EIF3A,2.2044077,0.2797956,0.027495692085150784,1.0,0.8863636363636364
NDUFA7,2.2000496,0.2973934,0.02780336603102803,1.0,0.8181818181818182
RPS24,2.1789923,0.08114394,0.02933223745818304,1.0,1.0
HNRNPC,2.1702766,0.22422364,0.02998589561739233,1.0,0.9659090909090909
SON,2.1495519,0.3415431,0.03159067744112436,1.0,0.8409090909090909
NBL1,2.145327,0.48687622,0.03192670304785087,1.0,0.5340909090909091
SRSF7,2.1252677,0.4378576,0.03356428365113099,1.0,0.6136363636363636
RUVBL1,2.1174834,0.4032489,0.03421884062249862,1.0,0.6363636363636364
DDT,2.112793,0.23340985,0.03461849660319607,1.0,0.8636363636363636
WDR43,2.0995862,0.45658252,0.0357652495681358,1.0,0.6022727272727273
RPL23A,2.0932324,0.10227484,0.03632840674746951,1.0,1.0
RPL37A,2.0805914,0.08613058,0.037471323327480946,1.0,1.0
RPS3A,2.0727406,0.05223856,0.03819642746675273,1.0,1.0
RPL22,2.0684826,0.09685562,0.03859467047802668,1.0,1.0
SRM,2.0658212,0.23405728,0.03884535992199785,1.0,0.8636363636363636
KRT10,2.0604322,0.3448158,0.03935724500567837,1.0,0.6818181818181818
RPLP0,2.0486894,0.07729043,0.040492511285747795,1.0,1.0
COX8A,2.0463274,0.1475791,0.040724173718911565,1.0,0.9545454545454546
ARL5A,2.033653,0.48001844,0.0419865944391839,1.0,0.5454545454545454
GARS,2.0241055,0.283053,0.04295928323872566,1.0,0.7727272727272727
RPL38,2.0225754,0.091264084,0.04311694217230812,1.0,1.0
EEF1A1,2.0220764,0.071115926,0.04316845830330669,1.0,1.0
RPL34,2.0025492,0.07862554,0.045225692205848544,1.0,1.0
FTH1,1.9950311,0.1456639,0.046039485783501775,1.0,1.0
MRPL14,1.9945986,0.30278525,0.046086669646319536,1.0,0.7386363636363636
EI24,1.9919707,0.2746265,0.04637427885452455,1.0,0.7954545454545454
CCT7,1.9913054,0.292063,0.046447330538293655,1.0,0.7386363636363636
SERPINB9,1.9696491,0.5287512,0.04887859683786487,1.0,0.4772727272727273
RPL30,1.9600352,0.083985955,0.049991671114410365,1.0,1.0
SMARCD1,1.957008,0.39542067,0.05034652385004705,1.0,0.5909090909090909
IPO5,1.9476271,0.5140103,0.051459609516206754,1.0,0.48863636363636365
CD55,1.9171885,0.18742491,0.05521397831854445,1.0,0.9318181818181818
