names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RACK1,3.5733416,0.15564857,0.00035245458205495603,1.0,1.0
WDR82,3.061486,0.6594501,0.0022024135625642906,1.0,0.5824175824175825
DNAJC15,2.86405,0.5080118,0.004182622278353556,1.0,0.7252747252747253
ZBTB20,2.8291543,0.778456,0.004667119356425862,1.0,0.46153846153846156
SLC25A6,2.8109052,0.2215006,0.004940232973559603,1.0,1.0
CTDNEP1,2.759592,0.5262666,0.0057873561803523516,1.0,0.6153846153846154
PFDN1,2.7471645,0.5683302,0.006011297467433713,1.0,0.5934065934065934
STAU1,2.6794012,0.29588842,0.007375398397798852,1.0,0.8241758241758241
PDLIM4,2.5815496,0.36395738,0.009835781898202318,1.0,0.7912087912087912
BBX,2.5039096,0.40500724,0.01228294029648481,1.0,0.6373626373626373
BAX,2.4594646,0.25439808,0.01391444841902387,1.0,0.8791208791208791
RPL13A,2.4575348,0.092024855,0.01398942264261059,1.0,1.0
STK3,2.4398417,0.8250965,0.014693693862130939,1.0,0.38461538461538464
NUFIP2,2.41672,0.4532995,0.015661064998132024,1.0,0.6483516483516484
G6PC3,2.4132533,0.5832216,0.015810831579738616,1.0,0.5054945054945055
RNF19A,2.4088054,0.59089905,0.01600482885504879,1.0,0.5054945054945055
NOL4L,2.407857,0.67324513,0.016046465590801078,1.0,0.4725274725274725
TMX4,2.4004984,0.5173675,0.01637275746014921,1.0,0.5384615384615384
CD47,2.3950696,0.34559795,0.0166172111460705,1.0,0.7582417582417582
RPS13,2.377344,0.09899327,0.017437824975919895,1.0,1.0
JCAD,2.333847,0.7876847,0.01960373135972046,1.0,0.38461538461538464
DECR1,2.326783,0.48033744,0.019976821497398475,1.0,0.5824175824175825
PPIL4,2.3160887,0.54614365,0.020553431130145256,1.0,0.46153846153846156
SEC61A1,2.3093188,0.48530817,0.020925896583594752,1.0,0.5494505494505495
ATP2B1,2.2607203,0.43392286,0.02377659113267109,1.0,0.6593406593406593
MYOF,2.2202322,0.33911017,0.026403010245927203,1.0,0.7912087912087912
TFDP1,2.218466,0.45230913,0.026523064721047204,1.0,0.5714285714285714
PEX2,2.2181718,0.5916416,0.026543119579620147,1.0,0.4175824175824176
LAMTOR1,2.205548,0.352988,0.027415667495034938,1.0,0.7472527472527473
RYK,2.1930223,0.5167263,0.02830578109976719,1.0,0.5054945054945055
PPP6R1,2.1881492,0.72023165,0.02865873364451751,1.0,0.37362637362637363
SDHAF4,2.18707,0.9010725,0.028737415002815975,1.0,0.31868131868131866
ATP1A1,2.1863832,0.46864903,0.028787581746501634,1.0,0.5824175824175825
DPCD,2.177553,0.6635343,0.029439329869360154,1.0,0.4175824175824176
TBL1XR1,2.17667,0.36302862,0.0295051974335749,1.0,0.7032967032967034
RHEB,2.1692135,0.39590815,0.0300664846910002,1.0,0.6373626373626373
POMP,2.1594675,0.1935452,0.030813913933395696,1.0,0.9560439560439561
IFNAR1,2.1395507,0.50566906,0.03239110372900004,1.0,0.5054945054945055
PNISR,2.134645,0.28154945,0.03279002411869128,1.0,0.7802197802197802
EMD,2.1297066,0.4682105,0.033195845506094834,1.0,0.5824175824175825
PDCD6,2.1175406,0.3221404,0.03421399636794977,1.0,0.7802197802197802
SMAD2,2.1154149,0.38530663,0.03439461096661992,1.0,0.6263736263736264
RPS3A,2.114499,0.072191276,0.03447266487018172,1.0,1.0
AIDA,2.1135833,0.5157508,0.03455087005531738,1.0,0.4945054945054945
EIF5B,2.1124713,0.21144566,0.03464603720321995,1.0,0.8791208791208791
METAP2,2.092816,0.30683598,0.03636557545682726,1.0,0.9120879120879121
TERF2IP,2.0853596,0.42462388,0.037036680683558684,1.0,0.6153846153846154
GPI,2.0739458,0.36877117,0.038084355939266616,1.0,0.7362637362637363
NIPA2,2.0700212,0.6278427,0.038450363001271526,1.0,0.4175824175824176
GATC,2.0689747,0.7464804,0.03854846833274151,1.0,0.3516483516483517
TIMM13,2.0615506,0.20651004,0.039250528402223206,1.0,0.9010989010989011
RARS,2.0567431,0.3922572,0.03971093454091987,1.0,0.5824175824175825
TOR3A,2.0285847,1.3158852,0.04250060194925407,1.0,0.21978021978021978
ACIN1,2.0217495,0.50142014,0.04320223159761191,1.0,0.4835164835164835
GLO1,1.992054,0.2943683,0.04636513172192819,1.0,0.8681318681318682
PPA1,1.9915634,0.27724507,0.04641897704974166,1.0,0.9120879120879121
PCBP1,1.9587283,0.2602991,0.050144615198036924,1.0,0.8461538461538461
GSTA4,1.954215,0.62658936,0.05067578500654724,1.0,0.37362637362637363
SUMO2,1.952351,0.11700454,0.05089655266192299,1.0,0.945054945054945
F2R,1.9436189,0.26147595,0.05194142640442818,1.0,0.8351648351648352
ADGRG6,1.9416239,0.4054498,0.05218264457108278,1.0,0.5824175824175825
