names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ENOSF1,3.305677,0.7795436,0.0009474728336036682,1.0,0.5277777777777778
RPS14,3.136619,0.07907358,0.0017090794345472073,1.0,1.0
ERCC4,3.007368,1.0267538,0.0026352051934474536,1.0,0.3611111111111111
PIGT,2.9131873,0.45441663,0.0035775992446811103,1.0,0.6944444444444444
EIF3F,2.7997928,0.33358058,0.005113541958999185,1.0,0.9259259259259259
TTYH3,2.7447891,0.713042,0.006054979665789069,1.0,0.42592592592592593
SRRM2,2.6092732,0.30470052,0.00907347725902556,1.0,0.8981481481481481
GANAB,2.608434,0.41937354,0.00909575773395987,1.0,0.6759259259259259
PGLS,2.5815165,0.32839942,0.009836727184763257,1.0,0.7962962962962963
COPS9,2.575162,0.22834212,0.010019317263021554,1.0,0.9074074074074074
C6orf62,2.573903,0.44132,0.010055846969519177,1.0,0.6574074074074074
GLO1,2.563172,0.30980706,0.010372064982267986,1.0,0.8240740740740741
RPL22,2.5491738,0.09499464,0.010797847612251082,1.0,1.0
CEBPD,2.5360448,0.6960744,0.011211237649815627,1.0,0.4351851851851852
BST2,2.535925,0.2767265,0.011215076792688253,1.0,0.9722222222222222
COL4A6,2.524145,0.63713115,0.011598012455570097,1.0,0.5092592592592593
COX8A,2.4677622,0.16618861,0.013596055729329528,1.0,0.9537037037037037
ANAPC11,2.4638057,0.25129065,0.01374706244837897,1.0,0.9351851851851852
SDCBP,2.4570014,0.27471957,0.014010214357064359,1.0,0.9074074074074074
SNX3,2.4321823,0.26982427,0.015008151896642688,1.0,0.9444444444444444
IGF2BP2,2.4139276,0.37390253,0.01578159542487748,1.0,0.7592592592592593
SSNA1,2.4139276,0.45775887,0.01578159542487748,1.0,0.6944444444444444
RABEPK,2.4046655,0.8211037,0.01618727675999973,1.0,0.3148148148148148
TP53,2.4010684,0.57118994,0.016347276779811362,1.0,0.4722222222222222
PHF6,2.3864408,0.55088854,0.01701234617778209,1.0,0.5
RPS15,2.3729522,0.08344332,0.01764654958164494,1.0,1.0
TUBA1B,2.3643494,0.31024352,0.01806176922472472,1.0,0.9351851851851852
VCP,2.3580546,0.31036085,0.018370985820177828,1.0,0.7685185185185185
UBXN1,2.3289192,0.369373,0.019863345102081324,1.0,0.7870370370370371
ZMPSTE24,2.3166296,0.6980108,0.020523918880837627,1.0,0.4074074074074074
TMEM9B,2.2814093,0.5726349,0.022524242505170804,1.0,0.4351851851851852
CFL1,2.2510448,0.06377567,0.024382700528230432,1.0,0.9907407407407407
ARID4B,2.2447202,0.48348114,0.024786105755364964,1.0,0.5277777777777778
PFN1,2.2444503,0.09314029,0.0248034404093795,1.0,0.9814814814814815
GPX4,2.2153747,0.18736312,0.026734347919250095,1.0,0.9907407407407407
ZFPL1,2.2083607,0.61059576,0.027219137054572694,1.0,0.3611111111111111
SEC63,2.19718,0.43302768,0.028007583234234374,1.0,0.6296296296296297
AP006621.3,2.193913,1.0222601,0.0282416723280429,1.0,0.25925925925925924
LLPH,2.183182,0.42292526,0.02902241510576035,1.0,0.5185185185185185
FAM49B,2.1752386,0.5089832,0.02961223984342354,1.0,0.5
PCCA-DT,2.1697233,1.0150284,0.030027816970102785,1.0,0.25
RPL15,2.1560547,0.06701155,0.031079388963397254,1.0,1.0
IFNAR1,2.1361816,0.45591635,0.03266462289486057,1.0,0.5092592592592593
EIF4EBP1,2.1267693,0.22378795,0.03343924608464249,1.0,0.9537037037037037
SNRPA,2.1244013,0.4583174,0.033636591672771325,1.0,0.5
PLP2,2.1207745,0.27364463,0.03394078612377526,1.0,0.8148148148148148
DPH5,2.112921,0.51900125,0.03460752311742412,1.0,0.4537037037037037
GIGYF2,2.1009011,0.42870787,0.03564963991913766,1.0,0.5185185185185185
PDIA5,2.095086,0.49055037,0.0361633395579776,1.0,0.4351851851851852
OAT,2.089391,0.39823923,0.036672550388542356,1.0,0.5648148148148148
CCDC88A,2.0721555,0.43439978,0.03825095087874054,1.0,0.5555555555555556
MRPL30,2.0693378,0.8784569,0.03851440114580371,1.0,0.2777777777777778
CBX6,2.0621438,0.54635566,0.03919404430433511,1.0,0.4444444444444444
PRSS3,2.0617242,0.23312433,0.03923400258330858,1.0,0.8055555555555556
PTPA,2.060765,0.6197375,0.039325465705783096,1.0,0.37962962962962965
NDUFS4,2.0521324,0.37574655,0.04015681038698491,1.0,0.6666666666666666
TMEM258,2.038104,0.22832997,0.04153952601702851,1.0,0.9166666666666666
ARL6IP4,2.0371149,0.17171562,0.04163852859953953,1.0,0.8796296296296297
TMEM50A,2.0278826,0.24798554,0.04257222347011965,1.0,0.8518518518518519
ALDH7A1,2.0176313,0.54860896,0.043629673658934304,1.0,0.4166666666666667
TMEM134,2.0170918,0.4391577,0.04368593808501306,1.0,0.5277777777777778
CSK,2.0160725,0.80312866,0.04379238253456803,1.0,0.28703703703703703
PSME2,2.0011153,0.26951486,0.045379975165054466,1.0,0.75
SMAP2,1.9971585,0.5553936,0.04580796275742263,1.0,0.46296296296296297
PRELID1,1.9944907,0.24680293,0.04609844535256994,1.0,0.9351851851851852
SLIRP,1.9798931,0.23775424,0.04771554400902119,1.0,0.8981481481481481
SERPINB6,1.9753969,0.24910015,0.048223128095141954,1.0,0.8425925925925926
MAP2K3,1.9735384,0.6029398,0.04843425048522497,1.0,0.35185185185185186
ARHGEF12,1.9716201,0.4382005,0.04865299699268809,1.0,0.5185185185185185
KIF13A,1.9676634,0.47823554,0.04910678222218275,1.0,0.46296296296296297
RPL41,1.9551939,0.05703978,0.050560191114475066,1.0,1.0
GDI2,1.9547743,0.29470783,0.05060972418245727,1.0,0.8611111111111112
HERC4,1.9507576,0.40274557,0.0510858864912487,1.0,0.5462962962962963
EMC7,1.9412556,0.3657959,0.05222728077800884,1.0,0.5648148148148148
UGCG,1.9401466,0.60427,0.052361882764692176,1.0,0.37037037037037035
PPP1R12A,1.9400266,0.37460497,0.05237645168951693,1.0,0.5833333333333334
TAX1BP3,1.919314,0.39344305,0.0549445966420562,1.0,0.5648148148148148
