names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL36AL,3.3439565,0.289544,0.0008259269371665691,1.0,0.9883720930232558
PLP2,2.9405816,0.44636974,0.003275967824055431,1.0,0.8604651162790697
BRI3,2.9179306,0.31616735,0.003523627653248095,1.0,0.9651162790697675
FDFT1,2.8994195,0.3254424,0.00373854401031278,1.0,0.9069767441860465
EMC4,2.7768419,0.6645275,0.005488986768765557,1.0,0.5581395348837209
SNRPG,2.762336,0.3327665,0.0057389401715122945,1.0,0.9186046511627907
AC008875.3,2.6542308,0.5297082,0.007948944981613746,1.0,0.6627906976744186
NDUFB4,2.6171074,0.28946215,0.008867841901035386,1.0,0.9186046511627907
RPS29,2.5857732,0.11721691,0.009716086235128088,1.0,1.0
ATP5MC1,2.5763156,0.24762365,0.009985945367028267,1.0,0.8953488372093024
PFDN4,2.5324273,0.50771934,0.011327584780310691,1.0,0.6976744186046512
ERLEC1,2.5285904,0.39334482,0.01145215672653444,1.0,0.7674418604651163
RPN2,2.4527621,0.2668081,0.014176408531453969,1.0,0.8953488372093024
INO80C,2.4459298,0.33151504,0.014447915383469921,1.0,0.8837209302325582
DIXDC1,2.4404438,0.61161697,0.014669232163471772,1.0,0.5465116279069767
FLOT1,2.386122,0.48286203,0.017027107484008937,1.0,0.627906976744186
EIF4EBP2,2.3858526,0.9933956,0.017039578326325834,1.0,0.36046511627906974
CYC1,2.3178325,0.40118232,0.020458424617065263,1.0,0.7906976744186046
ZBTB11,2.3079038,1.0099033,0.021004486847737182,1.0,0.3023255813953488
SLC25A6,2.27593,0.20408589,0.02285019976448283,1.0,1.0
PSMD6,2.27142,0.56340235,0.023121564455242837,1.0,0.5581395348837209
FZD6,2.2648232,0.53214866,0.0235235248509649,1.0,0.5465116279069767
NSA2,2.215348,0.26174456,0.026736185738942583,1.0,0.9651162790697675
RTN4,2.1992264,0.12729299,0.0278618215473088,1.0,0.9651162790697675
AP2A2,2.1946492,0.45221776,0.02818877231526504,1.0,0.5697674418604651
SELENOH,2.1800423,0.30329594,0.029254333525247325,1.0,0.8837209302325582
ATP6V1B2,2.172806,0.83636045,0.029794919958006438,1.0,0.3488372093023256
KAT6B,2.1695077,0.65992475,0.030044162740183306,1.0,0.4069767441860465
SMIM26,2.1530495,0.33504173,0.03131478318549888,1.0,0.813953488372093
BLOC1S1,2.1379042,0.3407519,0.032524529471516066,1.0,0.7906976744186046
RPS20,2.1306007,0.08051941,0.033122061606999396,1.0,1.0
SMARCA5,2.108488,0.38992172,0.03498878561668703,1.0,0.6976744186046512
AP000695.2,2.0889337,0.8457574,0.03671369634584415,1.0,0.36046511627906974
DHX36,2.0709274,0.33371764,0.03836558666487744,1.0,0.686046511627907
RPL6,2.060662,0.092126116,0.039335291332886616,1.0,1.0
NAA38,2.059787,0.19069481,0.0394189088809828,1.0,0.8953488372093024
MARK3,2.0481417,0.51287806,0.04054610826858716,1.0,0.47674418604651164
NDUFS6,2.0480072,0.21658231,0.040559297611469494,1.0,0.9186046511627907
