names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COPS9,3.213199,0.3888548,0.0013126532776542947,1.0,0.975
EHMT1,3.1334538,0.9195931,0.0017276211345377585,1.0,0.4875
ZC3H15,2.9739983,0.4941044,0.002939465994860395,1.0,0.8
AARS,2.935767,0.88635784,0.003327243251926421,1.0,0.475
CHD9,2.909022,0.591791,0.00362561148260759,1.0,0.675
ACP1,2.9083588,0.5990788,0.0036333122137288893,1.0,0.7
PECAM1,2.7958636,0.5171737,0.00517612315913332,1.0,0.8
CSNK2B,2.7882173,0.45779765,0.005299897431433499,1.0,0.8
MAP7D3,2.7497764,0.5442058,0.005963596775721016,1.0,0.6625
DBN1,2.6886058,0.63496935,0.007175110938168364,1.0,0.55
PKIG,2.6838923,0.46732804,0.007277055589681454,1.0,0.7375
CTNNB1,2.683194,0.5372143,0.007292268538027885,1.0,0.675
SLC16A1,2.6808197,0.7119241,0.0073442062468707095,1.0,0.525
FNDC3B,2.633231,0.55850697,0.008457679488872804,1.0,0.6625
SMAD3,2.6283429,0.50039554,0.008580195840690742,1.0,0.7
FAM126A,2.5695815,0.5362908,0.010182142317537085,1.0,0.6375
SLC7A5,2.5670676,1.5734731,0.010256258820996832,1.0,0.2625
SNHG29,2.5458395,0.20307067,0.01090152799553056,1.0,1.0
DNAJC4,2.5443382,0.73672295,0.010948501241388957,1.0,0.475
EIF3B,2.544024,0.57864267,0.010958355583150442,1.0,0.6375
CLIP1,2.536168,0.62168676,0.011207289297036073,1.0,0.6125
BRI3,2.5331306,0.22939654,0.011304881999546991,1.0,0.95
PRNP,2.5315595,0.512971,0.011355656469970839,1.0,0.7125
PALLD,2.4932232,0.78027964,0.012658927021331989,1.0,0.4625
PODXL,2.4612064,0.38579124,0.013847069862101777,1.0,0.7875
WIPI2,2.4353347,0.4842353,0.01487802615716174,1.0,0.6625
RB1CC1,2.4284563,0.51533103,0.015163249332136242,1.0,0.6375
ILF2,2.4274437,0.5137198,0.01520564056156066,1.0,0.65
CCT8,2.425768,0.3684134,0.015276034687156903,1.0,0.8625
TAPBP,2.3970332,0.4500398,0.016528428256319835,1.0,0.7
PPM1F,2.3820896,0.6714675,0.017214705351138233,1.0,0.5125
TMED9,2.372872,0.3687252,0.017650370575833033,1.0,0.9125
GDI2,2.367635,0.32729736,0.017902188388885323,1.0,0.8375
NOL4L,2.3616297,0.7064781,0.01819480834556379,1.0,0.4625
NACA,2.3439977,0.15801226,0.01907828719606465,1.0,1.0
VAT1,2.3425663,0.34227592,0.019151634337642536,1.0,0.9375
P3H3,2.3417282,0.56688994,0.019194683526472432,1.0,0.5625
TMEM30A,2.3229792,0.31802404,0.020180275627318417,1.0,0.8875
WAPL,2.3154025,0.6191716,0.02059090910906374,1.0,0.4375
CD93,2.3109336,0.35847458,0.020836526978458145,1.0,0.9
ZNF791,2.3108287,0.81210977,0.020842314144735783,1.0,0.4
HDAC2,2.2786374,0.45942116,0.022688626657749872,1.0,0.7
TUT4,2.2619133,0.5186936,0.023702760531994195,1.0,0.525
DPYSL3,2.258352,0.33622777,0.023923722699973102,1.0,0.825
TRIM22,2.2458875,0.5747688,0.0247112175419516,1.0,0.5
MPLKIP,2.2418373,0.44871277,0.024971886181101768,1.0,0.6625
ATP7A,2.240266,1.327705,0.025073646750643382,1.0,0.2625
TM2D3,2.2281508,0.6773873,0.025870461098991968,1.0,0.4125
USP53,2.218584,0.53035754,0.026515027587840162,1.0,0.475
SERPINE1,2.2164893,0.19343132,0.026658010771105262,1.0,0.9875
SNHG3,2.19781,0.42168012,0.02796265368125683,1.0,0.7125
ST3GAL5,2.1929567,0.7293739,0.028310492759817552,1.0,0.4
ZC3HAV1,2.192852,0.5934829,0.028318040994516992,1.0,0.475
FLNA,2.188767,0.31607798,0.028613777740829325,1.0,0.8375
DPY19L1,2.1782577,0.8267158,0.029386856399059334,1.0,0.375
ARPC3,2.175255,0.2487772,0.029611009850721265,1.0,1.0
ANXA7,2.1629303,0.5107709,0.030546552260472603,1.0,0.5625
SETD3,2.1435175,0.609264,0.03207156065284504,1.0,0.4625
NES,2.1395721,0.41534388,0.03238935331710871,1.0,0.6625
TSR3,2.1373725,0.4686872,0.03256769827385457,1.0,0.5625
STX6,2.1319957,0.7054964,0.03300719705952161,1.0,0.375
KNOP1,2.131856,0.44049454,0.033018679932765894,1.0,0.6
EEF1B2,2.1228132,0.14043377,0.033769510551148185,1.0,1.0
LYPLA1,2.1102788,0.31870118,0.03483434862910382,1.0,0.8875
NPTN,2.0907965,0.6532749,0.03654631880404305,1.0,0.4125
UBE2G1,2.0898538,0.5706064,0.03663094330980342,1.0,0.4625
BRD9,2.0801475,0.54587764,0.03751201314733062,1.0,0.575
AIMP2,2.078332,0.7854143,0.03767880418390212,1.0,0.3375
DAP3,2.071733,0.4946353,0.03829034980493634,1.0,0.6
GTF3A,2.0613284,0.28479496,0.039271720244783925,1.0,0.825
GOLGA2,2.0456517,0.49875048,0.04079065027504997,1.0,0.5375
CDH5,2.0446043,0.32371166,0.04089388854328982,1.0,0.7875
XXYLT1,2.0379355,0.6880294,0.04155637769354156,1.0,0.425
SLC25A6,2.0354216,0.1661989,0.041808459417935526,1.0,0.9875
LIMS1,2.0351772,0.35314077,0.041833036255603334,1.0,0.7
BAG1,2.0220842,0.5720164,0.04316764458299144,1.0,0.475
INO80D,2.0217352,0.8866908,0.04320372109331549,1.0,0.3
SNX5,2.0175104,0.38724956,0.04364226985714235,1.0,0.725
TSPAN6,2.0162885,0.66819316,0.043769821694799704,1.0,0.3875
DLG1,2.0142982,0.39342418,0.043978222750600406,1.0,0.7
DNAJC10,2.0109117,0.3118173,0.04433479589881641,1.0,0.775
RIPOR1,2.0010657,0.6649727,0.04538531576426508,1.0,0.425
CLPTM1L,1.9957936,0.4998887,0.045956401420057316,1.0,0.575
COL5A1,1.9943969,0.45427904,0.04610869247294386,1.0,0.6
DPP7,1.9921973,0.48866534,0.04634941258990872,1.0,0.575
SASH1,1.989439,0.39371073,0.046652762385846834,1.0,0.6625
TMEM203,1.98291,0.70841783,0.047377482496506695,1.0,0.3875
RTN4,1.9816182,0.20998989,0.04752199253504584,1.0,1.0
TSEN34,1.9779521,0.5326031,0.047934108052358426,1.0,0.4875
TMEM50A,1.9769046,0.2773297,0.04805240551075676,1.0,0.85
NRIP1,1.9753336,0.5590404,0.048230311587427584,1.0,0.4625
CISD3,1.9747748,0.4813995,0.04829370028169291,1.0,0.5625
SLC44A2,1.9727848,0.83850616,0.04852009152717073,1.0,0.3125
CTSA,1.9685601,0.35936335,0.049003631570685956,1.0,0.725
TP53I11,1.9653828,0.49475074,0.04936994476164488,1.0,0.4625
PRR14L,1.9631482,0.72811496,0.04962894536461954,1.0,0.375
RSF1,1.9611232,0.37828827,0.04986464810263713,1.0,0.675
SEC61A1,1.9570731,0.45503515,0.05033887011229958,1.0,0.55
IDE,1.9541403,0.5476057,0.050684626796421134,1.0,0.4125
SNRPC,1.9515218,0.43472773,0.050995017168220406,1.0,0.575
PPIP5K2,1.9478208,0.55614257,0.05143641565595869,1.0,0.425
SLC41A3,1.946494,0.9011652,0.05159542958075349,1.0,0.3125
DDIT4,1.9448879,0.4321878,0.051788470344283445,1.0,0.6
G3BP2,1.9394412,0.31737834,0.05244763552035196,1.0,0.725
TPP1,1.939092,0.44256145,0.052490127861870815,1.0,0.5875
HIC1,1.9390571,0.6530349,0.05249437867859017,1.0,0.35
TGIF1,1.9352515,1.063537,0.052959446130795236,1.0,0.2875
USP3,1.9270465,0.52740043,0.05397383467744808,1.0,0.475
SPA17,1.9267672,1.0486689,0.05400865053187154,1.0,0.25
B4GALT5,1.9250913,0.3672701,0.054217939503312614,1.0,0.6375
MMP24OS,1.9187019,0.32797787,0.05502207179975062,1.0,0.75
KDM5A,1.9153152,0.4628533,0.055452322351875104,1.0,0.6
PIGS,1.9074594,0.47758842,0.05646112852159687,1.0,0.5625
GAA,1.9013493,0.6954129,0.05725627667480011,1.0,0.35
RIPK2,1.8986958,0.81490153,0.05760448732256988,1.0,0.3125
TGFB1,1.8919922,0.38779902,0.058492026059256554,1.0,0.6625
ATP5F1B,1.8817272,0.21324657,0.05987305977490427,1.0,0.9375
FDX2,1.8815876,0.60436577,0.0598920342257115,1.0,0.4
MYCBP2,1.8775375,0.42407143,0.06044446636098501,1.0,0.6
CDKN1A,1.8730685,0.31643075,0.061058941289150744,1.0,0.9625
ZFP36L1,1.8678312,0.26249164,0.06178560460354035,1.0,0.95
PMEPA1,1.8604642,0.574475,0.06281988039368426,1.0,0.4125
CMTM6,1.8524338,0.2509373,0.06396355391960433,1.0,0.7375
LAMC1,1.84168,0.20914344,0.06552195874971667,1.0,0.9
TMEM120A,1.830298,0.5783062,0.06720540566417206,1.0,0.4125
MDN1,1.826143,0.6076067,0.06782871719517486,1.0,0.375
SNRPA1,1.822442,0.43550378,0.06838793277208076,1.0,0.525
ZFAND1,1.8223374,0.5073672,0.06840381461431876,1.0,0.4625
DBNDD1,1.82122,0.6797061,0.06857340965795357,1.0,0.325
KLHL6,1.8209407,0.7565491,0.06861586237505737,1.0,0.325
G3BP1,1.8205566,0.30982843,0.06867427012783313,1.0,0.8
PIK3C2A,1.8195093,0.34587482,0.06883377170035271,1.0,0.6625
RAC2,1.8194394,0.29107627,0.06884441595261784,1.0,0.7375
ODR4,1.8193696,0.8453821,0.06885506155732467,1.0,0.275
OTUD6B-AS1,1.813504,0.34129298,0.06975413284662729,1.0,0.6625
ERAP2,1.8102918,0.42185658,0.07025055116452833,1.0,0.575
PLAC9,1.8089999,0.40494087,0.07045101328833026,1.0,0.5375
RELL1,1.8012489,0.50905293,0.0716636620322155,1.0,0.525
SKA2,1.7988746,0.62479156,0.07203850731011589,1.0,0.4375
NUP93,1.7984208,0.8436087,0.07211035143660945,1.0,0.275
DHCR7,1.7974082,0.41677,0.07227083057032342,1.0,0.5625
PCBP2,1.7916822,0.21067056,0.07318387947238962,1.0,1.0
PUM2,1.7812777,0.5615896,0.07486710024080095,1.0,0.3875
FBXW11,1.7804397,0.4730785,0.07500402634045324,1.0,0.525
EMC4,1.7754818,0.42337182,0.07581836255821395,1.0,0.525
BCAT2,1.7715015,0.54625416,0.07647733372554148,1.0,0.425
STX17,1.7685688,0.56819654,0.0769658738844583,1.0,0.3875
GJA1,1.766404,0.45186856,0.07732809218917497,1.0,0.55
MIR22HG,1.7619698,0.6220408,0.07807439196814074,1.0,0.3875
RAB1B,1.7609923,0.4417522,0.07823971695880708,1.0,0.5625
HMBOX1,1.7582688,0.8733464,0.07870176826094595,1.0,0.2875
BCL6B,1.7559994,0.75587213,0.07908850484435692,1.0,0.3375
GIT1,1.7548124,0.6971202,0.07929141271738792,1.0,0.35
NAV1,1.7504829,0.41930968,0.08003501970157129,1.0,0.5625
POLL,1.7455949,1.13222,0.08088137632297371,1.0,0.2375
CERS6,1.7431159,0.6188914,0.08131336909511268,1.0,0.35
TGOLN2,1.7402878,0.25706524,0.08180849072254621,1.0,0.8
PTPRK,1.7400085,0.4995855,0.08185752404131826,1.0,0.4375
TIGAR,1.736133,0.43041363,0.08254032461258913,1.0,0.4875
LSM8,1.7360631,0.3294764,0.08255266954014129,1.0,0.675
ABHD12,1.7336191,0.7347739,0.08298568575597225,1.0,0.3125
ZMYM2,1.7334446,0.5072809,0.08301668577821239,1.0,0.4125
CLSTN1,1.7334096,0.33034766,0.0830228869084928,1.0,0.625
CCDC93,1.7315592,1.171984,0.0833520842618992,1.0,0.2375
WASHC4,1.7294294,0.45238915,0.08373227967779992,1.0,0.4625
C11orf58,1.7292548,0.28346527,0.08376350540148152,1.0,0.875
CCZ1B,1.7292548,1.0779008,0.08376350540148152,1.0,0.225
PLEC,1.7288009,0.2518965,0.08384473641038244,1.0,0.8875
GTF2F2,1.7245064,0.5197125,0.08461646722101347,1.0,0.4375
ZNF397,1.7241572,0.8206425,0.08467946133661362,1.0,0.2375
TCEA2,1.7236335,0.39958808,0.08477402363889146,1.0,0.5625
ACTR10,1.7209451,0.40360683,0.08526078895402908,1.0,0.475
CCDC25,1.7208753,0.25835356,0.08527346225614421,1.0,0.825
NDUFS2,1.7202119,0.36671653,0.08539393460361527,1.0,0.725
TNKS,1.7183264,0.7396636,0.08573708107665631,1.0,0.375
REST,1.717663,0.36320743,0.08585808249540179,1.0,0.575
NDUFB5,1.7162665,0.36807045,0.08611327338296647,1.0,0.7125
C2orf49,1.7149397,0.5718332,0.08635627195114438,1.0,0.35
FGFR1OP2,1.7081664,0.4184751,0.08760548774163575,1.0,0.525
RAB3B,1.7064904,0.3283327,0.0879168112181715,1.0,0.5875
APPL2,1.7003803,0.74903077,0.08905940844276163,1.0,0.275
NIBAN2,1.6950035,0.58144855,0.09007476212403989,1.0,0.375
TMEM131,1.6933275,0.63338196,0.09039313368797856,1.0,0.3375
PSAP,1.6930482,0.17291999,0.09044628353445378,1.0,0.925
OPTN,1.6885443,0.31647402,0.09130680133998664,1.0,0.625
ZC3H13,1.6877761,0.2871966,0.09145421112996718,1.0,0.75
TIMM10B,1.6821898,0.6276813,0.09253204511893291,1.0,0.3375
RHOBTB3,1.6819453,0.28517026,0.09257943225484712,1.0,0.6375
TMCO3,1.6813867,0.44946742,0.09268781887937567,1.0,0.475
NIPSNAP1,1.6782445,0.6054149,0.0932993932331564,1.0,0.3625
UCK2,1.6778255,0.7587243,0.0933811805646848,1.0,0.3125
NDUFS6,1.6764637,0.2738223,0.09364738673445319,1.0,0.9875
DIPK1B,1.6722041,0.3356203,0.09448406666137778,1.0,0.525
PFDN4,1.6708775,0.35220662,0.09474589216959631,1.0,0.675
RSRC2,1.6679795,0.3312733,0.09531979600832656,1.0,0.7
FAM189B,1.6658497,0.58813727,0.09574335312240205,1.0,0.3875
NUDT5,1.6652911,0.37629855,0.095854699148106,1.0,0.625
INTS3,1.6623931,0.7943223,0.09643397121383955,1.0,0.2625
COMT,1.656702,0.28378022,0.09757972698190268,1.0,0.7875
VPS45,1.6532454,0.9204954,0.09828090929218934,1.0,0.225
DAAM1,1.6501032,0.38465187,0.09892183441117776,1.0,0.55
PLP2,1.6474845,0.27264717,0.09945848343337114,1.0,0.8375
HNRNPH1,1.6458786,0.35856915,0.09978877567624153,1.0,0.725
DNER,1.645669,1.36718,0.09983192169528271,1.0,0.175
TMEM9B,1.6446216,0.46961746,0.10004787501129826,1.0,0.4375
CDC42EP5,1.6445867,0.39445573,0.1000550798652921,1.0,0.55
SOBP,1.6399779,0.56532866,0.10100975793111514,1.0,0.3
ATP11C,1.639943,0.50762445,0.10101701794074391,1.0,0.4125
USP16,1.6378132,0.44015038,0.1014606651940601,1.0,0.475
SSH2,1.6353692,0.50166726,0.10197167899855863,1.0,0.375
FAM98A,1.6337281,0.42176983,0.10231593631854598,1.0,0.525
