names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ATP5MD,3.758254,0.42165533,0.00017110307154421722,1.0,1.0
RPLP2,3.7164035,0.14952855,0.00020207876942437942,1.0,1.0
RPL39,3.5940323,0.17310897,0.0003255995965093744,1.0,1.0
RPS8,3.1574516,0.10714339,0.00159154634381661,1.0,1.0
RPS21,3.1546202,0.1354417,0.0016070714930304579,1.0,1.0
RAB1B,2.9666998,0.65053743,0.0030101474582629613,1.0,0.6615384615384615
FAU,2.955762,0.17867634,0.00311897689646831,1.0,1.0
RPL36,2.9142604,0.12488751,0.0035653231725509297,1.0,1.0
RPS26,2.8773358,0.20335929,0.004010486598243796,1.0,0.9846153846153847
UBA52,2.7040765,0.10615444,0.006849450738168698,1.0,1.0
FTL,2.7030294,0.14073475,0.006871068561374086,1.0,1.0
IFI27,2.6858468,0.26196805,0.007234622838863485,1.0,0.9846153846153847
S100A6,2.6410484,0.1503461,0.008264987869785358,1.0,1.0
GABARAP,2.6166131,0.24840173,0.008880694989224397,1.0,0.9384615384615385
COX14,2.5895789,0.4900924,0.009609340381273932,1.0,0.7538461538461538
IFI27L2,2.575926,0.5425974,0.009997202640850317,1.0,0.676923076923077
SON,2.506188,0.38745287,0.012204072282979326,1.0,0.8923076923076924
IFITM3,2.498547,0.22099736,0.012470359418881782,1.0,1.0
RPL37,2.4439356,0.10622392,0.014528016503247893,1.0,1.0
DPCD,2.4302828,0.81936204,0.015087044176557986,1.0,0.46153846153846156
RPS28,2.4258225,0.10554244,0.015273742979453919,1.0,1.0
NBL1,2.409726,0.5930535,0.015964504742335184,1.0,0.5846153846153846
UQCR10,2.3773005,0.33434582,0.017439873287506232,1.0,1.0
SMC1A,2.374857,0.6105673,0.017555751644394164,1.0,0.5538461538461539
FHL2,2.3743916,0.38105863,0.017577900077068186,1.0,0.7384615384615385
GTF2H5,2.369427,0.3955541,0.017815678347519324,1.0,0.8307692307692308
ATP5F1E,2.3278477,0.14732787,0.019920188886286272,1.0,1.0
ATP5PO,2.3018997,0.3341263,0.021340834127982305,1.0,0.8615384615384616
MRPS23,2.2996888,0.589263,0.021465858085346037,1.0,0.5384615384615384
C12orf76,2.298215,0.85708535,0.021549561265498732,1.0,0.4
CRIP1,2.292552,0.2992003,0.02187380641378373,1.0,0.9692307692307692
MRPS17,2.2784338,0.7368514,0.022700744787126106,1.0,0.5076923076923077
SERF2,2.271685,0.10878471,0.023105545895107382,1.0,1.0
UGDH,2.243526,0.6273763,0.024862917133625807,1.0,0.5692307692307692
PFN2,2.2399576,0.43847203,0.025093674728520927,1.0,0.7230769230769231
RAP1B,2.2269642,0.40119964,0.025949670162246245,1.0,0.7538461538461538
SLC39A13,2.2138155,0.9475752,0.026841471244353758,1.0,0.4
MRPL33,2.2090836,0.34047803,0.02716882791395914,1.0,0.8153846153846154
RPS14,2.196323,0.08206793,0.028068844670589836,1.0,1.0
TMEM258,2.1778605,0.28175578,0.02941642625409652,1.0,0.9230769230769231
RPL38,2.1709177,0.12216418,0.0299373947439535,1.0,1.0
ISOC2,2.1644015,0.5230344,0.030433543898482823,1.0,0.6
RPL28,2.1472192,0.07172678,0.03177583832631778,1.0,1.0
AFAP1L1,2.1301918,1.006148,0.033155773952676576,1.0,0.3384615384615385
SDF4,2.1259642,0.4145002,0.0335062430935686,1.0,0.8153846153846154
C12orf43,2.1077344,1.1748683,0.035053959005101165,1.0,0.3230769230769231
RPL41,2.0964088,0.07935052,0.036045935645021523,1.0,1.0
COMMD6,2.0950902,0.2546801,0.03616298058666894,1.0,0.9384615384615385
ATP11A,2.0830662,1.1566768,0.03724517793519778,1.0,0.3230769230769231
CASP4,2.0755417,0.5910332,0.03793635328547608,1.0,0.5538461538461539
ZSWIM7,2.072051,0.74946964,0.03826068794209532,1.0,0.4153846153846154
COX7A2,2.0587473,0.1005282,0.03951846101341652,1.0,0.9230769230769231
TSPO,2.056808,0.17472553,0.03970470908354761,1.0,0.9846153846153847
UBE2V2,2.0548298,0.49193275,0.03989544900404196,1.0,0.6307692307692307
NDUFB1,2.0487015,0.3302488,0.04049131102220799,1.0,0.9076923076923077
NDUFS7,2.0394704,0.32176396,0.041403109072968375,1.0,0.8153846153846154
RTL8C,2.0316741,0.42762357,0.0421866441202728,1.0,0.6923076923076923
HNRNPM,2.0302005,0.42896926,0.04233617657663857,1.0,0.7384615384615385
TOPORS,2.0289593,0.8218459,0.042462446171011296,1.0,0.38461538461538464
POP7,2.0192626,0.6785859,0.04345993485736061,1.0,0.46153846153846156
AK1,2.0143754,0.46215,0.0439701261081161,1.0,0.6307692307692307
MICA,2.0129015,0.37654683,0.04412498224706391,1.0,0.676923076923077
TRMT112,2.0119708,0.29483923,0.0442230231228489,1.0,0.8923076923076924
DBN1,2.0034378,0.48089445,0.04513032828315782,1.0,0.5384615384615384
NEDD8,1.983967,0.18634039,0.04725953103279692,1.0,0.9538461538461539
ARPC3,1.9740375,0.13958728,0.04837747298554121,1.0,0.9230769230769231
ATP5ME,1.9686463,0.18726996,0.048993729441757644,1.0,0.9692307692307692
SNRPC,1.9674438,0.48518252,0.04913206287243518,1.0,0.5538461538461539
TRIB3,1.9604235,0.6564903,0.04994631117390125,1.0,0.4461538461538462
UBE2N,1.9377722,0.3905741,0.05265102071045686,1.0,0.7076923076923077
IGBP1,1.9271448,0.5004433,0.0539615984476621,1.0,0.5384615384615384
GLRX5,1.9247012,0.4089873,0.054266755335782464,1.0,0.676923076923077
WDR43,1.9222188,0.39541292,0.05457822900614882,1.0,0.6615384615384615
FNIP1,1.917448,1.1681736,0.05518102984284788,1.0,0.27692307692307694
LONP2,1.9105829,0.68156856,0.05605820572882211,1.0,0.4
PKP4,1.9086047,1.0555933,0.05631309570187781,1.0,0.2923076923076923
FAM120AOS,1.8964258,0.74419415,0.05790376023297605,1.0,0.36923076923076925
TOMM7,1.8958052,0.16780345,0.05798580310323229,1.0,1.0
SEC61G,1.8886298,0.15161467,0.058941459139559095,1.0,0.9384615384615385
RPL18,1.8820748,0.08641752,0.05982585686560683,1.0,1.0
PLAC9,1.8812603,0.4506371,0.05993651729244331,1.0,0.5692307692307692
SNHG6,1.8781961,0.17070098,0.06035433277767425,1.0,0.9692307692307692
TMA7,1.8771101,0.18664338,0.06050299758098997,1.0,0.9846153846153847
UQCRC2,1.8734255,0.43019396,0.06100965945174087,1.0,0.6461538461538462
CCDC85B,1.8720679,0.27118343,0.06119720812393752,1.0,0.9076923076923077
KIAA1143,1.8714861,0.7759584,0.06127773216930401,1.0,0.38461538461538464
RNF149,1.8700898,0.4576798,0.06147134792351328,1.0,0.6
RER1,1.8684608,0.37627745,0.06169787286242808,1.0,0.7384615384615385
SLC39A9,1.8625264,1.053556,0.06252892170053595,1.0,0.2923076923076923
RPRD1B,1.8596951,0.8544542,0.0629286855038494,1.0,0.3230769230769231
MRPS25,1.8388667,0.446391,0.06593479556533861,1.0,0.5538461538461539
PAIP2,1.835725,0.4670521,0.06639834003792328,1.0,0.5384615384615384
C17orf49,1.8244381,0.33493626,0.068085862419797,1.0,0.7230769230769231
CMSS1,1.8226539,0.43020377,0.06835581918941225,1.0,0.6307692307692307
SRGN,1.8081478,0.15939313,0.07058349916956069,1.0,0.9692307692307692
ORMDL2,1.8058594,0.58073777,0.07094030335284261,1.0,0.46153846153846156
SMC4,1.7954259,0.831776,0.07258587782060205,1.0,0.35384615384615387
IAH1,1.7908491,0.5297423,0.07331752310936146,1.0,0.5384615384615384
REXO2,1.7903448,0.25529635,0.07339849571575552,1.0,0.8461538461538461
MMGT1,1.7887546,1.0387826,0.07365435009454453,1.0,0.26153846153846155
RPS27,1.7885994,0.12146694,0.07367935049556987,1.0,1.0
PET100,1.7799113,0.3528042,0.07509048541115511,1.0,0.7076923076923077
SUSD5,1.7740157,0.6551248,0.0760605515362972,1.0,0.38461538461538464
C5orf15,1.7739769,0.73238564,0.07606696724030598,1.0,0.3384615384615385
CCDC169,1.7618368,1.4656755,0.07809688213375406,1.0,0.2153846153846154
NDUFAF4,1.7584236,0.86314905,0.07867546915321998,1.0,0.35384615384615387
CTSA,1.7524116,0.44611463,0.07970305036886603,1.0,0.7076923076923077
MSRB3,1.7451198,0.48408762,0.08096401963121981,1.0,0.5538461538461539
PARVB,1.7443441,0.34491068,0.08109911321963297,1.0,0.7538461538461538
PIGF,1.7382545,0.6233542,0.08216596516787422,1.0,0.4461538461538462
MRPL20,1.7368195,0.2681988,0.08241903888523702,1.0,0.8307692307692308
NT5E,1.7304585,0.32965717,0.08354838934803648,1.0,0.7384615384615385
RPS24,1.7297215,0.052851558,0.08368003494915793,1.0,1.0
H2AFJ,1.726386,0.34170905,0.08427800672559652,1.0,0.7846153846153846
POLR2L,1.7153705,0.18155041,0.08627730871878468,1.0,0.9846153846153847
RPS29,1.7070315,0.090871096,0.08781620287568126,1.0,1.0
GUSB,1.7064109,0.620119,0.08793160472319858,1.0,0.4153846153846154
DHX38,1.7028425,0.719722,0.08859754079721946,1.0,0.3384615384615385
MAP1LC3B,1.696404,0.3498741,0.08980940079840363,1.0,0.6615384615384615
ATG4B,1.6907799,0.9333392,0.09087883985833499,1.0,0.3076923076923077
SH3GLB1,1.6892673,0.28647003,0.09116822316706286,1.0,0.7846153846153846
RPS6,1.6828675,0.04610057,0.0924007444976549,1.0,1.0
MAP2K3,1.6734424,0.70378023,0.09424023951173129,1.0,0.35384615384615387
DTWD1,1.6718134,0.6422605,0.0945611326050538,1.0,0.35384615384615387
RHOB,1.6717746,0.579415,0.09456878357691255,1.0,0.4
ZNF451,1.6709988,0.5340279,0.09472190722723227,1.0,0.4153846153846154
FTH1,1.6697965,0.07776757,0.09495964145631673,1.0,1.0
PRKAR1A,1.6687105,0.35864025,0.09517477979712603,1.0,0.676923076923077
RBM28,1.6630088,0.5729559,0.09631066897605248,1.0,0.49230769230769234
HLA-B,1.6604102,0.11574072,0.09683197337201875,1.0,0.9538461538461539
TPD52L2,1.6546698,0.505218,0.0979915097891167,1.0,0.4461538461538462
HNRNPDL,1.6534286,0.30209503,0.09824367309674431,1.0,0.7846153846153846
FLNA,1.649162,0.26744583,0.09911443952796027,1.0,0.8461538461538461
TSKU,1.643538,1.530761,0.10027166661765125,1.0,0.2
OTUD6B-AS1,1.641909,0.40521923,0.10060886781011891,1.0,0.6153846153846154
NME4,1.6418314,0.22339462,0.10062494752469332,1.0,0.8615384615384616
OSMR,1.63772,0.84298474,0.10148010725416978,1.0,0.2923076923076923
RPL30,1.6333371,0.06483446,0.10239810271747991,1.0,1.0
NELFE,1.6297688,0.45773384,0.10315036652854147,1.0,0.5692307692307692
NUDT9,1.6258126,0.54800665,0.10398952771052998,1.0,0.38461538461538464
S100A11,1.6151463,0.09671602,0.10627901269605662,1.0,0.9846153846153847
MAP1S,1.6143318,0.76856565,0.10645547575770119,1.0,0.2923076923076923
EVA1B,1.6139439,0.3220883,0.10653958738202651,1.0,0.7076923076923077
APOBEC3C,1.6126252,0.5951047,0.10682596099548647,1.0,0.47692307692307695
THUMPD3-AS1,1.6109574,0.59318435,0.10718901257938838,1.0,0.4461538461538462
GDF15,1.6089405,0.43416786,0.10762935665647301,1.0,0.6461538461538462
SNHG15,1.598313,0.5594546,0.1099733383830284,1.0,0.4
ANAPC16,1.5981579,0.2932298,0.11000785346359958,1.0,0.8461538461538461
UQCRQ,1.5980027,0.15615204,0.11004237710316404,1.0,0.9692307692307692
RPLP1,1.597227,0.05778231,0.1102151237310761,1.0,1.0
GSTP1,1.5959858,0.107686475,0.11049196387328292,1.0,0.9846153846153847
UBL5,1.5942016,0.09180906,0.11089088344947612,1.0,0.9384615384615385
FAM216A,1.5882673,0.7678492,0.11222591049068635,1.0,0.3230769230769231
SEC61B,1.5863279,0.20507942,0.11266493119125645,1.0,0.9538461538461539
EIF2AK4,1.583962,0.362989,0.11320236849954288,1.0,0.6615384615384615
GYG1,1.5831863,0.5829648,0.11337901649151087,1.0,0.4
HCFC1R1,1.5818676,0.49399075,0.11367981635981775,1.0,0.49230769230769234
CD59,1.5804712,0.11813178,0.11399899501123452,1.0,0.9846153846153847
TENT4B,1.5777174,0.6290542,0.1146305538841848,1.0,0.35384615384615387
SELENOM,1.5758169,0.36205786,0.11506802184881387,1.0,0.6461538461538462
RPS15,1.5741878,0.023351947,0.1154440386538307,1.0,1.0
KLHL5,1.573063,0.5480154,0.11570423269538058,1.0,0.46153846153846156
EXOSC6,1.57252,0.53044146,0.11583000850321083,1.0,0.38461538461538464
RPL18A,1.5723648,0.052858036,0.11586596418074911,1.0,1.0
MIR100HG,1.5696498,0.4723126,0.11649660968980813,1.0,0.47692307692307695
CSNK1D,1.5687965,0.41700208,0.11669536850024935,1.0,0.49230769230769234
OTUB1,1.5662754,0.45447746,0.11728416665176522,1.0,0.49230769230769234
MIF,1.5657711,0.09071324,0.11740220566251024,1.0,1.0
COX7A2L,1.5655384,0.28205767,0.11745671664724157,1.0,0.8
SSB,1.565267,0.2605727,0.1175203379018049,1.0,0.7384615384615385
DGKH,1.5626295,0.485503,0.11813978133443832,1.0,0.4307692307692308
NDUFA7,1.5618536,0.27784216,0.1183224571635176,1.0,0.8307692307692308
