names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TMEM258,3.0004926,0.3591758,0.002695433035958998,1.0,0.9438202247191011
RPL35,2.861244,0.11627229,0.004219821146334458,1.0,1.0
PCGF3,2.7172656,1.0513374,0.006582375665357837,1.0,0.3595505617977528
C4orf3,2.7119405,0.37856305,0.006689061002479034,1.0,0.8202247191011236
MRPS5,2.6250837,0.4080848,0.008662766169670386,1.0,0.7415730337078652
CDKN1A,2.623099,0.39283487,0.008713390089443069,1.0,0.898876404494382
TNPO1,2.613871,0.34168005,0.008952281002885632,1.0,0.7865168539325843
RPS27,2.6101005,0.0941539,0.009051563941099884,1.0,1.0
RPLP2,2.5930665,0.086235836,0.009512438097322202,1.0,1.0
TMEM189,2.581556,0.50329673,0.009835599097340835,1.0,0.6179775280898876
CAPZA2,2.5436513,0.35522395,0.010970049612880306,1.0,0.8539325842696629
GNB5,2.5297265,0.72354215,0.01141514466455756,1.0,0.43820224719101125
COX5B,2.5047874,0.2525333,0.012252497729873172,1.0,0.9887640449438202
GLO1,2.4946663,0.373514,0.012607561277826307,1.0,0.8651685393258427
ERCC1,2.4945672,0.48325163,0.012611086919990926,1.0,0.6179775280898876
C1orf43,2.4843469,0.48758036,0.01297893595542577,1.0,0.6853932584269663
ATP5F1C,2.4635422,0.32262248,0.013757171847110998,1.0,0.9101123595505618
RPL36,2.442473,0.09893386,0.014587022780347304,1.0,1.0
GNS,2.4312603,0.4376521,0.015046400671183758,1.0,0.6853932584269663
GOT2,2.4299703,0.3931442,0.015100058276792535,1.0,0.7415730337078652
LAGE3,2.382573,0.54369456,0.017192127254845112,1.0,0.5393258426966292
SH3BP5,2.3305118,0.33788377,0.01977911702833777,1.0,0.8539325842696629
SNHG29,2.3252528,0.12986267,0.02005844817442928,1.0,0.9887640449438202
TRMT112,2.3120887,0.30015504,0.020772798379288845,1.0,0.9101123595505618
NDUFA11,2.3068957,0.24308586,0.021060631304187255,1.0,0.9662921348314607
ARL6IP4,2.2787483,0.22975275,0.022682027283211625,1.0,0.9213483146067416
AHCYL1,2.2721663,0.35573146,0.023076466855354173,1.0,0.7303370786516854
MGP,2.2691233,0.50860167,0.02326082546911499,1.0,0.5617977528089888
PHF14,2.2651212,0.6170917,0.023505243072790467,1.0,0.48314606741573035
IFITM2,2.247988,0.17437981,0.024576955034900993,1.0,1.0
TXNDC5,2.2434566,0.33431485,0.02486738331888686,1.0,0.8539325842696629
ABCC3,2.234427,0.5472048,0.02545499238811517,1.0,0.5168539325842697
CARD19,2.2337985,0.6321603,0.025496331777893885,1.0,0.4606741573033708
