names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SRSF4,3.0858312,0.5229156,0.002029840101822841,1.0,0.7560975609756098
HEBP2,3.0422482,0.41539454,0.002348180563284272,1.0,0.8658536585365854
PHF20L1,3.0058718,0.55189955,0.002648205718160425,1.0,0.7804878048780488
ANKRD28,2.950152,0.6576879,0.0031761761428233987,1.0,0.6463414634146342
PRPF40A,2.9367049,0.47181657,0.0033171973352350594,1.0,0.8292682926829268
FDPS,2.8619175,0.38978687,0.0042108658978055255,1.0,0.9390243902439024
SLC38A2,2.748788,0.5184482,0.005981602067227885,1.0,0.7804878048780488
CACNA2D1,2.7180665,0.9839611,0.0065664649723140645,1.0,0.3902439024390244
ACLY,2.698137,0.38049886,0.006972874905453819,1.0,0.9024390243902439
COA3,2.662726,0.5764912,0.007751052735861813,1.0,0.6097560975609756
SUB1,2.5814562,0.2725242,0.009838445155367446,1.0,0.9512195121951219
ATP2B4,2.531667,0.6267876,0.011352173995192548,1.0,0.5609756097560976
ANXA5,2.4483976,0.22695802,0.014349322420612886,1.0,0.9878048780487805
HTT,2.4356055,0.9357909,0.014866890603885565,1.0,0.36585365853658536
ERICH1,2.3924708,0.58297604,0.016735357754766235,1.0,0.524390243902439
SNHG1,2.3870919,0.7682193,0.0169822433822868,1.0,0.4024390243902439
RGS10,2.3651972,0.3147921,0.018020478422824747,1.0,0.8048780487804879
NOP10,2.3650937,0.21045195,0.018025512584703064,1.0,0.8658536585365854
HNRNPU,2.3638868,0.31553486,0.018084335550096864,1.0,0.8902439024390244
PNKD,2.3405437,0.5108414,0.019255679182697133,1.0,0.5853658536585366
MT-ATP8,2.3281655,0.4043657,0.01990331988846277,1.0,0.7317073170731707
FRMD6,2.3247175,0.53405994,0.020087074001501375,1.0,0.573170731707317
CDC37,2.3237176,0.34639964,0.02014063888091103,1.0,0.8902439024390244
CBX1,2.299478,0.51001436,0.021477810813718815,1.0,0.6341463414634146
NQO1,2.2989953,0.24088597,0.021505207000803068,1.0,0.9512195121951219
STRAP,2.2888236,0.46496302,0.022089600439685827,1.0,0.6951219512195121
STRBP,2.2816863,1.1200728,0.022507868985830987,1.0,0.3170731707317073
MTERF3,2.268446,1.3184277,0.023302041921058687,1.0,0.25609756097560976
HHIP,2.2474132,0.41056016,0.024613641561347033,1.0,0.7073170731707317
TUBB6,2.2288628,0.32027015,0.025823037699207685,1.0,0.8292682926829268
HDGFL3,2.2245183,0.5031505,0.02611359498543168,1.0,0.5975609756097561
LAMA5,2.221484,0.3910967,0.026318196108750764,1.0,0.7560975609756098
MARCKS,2.2002442,0.24925214,0.027789568673054717,1.0,0.9878048780487805
OXA1L,2.1952791,0.42162856,0.02814358039618032,1.0,0.6341463414634146
OXR1,2.1914864,0.55077004,0.02841661807308802,1.0,0.5365853658536586
BAZ2B,2.1851075,0.64824694,0.028880964833101985,1.0,0.4634146341463415
APPL1,2.1803148,0.42374054,0.029234136633575554,1.0,0.6341463414634146
DCAF7,2.177315,0.45820838,0.02945707233923926,1.0,0.6097560975609756
SSR3,2.1662123,0.2155669,0.030294959034872924,1.0,0.8902439024390244
PBRM1,2.1550753,0.49128154,0.03115593910341281,1.0,0.5365853658536586
SLC7A11,2.1533167,0.40502495,0.03129378505139578,1.0,0.6829268292682927
VPS25,2.1384559,0.43719885,0.032479757216156015,1.0,0.5975609756097561
