names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MBNL2,3.6677883,0.7058239,0.0002446575591092712,1.0,0.6923076923076923
C4orf48,3.2739193,0.30841234,0.0010606689326564573,1.0,0.9743589743589743
IFI27,3.2460864,0.33110413,0.0011700331626192644,1.0,1.0
KRT8,2.9068222,0.432281,0.0036512068281795203,1.0,0.8461538461538461
CWC15,2.8388138,0.6551016,0.0045281581781496695,1.0,0.6794871794871795
ARF1,2.789726,0.42133835,0.005275266786348558,1.0,0.8589743589743589
DHRS4L2,2.745837,1.0603132,0.006035674147203609,1.0,0.38461538461538464
NT5E,2.7445638,0.5035468,0.0060591368239368455,1.0,0.7435897435897436
EFR3A,2.7398603,0.6757551,0.006146532518059616,1.0,0.5384615384615384
RTRAF,2.715882,0.36811996,0.0066099439344640964,1.0,0.8846153846153846
MYL6,2.6851492,0.16998826,0.00724974187621391,1.0,1.0
HDGF,2.671215,0.4647102,0.007557718877131858,1.0,0.8205128205128205
PPP1R14B,2.663647,0.33494803,0.007729866222465455,1.0,0.9615384615384616
PSMD1,2.635142,0.38214776,0.008410208690454593,1.0,0.8076923076923077
PSMB3,2.634576,0.4028134,0.008424240148699445,1.0,0.8461538461538461
TBCA,2.6090775,0.25482908,0.009078670158056726,1.0,0.9615384615384616
KCTD12,2.5942945,0.42658818,0.009478525678675444,1.0,0.8076923076923077
SBDS,2.5850286,0.4890395,0.009737090287095542,1.0,0.7692307692307693
MED28,2.5550385,0.6825905,0.010617606785696058,1.0,0.5128205128205128
ANKRD1,2.530247,0.5143267,0.011398224876206887,1.0,0.7051282051282052
SERPINE1,2.5276299,0.26401052,0.011483531827563898,1.0,1.0
CBX1,2.5192835,0.6129489,0.011759389362953617,1.0,0.6538461538461539
TMEM50B,2.510725,0.5897044,0.012048348350789766,1.0,0.5769230769230769
SYNE1,2.4999385,0.65667605,0.01242148618165811,1.0,0.5256410256410257
NUTF2,2.4990897,0.40202028,0.012451277671827162,1.0,0.8461538461538461
SLC38A2,2.4763849,0.44835025,0.01327204159647256,1.0,0.717948717948718
CAV1,2.471575,0.21059053,0.013451927991032833,1.0,1.0
PDHA1,2.43094,0.6157371,0.015059715753307898,1.0,0.5769230769230769
TMSB10,2.42033,0.08590873,0.015506424661751717,1.0,1.0
COPB2,2.4086595,0.5005859,0.016011234568227353,1.0,0.6538461538461539
LRRC8B,2.3980496,0.55705625,0.016482632556530513,1.0,0.5897435897435898
DDX52,2.387546,0.51151836,0.016961281515615056,1.0,0.6025641025641025
ZKSCAN1,2.3866265,0.46033284,0.017003758426311584,1.0,0.6538461538461539
S100A6,2.3818521,0.10793756,0.017225815632063702,1.0,1.0
TXNRD2,2.345885,0.3508226,0.018981961116176154,1.0,0.8717948717948718
MRPL22,2.3379278,0.43540224,0.019390997336009706,1.0,0.782051282051282
CD59,2.3327644,0.16403013,0.019660518055967642,1.0,0.9871794871794872
SRP19,2.2917047,0.48554078,0.0219226938441003,1.0,0.6666666666666666
MYO6,2.288168,0.6596996,0.02212773740457891,1.0,0.47435897435897434
IFITM2,2.2845962,0.18748584,0.022336522513377997,1.0,1.0
FAM177A1,2.2801754,0.36206624,0.02259728998668164,1.0,0.7564102564102564
CES2,2.263518,0.7986866,0.0236037723229945,1.0,0.3974358974358974
CCPG1,2.250468,0.38268068,0.024419247569833387,1.0,0.717948717948718
MINPP1,2.2482755,0.8097222,0.02455863437291166,1.0,0.3717948717948718
ATOX1,2.2373827,0.19875525,0.025261336327007947,1.0,0.9743589743589743
ARPC2,2.224156,0.18254004,0.026137955916601768,1.0,0.9871794871794872
DNASE1L1,2.222918,0.73637015,0.026221322214406522,1.0,0.46153846153846156
LGALS1,2.2154205,0.08347322,0.026731211407375235,1.0,1.0
CCBE1,2.1956863,0.5342342,0.028114394605201293,1.0,0.5769230769230769
YWHAH,2.176483,0.292892,0.02951917833600469,1.0,0.8076923076923077
PWP1,2.1718144,0.5691347,0.029869656481386675,1.0,0.6025641025641025
ZFP36L1,2.1549096,0.24227285,0.031168904636835207,1.0,0.9230769230769231
RAD23B,2.1544144,0.46608242,0.03120767775719543,1.0,0.6025641025641025
CCN2,2.1511962,0.36546615,0.031460713255663894,1.0,0.8846153846153846
SDF4,2.1443,0.37927702,0.03200886384665521,1.0,0.7307692307692307
EZR,2.1399145,0.27497682,0.032361672898997246,1.0,0.7948717948717948
TEX264,2.1354585,0.634354,0.03272357990899278,1.0,0.4358974358974359
GATAD1,2.1221962,0.41028154,0.03382125883528037,1.0,0.6153846153846154
TLN1,2.1009061,0.2703477,0.0356492132771539,1.0,0.8717948717948718
BCAP29,2.093939,0.3538195,0.036265414893823,1.0,0.7435897435897436
MIER1,2.0906854,0.51961744,0.03655627988135348,1.0,0.5769230769230769
RPL7A,2.0813487,0.08738786,0.03740199447147707,1.0,1.0
MFAP1,2.0770695,0.5376278,0.037795144780584725,1.0,0.5128205128205128
IMP4,2.0760794,0.5460014,0.03788662093223101,1.0,0.5256410256410257
CISD3,2.0754428,0.5124942,0.0379455264196901,1.0,0.5641025641025641
CTDNEP1,2.074417,0.51261234,0.03804059354512178,1.0,0.6153846153846154
ESD,2.0684402,0.34260842,0.03859864407350289,1.0,0.8205128205128205
SIPA1L3,2.0680513,0.9380377,0.03863520680015152,1.0,0.3076923076923077
PTTG1IP,2.064161,0.28071582,0.0390024555652349,1.0,0.8846153846153846
PLAT,2.0588915,0.27676624,0.03950463580903652,1.0,0.9743589743589743
AP3S1,2.0556731,0.44847217,0.039814028044594406,1.0,0.6025641025641025
LMAN1,2.0496256,0.30611262,0.04040097701884242,1.0,0.8717948717948718
ZMAT2,2.0493426,0.4638691,0.04042861533586465,1.0,0.5641025641025641
BAG3,2.0489538,0.8312461,0.04046664419672926,1.0,0.34615384615384615
DIDO1,2.0474684,0.85119915,0.04061212439706698,1.0,0.34615384615384615
TMEM50A,2.0429769,0.30088538,0.04105472875698822,1.0,0.8589743589743589
PDLIM1,2.0273452,0.15886457,0.04262712487679116,1.0,1.0
FAM241A,2.0127745,0.44608772,0.04413836219535275,1.0,0.5512820512820513
ADGRG6,2.0118904,0.4075146,0.044231500855152144,1.0,0.5897435897435898
DSTN,2.0069745,0.09931683,0.044752382042331784,1.0,1.0
UBE2A,2.003933,0.48711747,0.04507723750665502,1.0,0.5256410256410257
TRIP6,1.998911,0.6533478,0.04561797794311967,1.0,0.4230769230769231
ZFR,1.9963647,0.49118292,0.04589423798280898,1.0,0.5897435897435898
RAB3B,1.9917672,0.39868793,0.04639661045299412,1.0,0.6025641025641025
ECH1,1.9873111,0.3742686,0.04688793536252957,1.0,0.717948717948718
SUZ12,1.9837391,0.4870535,0.047284929438518,1.0,0.5256410256410257
SEPHS2,1.9777976,0.8763115,0.04795153652362712,1.0,0.3333333333333333
NR1D2,1.9767014,0.86869043,0.04807540047495338,1.0,0.2948717948717949
ANPEP,1.9613172,0.25668165,0.04984203195911699,1.0,0.8461538461538461
RNF34,1.9584526,0.7565435,0.050176931289815103,1.0,0.32051282051282054
ANXA1,1.9514148,0.14467812,0.05100772544345053,1.0,0.9743589743589743
ZNF593,1.9468172,0.41080108,0.05155665195323366,1.0,0.6794871794871795
MRPL19,1.9445539,0.41469935,0.05182870358190753,1.0,0.6282051282051282
AK1,1.9401331,0.47748423,0.05236351875033475,1.0,0.6410256410256411
RPL36AL,1.9296649,0.19396485,0.053648384179317714,1.0,0.9615384615384616
DDT,1.929488,0.25034162,0.053670312075868205,1.0,0.9230769230769231
RGS4,1.9276843,0.58366436,0.05389440436798251,1.0,0.44871794871794873
IGBP1,1.9219904,0.5876066,0.05460696343798294,1.0,0.5256410256410257
PRDX4,1.9206111,0.28872785,0.05478074823662444,1.0,0.7692307692307693
PFDN4,1.9176757,0.32781595,0.05515213350352693,1.0,0.7435897435897436
PAK2,1.9175344,0.28691736,0.055170084471200864,1.0,0.8717948717948718
H2AFZ,1.9041307,0.19219814,0.05689316652711437,1.0,0.8717948717948718
