names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SRXN1,3.1413186,1.1515543,0.0016818897808353343,1.0,0.47368421052631576
HCFC1R1,3.086109,0.9370687,0.0020279458688709645,1.0,0.5789473684210527
PCBP2,3.0618613,0.38137415,0.0021996535219942263,1.0,0.9824561403508771
PUS7L,3.03007,0.8313221,0.0024449698293765106,1.0,0.5964912280701754
CCDC88A,3.0198736,0.71451163,0.0025288010861749684,1.0,0.7017543859649122
SSR2,2.852711,0.42563128,0.004334804315097692,1.0,0.9649122807017544
CXorf38,2.8367116,1.2135032,0.004558075824696136,1.0,0.40350877192982454
HHIP,2.826391,0.58375096,0.004707577761299102,1.0,0.7543859649122807
ABCC3,2.7474725,0.7669426,0.006005655238476881,1.0,0.5789473684210527
THBS1,2.7420013,0.70211625,0.006106611412576129,1.0,0.7543859649122807
CBX6,2.703081,0.8211545,0.006870003590815154,1.0,0.5263157894736842
NQO2,2.6660671,1.0516868,0.0076744374498365206,1.0,0.43859649122807015
SMARCD1,2.6541297,0.6342751,0.00795132215797999,1.0,0.7192982456140351
YWHAB,2.6431873,0.23369227,0.00821295691498881,1.0,1.0
TRIM56,2.6077073,0.77242297,0.009115087455917067,1.0,0.543859649122807
UROD,2.5882678,0.60304517,0.009645996301767138,1.0,0.6666666666666666
ZFHX3,2.582838,0.8487792,0.009799132705454147,1.0,0.5087719298245614
ARL14EP,2.578237,1.0154251,0.00993058114547233,1.0,0.42105263157894735
ZNF226,2.5742996,1.0172752,0.010044327134929797,1.0,0.42105263157894735
RAB8A,2.5612845,0.88906145,0.010428587730141003,1.0,0.49122807017543857
CDK5,2.5576787,1.2128462,0.01053734349312884,1.0,0.3684210526315789
TNFAIP1,2.5341356,0.99823093,0.011272507058716203,1.0,0.47368421052631576
PLEKHO1,2.5292032,0.58265436,0.011432178842698796,1.0,0.631578947368421
ANXA7,2.5082717,0.61583555,0.012132334955966861,1.0,0.6842105263157895
POLR2G,2.5062406,0.504478,0.012202252809982831,1.0,0.7543859649122807
SUZ12,2.4427826,0.66141003,0.014574512661145126,1.0,0.5789473684210527
PYCR1,2.4378502,0.7525383,0.014774894146347375,1.0,0.5087719298245614
ALKBH7,2.4250011,0.46227556,0.015308339848012765,1.0,0.7894736842105263
