names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
FHL2,2.9957938,0.3953783,0.0027373144097737855,1.0,0.7661290322580645
ELF1,2.9894247,0.61425894,0.0027950324857680437,1.0,0.5241935483870968
LIMA1,2.9622166,0.38556427,0.003054327269646431,1.0,0.7580645161290323
XRN2,2.9312375,0.3375113,0.003376145679841442,1.0,0.8870967741935484
FASN,2.9236672,0.46291977,0.003459342965615068,1.0,0.7258064516129032
PGD,2.8038008,0.23559952,0.005050408400516147,1.0,0.967741935483871
XPA,2.7889397,0.86685157,0.005288089357521993,1.0,0.3629032258064516
KARS,2.76162,0.5701262,0.005751537921326253,1.0,0.5161290322580645
WDR82,2.7409484,0.55264056,0.006126209987766801,1.0,0.5161290322580645
CLTA,2.7105,0.20289464,0.0067181831867188825,1.0,0.9193548387096774
FDXR,2.6992705,0.58754903,0.006949167469113014,1.0,0.4838709677419355
KIF2A,2.6814203,0.4879733,0.007331035299343494,1.0,0.5483870967741935
RPL13A,2.6138473,0.073619984,0.008952907840206425,1.0,1.0
RSRC2,2.6061652,0.3811959,0.009156228802567635,1.0,0.7419354838709677
MRPL41,2.5647943,0.2713806,0.01032369590397562,1.0,0.9193548387096774
RPL10A,2.56323,0.096652776,0.010370330349985957,1.0,1.0
U2SURP,2.5199597,0.44076857,0.011736826153521578,1.0,0.6048387096774194
KDM5A,2.5071099,0.4337861,0.012172285299893686,1.0,0.5887096774193549
TLN1,2.4969697,0.27749953,0.012525964496943747,1.0,0.9032258064516129
ACAT1,2.461018,0.42388573,0.013854333669677948,1.0,0.6048387096774194
ATP5F1A,2.4462688,0.25469488,0.01443433190861515,1.0,0.9354838709677419
RBPJ,2.445738,0.53590345,0.014455596410241573,1.0,0.49193548387096775
PLAC9,2.4348717,0.47094744,0.014897073604880018,1.0,0.532258064516129
ACO1,2.4125242,0.34123957,0.01584248862146012,1.0,0.7016129032258065
NR2F1,2.391741,0.3101532,0.016768672752554267,1.0,0.7741935483870968
PEBP1,2.3829136,0.21342869,0.017176220519258528,1.0,0.9274193548387096
PLOD1,2.3489456,0.41962525,0.018826662177893794,1.0,0.5645161290322581
RARS2,2.3383584,0.66186124,0.019368665183118337,1.0,0.3790322580645161
PTPRN2,2.3345873,0.24764095,0.019564994100046165,1.0,0.8548387096774194
EPN2,2.3165975,0.3650528,0.020525667795800433,1.0,0.6209677419354839
TSR1,2.3108988,0.60146576,0.020838440611220886,1.0,0.3870967741935484
CARM1,2.302379,0.55421126,0.021313813683720016,1.0,0.45161290322580644
CSNK1E,2.2943897,0.36852062,0.021768125869501,1.0,0.6693548387096774
CCN2,2.2884676,0.33848172,0.02211030571661506,1.0,0.9193548387096774
JUN,2.2762883,0.38244525,0.02282876598057821,1.0,0.6451612903225806
FLT1,2.273327,0.5156445,0.023006472282244665,1.0,0.43548387096774194
METRN,2.2599745,0.4134335,0.02382283194082804,1.0,0.5564516129032258
CCM2,2.2540524,0.62919235,0.02419286926997797,1.0,0.3790322580645161
TMSB4X,2.2494154,0.07671245,0.024486084012744457,1.0,1.0
HNRNPU,2.2479348,0.24715213,0.024580347041828352,1.0,0.8790322580645161
MIEF1,2.2443593,0.64322364,0.024809298677355002,1.0,0.3467741935483871
PRKCSH,2.2412305,0.35871133,0.025011144191899464,1.0,0.6693548387096774
LUZP1,2.2379344,0.34765854,0.025225339502602733,1.0,0.6532258064516129
PTPRF,2.2315373,0.43820775,0.025645557359038416,1.0,0.5403225806451613
NFE2L1,2.2271516,0.39862108,0.02593714106766731,1.0,0.5887096774193549
ZC3H13,2.2015078,0.31277752,0.027700089179640768,1.0,0.6693548387096774
HMGXB3,2.198826,0.55835754,0.027890283904434307,1.0,0.4112903225806452
HNRNPA3,2.1979883,0.19304946,0.02794995018317343,1.0,0.8387096774193549
SPATC1L,2.1922057,0.35793012,0.02836465433309203,1.0,0.6290322580645161
TCEA1,2.172093,0.2751014,0.029848649627652088,1.0,0.9516129032258065
FUCA2,2.1475387,0.43298084,0.031750421514274436,1.0,0.5725806451612904
SLFN5,2.1436558,0.4172392,0.032060476298421174,1.0,0.5241935483870968
C1QBP,2.1161125,0.2194566,0.03433523995805572,1.0,0.9354838709677419
NELFE,2.1159728,0.39064887,0.03434711793706187,1.0,0.5806451612903226
CHID1,2.106978,0.347,0.035119489380657565,1.0,0.5806451612903226
LRFN4,2.092061,0.9901597,0.03643305813362505,1.0,0.25
ALDH7A1,2.0917537,0.5616026,0.036460550918896606,1.0,0.3951612903225806
SQSTM1,2.091586,0.2663067,0.03647555443352796,1.0,0.8064516129032258
COL4A1,2.0906644,0.28987816,0.036558167835327435,1.0,0.8629032258064516
