names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
IER2,3.4756956,0.5866023,0.0005095300633687535,1.0,0.7956989247311828
MIEN1,3.131545,0.5729339,0.0017388913282525694,1.0,0.6989247311827957
HLA-A,2.9820464,0.20575558,0.00286328548008736,1.0,0.989247311827957
EMC3,2.8695505,0.63995147,0.004110555886526975,1.0,0.5376344086021505
MORF4L1,2.8158255,0.24028562,0.004865207751215244,1.0,0.978494623655914
PRDX6,2.6992543,0.2246367,0.006949507178752206,1.0,0.8924731182795699
CAPZB,2.676257,0.31723842,0.007444955197804277,1.0,0.7956989247311828
ZFAND5,2.6092703,0.5149848,0.009073550418397863,1.0,0.6236559139784946
ESYT2,2.5741115,0.88289046,0.010049790156422838,1.0,0.3978494623655914
NDUFS3,2.556354,0.5007664,0.010577544072796707,1.0,0.6129032258064516
NDUFB2,2.535524,0.24810557,0.01122792816951903,1.0,0.978494623655914
DPM3,2.5260143,0.499691,0.011536474414872426,1.0,0.6344086021505376
FLOT2,2.5065105,0.7064797,0.012192947216210476,1.0,0.46236559139784944
FAAP20,2.5057342,0.30501312,0.012219747096057137,1.0,0.7849462365591398
SMDT1,2.502629,0.39134434,0.012327469275175786,1.0,0.8279569892473119
LMAN2,2.4938312,0.40237933,0.012637264040168458,1.0,0.8064516129032258
DYNC1LI1,2.4454432,0.48392355,0.014467429417580838,1.0,0.6559139784946236
SELENOH,2.414974,0.30159995,0.015736329873208048,1.0,0.8709677419354839
PYM1,2.411675,0.75561875,0.01587943439843703,1.0,0.3655913978494624
TERF2IP,2.3994484,0.46662632,0.01641979048232908,1.0,0.6129032258064516
SEC62,2.389454,0.29974887,0.016873442574426457,1.0,0.8279569892473119
ATP5MD,2.3563325,0.2737722,0.018456384082272955,1.0,0.989247311827957
HSBP1,2.3541331,0.23841606,0.01856595976775536,1.0,0.9354838709677419
CETN3,2.3506722,0.74993026,0.018739533021384192,1.0,0.3978494623655914
RTF1,2.3409688,0.3705169,0.01923377790007115,1.0,0.7526881720430108
SPARC,2.3322356,0.20835446,0.019688301179339365,1.0,0.989247311827957
STAU1,2.3319445,0.3316532,0.019703612163013664,1.0,0.9032258064516129
RCN1,2.3260252,0.26526988,0.02001719861092153,1.0,0.9247311827956989
A1BG,2.3212707,0.39247268,0.020272242224810586,1.0,0.6989247311827957
S100A10,2.3206236,0.11169014,0.02030716021803879,1.0,1.0
EI24,2.3188448,0.29735634,0.020403455382284448,1.0,0.8279569892473119
RPL35,2.309206,0.08606525,0.020932155558781623,1.0,1.0
TCERG1,2.2978528,0.5998152,0.021570165148541,1.0,0.5268817204301075
ASCC3,2.284915,0.38316312,0.02231782042931999,1.0,0.7311827956989247
RAB4A,2.2812276,0.59357387,0.022534986336567784,1.0,0.4946236559139785
MARCH7,2.2700362,0.63891816,0.023205388814949254,1.0,0.44086021505376344
MED21,2.2401495,0.7157943,0.02508122575750505,1.0,0.3978494623655914
JUN,2.2266614,0.4910797,0.025969903158844482,1.0,0.6666666666666666
HIKESHI,2.2144997,0.40903088,0.026794415347604093,1.0,0.6021505376344086
ITGB1,2.2059932,0.13124669,0.027384483996570806,1.0,1.0
SULF2,2.2040846,0.4910574,0.02751838591273772,1.0,0.5698924731182796
PSMC3,2.1981008,0.37630644,0.02794191601363146,1.0,0.6236559139784946
DSTN,2.1917288,0.11078559,0.02839908461216519,1.0,1.0
SEC61B,2.1563435,0.20254906,0.031056851224249327,1.0,0.946236559139785
TBRG4,2.135772,0.8118563,0.032697993660998556,1.0,0.3225806451612903
PSMA7,2.1189203,0.17828535,0.03409719736696131,1.0,0.989247311827957
CCAR1,2.1108341,0.54482144,0.034786572321162196,1.0,0.5053763440860215
SELENOK,2.1056266,0.38186193,0.0352368022834081,1.0,0.6451612903225806
PDCD10,2.092915,0.4180599,0.03635674347609472,1.0,0.6021505376344086
TMEM35B,2.088775,0.5916721,0.036727996659323095,1.0,0.45161290322580644
CDC26,2.0848935,0.4417871,0.03707897457902973,1.0,0.5161290322580645
SNHG8,2.0846348,0.3568473,0.0371024743056239,1.0,0.8064516129032258
RPL36AL,2.083923,0.1956479,0.037167163948992867,1.0,0.978494623655914
LAGE3,2.0664244,0.47064936,0.03878841956900035,1.0,0.5376344086021505
NID1,2.0592115,0.377945,0.03947398067789297,1.0,0.6344086021505376
TLE5,2.0585647,0.2564887,0.03953596553544604,1.0,0.8064516129032258
PVR,2.0496051,0.5546501,0.04040298709707912,1.0,0.4838709677419355
PRRC2B,2.0481172,0.43414244,0.04054851874519523,1.0,0.5483870967741935
IST1,2.0421658,0.6572144,0.04113509725243321,1.0,0.40860215053763443
GNG5,2.0214002,0.17380284,0.04323835204612581,1.0,0.9139784946236559
KBTBD2,1.9919662,1.055359,0.04637475807140705,1.0,0.26881720430107525
SHTN1,1.9916105,0.52971494,0.046413812357735396,1.0,0.4838709677419355
PUS7,1.9863706,0.8397061,0.04699218933083138,1.0,0.3118279569892473
PCED1A,1.9762143,0.7053574,0.04813051475409962,1.0,0.3763440860215054
HSD17B7,1.9751792,0.7458943,0.04824781244109862,1.0,0.34408602150537637
DDX42,1.9581981,0.58942455,0.05020677123800105,1.0,0.3870967741935484
DBI,1.949562,0.21770944,0.05122834703282146,1.0,0.978494623655914
