names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL22L1,2.9625416,0.22106199,0.003051105774073139,1.0,0.9821428571428571
SNRPG,2.8774176,0.31457373,0.004009447095555554,1.0,0.9375
ACP2,2.8492587,1.1382723,0.004382124564470672,1.0,0.3125
FAU,2.7851727,0.12440574,0.005349920474389088,1.0,1.0
GSTA4,2.7823482,0.79166996,0.0053967125530646485,1.0,0.4107142857142857
RACK1,2.762781,0.106021896,0.00573112035545897,1.0,1.0
COX8A,2.7533064,0.20268466,0.005899664590832526,1.0,0.9642857142857143
ATP5MC1,2.7526002,0.30528447,0.005912404028133459,1.0,0.9464285714285714
ZSCAN16-AS1,2.7008727,0.86643445,0.006915782575166378,1.0,0.36607142857142855
RPL7A,2.7001076,0.0940735,0.006931706105931343,1.0,1.0
UGP2,2.658443,0.54302037,0.007850263785523835,1.0,0.5803571428571429
REX1BD,2.642348,0.37978327,0.00823334245547801,1.0,0.7767857142857143
NDUFV2,2.6364043,0.36109218,0.008378983928185561,1.0,0.8214285714285714
FKBP8,2.5960343,0.42244208,0.009430664270168893,1.0,0.6428571428571429
ACTG1,2.5283587,0.10088381,0.011459718082807388,1.0,1.0
PTK2,2.5166774,0.39859647,0.011846725021793925,1.0,0.7142857142857143
RPS25,2.5079384,0.10006198,0.012143783238410305,1.0,1.0
RBMX,2.4959922,0.36397058,0.012560536278799186,1.0,0.7053571428571429
RBM6,2.4392035,0.5352906,0.014719673080505414,1.0,0.5
FLII,2.4114273,0.5716214,0.01589022462898552,1.0,0.49107142857142855
EEF1G,2.3944495,0.14809643,0.01664533801028749,1.0,1.0
RPL11,2.3840039,0.07354242,0.017125422334093435,1.0,1.0
COPS2,2.376589,0.4305505,0.017473546361114714,1.0,0.625
UXT,2.3005276,0.3012452,0.02141835078647813,1.0,0.7946428571428571
UPF1,2.2918768,0.7926408,0.021912751037778323,1.0,0.33035714285714285
GAS5,2.289817,0.12990053,0.022031918600404526,1.0,1.0
FADS3,2.2868452,0.52164304,0.022204853763344648,1.0,0.5
GMPS,2.2486527,0.54549336,0.024534597100647815,1.0,0.4642857142857143
RPL9,2.2474759,0.062894605,0.024609636085346664,1.0,1.0
UBE4A,2.2472699,0.62794214,0.024622788330356374,1.0,0.4107142857142857
C7orf50,2.2428267,0.3429287,0.024907987223040533,1.0,0.6428571428571429
TM9SF3,2.2381778,0.34966785,0.025209465519101828,1.0,0.7678571428571429
UBE2L6,2.230969,0.70626694,0.0256831931411364,1.0,0.3392857142857143
RPL41,2.2101367,0.06640198,0.027095687719741027,1.0,1.0
MYO6,2.2056642,0.51495826,0.027407529658639605,1.0,0.44642857142857145
ANKRD1,2.2027216,0.40014946,0.027614373283838905,1.0,0.6696428571428571
ATIC,2.1925702,0.7198073,0.0283383516417354,1.0,0.35714285714285715
DUSP6,2.1844492,0.2960728,0.028929252539005714,1.0,0.75
NREP,2.1839786,0.49846944,0.02896383055984747,1.0,0.4732142857142857
KIAA2013,2.152377,0.5643935,0.031367679803757674,1.0,0.39285714285714285
TRIP6,2.144815,0.5443528,0.03196764825164712,1.0,0.4107142857142857
RUVBL1,2.1440792,0.3687796,0.03202653250869875,1.0,0.6696428571428571
HEXA,2.1380768,0.4300888,0.032510511911159466,1.0,0.48214285714285715
