names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ZDHHC24,3.2295332,0.922988,0.001239924487128224,1.0,0.5
WWP1,3.1569493,0.5303468,0.001594291365369001,1.0,0.75
LIMA1,3.03358,0.50640905,0.0024167061382974913,1.0,0.8452380952380952
MBNL1,3.0150847,0.5348321,0.0025690736540633723,1.0,0.8095238095238095
UTP11,2.9061236,0.77417153,0.0036593694496720643,1.0,0.5119047619047619
ITGA6,2.8737314,0.45627832,0.004056537039434861,1.0,0.8214285714285714
CTSZ,2.8230486,0.31192672,0.0047569357891454715,1.0,1.0
CPD,2.8163044,0.55940825,0.0048579595363797586,1.0,0.7023809523809523
ADA,2.7081265,0.61450136,0.006766420472023269,1.0,0.5595238095238095
TCF4,2.6606114,0.46628538,0.007799891369045193,1.0,0.8809523809523809
TMCO3,2.6367347,0.62308896,0.008370828873330854,1.0,0.5238095238095238
MXD4,2.6221905,0.46901315,0.008736656685871832,1.0,0.7619047619047619
TMEM161B-AS1,2.6020265,0.73308384,0.009267471551531174,1.0,0.44047619047619047
PRELID3B,2.5943968,0.56598186,0.009475707479276686,1.0,0.5714285714285714
RIOK3,2.59283,0.57568514,0.009518983138007357,1.0,0.6071428571428571
SH3BGRL,2.58956,0.5658447,0.00960986572129762,1.0,0.6071428571428571
IK,2.5614936,0.42267424,0.010422311661002517,1.0,0.75
CINP,2.5502536,0.5756022,0.010764458515325103,1.0,0.5952380952380952
IP6K2,2.5380597,0.7803107,0.011146895423977331,1.0,0.44047619047619047
APLP2,2.5025342,0.18652067,0.012330776078328495,1.0,1.0
FUBP1,2.5017166,0.6245021,0.012359281713453536,1.0,0.5119047619047619
CMIP,2.4987192,0.36336535,0.012464302403380772,1.0,0.7738095238095238
UBE2Q2,2.4736502,0.6914711,0.01337405424504687,1.0,0.4523809523809524
CBX3,2.4248068,0.32502276,0.015316538656743784,1.0,0.8809523809523809
ELF1,2.42324,0.60827905,0.015382763836911088,1.0,0.5238095238095238
HPCAL1,2.406005,0.4445284,0.01612804310838228,1.0,0.6785714285714286
PJA2,2.3924487,0.47117567,0.016736366738536818,1.0,0.6190476190476191
EIF4A2,2.3687763,0.26744938,0.017847045124117774,1.0,0.8809523809523809
UBE2E3,2.3583195,0.40082276,0.018357883201688487,1.0,0.6666666666666666
ZNF207,2.339041,0.41854477,0.019333312736499783,1.0,0.7380952380952381
ACP1,2.3321607,0.50620705,0.019692241627487186,1.0,0.6071428571428571
IMPAD1,2.3123372,0.42348105,0.020759113150339268,1.0,0.6904761904761905
TNKS,2.2979293,0.7420312,0.021565814358416622,1.0,0.4166666666666667
CHID1,2.291662,0.40946072,0.02192515203658493,1.0,0.6309523809523809
NSD1,2.271634,0.5121118,0.023108616744119032,1.0,0.5714285714285714
IFITM3,2.2634594,0.15309303,0.02360737900697285,1.0,1.0
UFL1,2.2580779,0.56500715,0.02394080665544674,1.0,0.5357142857142857
LUC7L3,2.2545695,0.39157334,0.02416036020264882,1.0,0.7261904761904762
ABL2,2.2468035,0.5501473,0.02465257940869818,1.0,0.5238095238095238
PAWR,2.244181,0.55786496,0.024820762324155966,1.0,0.5714285714285714
TMEM218,2.2423415,1.0025991,0.024939300777317937,1.0,0.32142857142857145
SWAP70,2.221394,0.53805035,0.026324281318922345,1.0,0.5714285714285714
RAD50,2.2153652,0.51700866,0.02673500260675456,1.0,0.5238095238095238
QKI,2.2031033,0.41850576,0.027587468893630167,1.0,0.6904761904761905
MCCC2,2.1913521,0.76591575,0.028426313019454478,1.0,0.36904761904761907
IER3,2.1869583,0.38045183,0.028745564263746113,1.0,0.7023809523809523
TMEM30A,2.176638,0.26687673,0.029507598432036302,1.0,0.8333333333333334
PXN,2.1753094,0.5698595,0.029606933098089597,1.0,0.5
STRN,2.1738448,0.63100636,0.029716789153547377,1.0,0.44047619047619047
MMP2,2.1698596,0.723094,0.030017475783799367,1.0,0.39285714285714285
TIE1,2.1600502,0.3877129,0.030768789852595634,1.0,0.6666666666666666
DNAJB14,2.1556902,0.4872314,0.031107855799300956,1.0,0.5595238095238095
TUSC2,2.1492188,0.51278245,0.03161706737743972,1.0,0.5476190476190477
GALNT2,2.14319,0.5539344,0.032097853314485114,1.0,0.5
PAM,2.1366162,0.5344024,0.032629228102771024,1.0,0.5
