names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
AC096861.2,2.428364,7.2443037,0.015167114149336738,1.0,1.0
LCA5L,2.4047918,6.228699,0.01618167626348599,1.0,1.0
BCL2L15,2.3861122,5.7325044,0.017027555079637716,1.0,1.0
AL358115.1,2.37188,5.478404,0.017697835968575614,1.0,1.0
FRAT2,2.3638744,5.032538,0.01808494084591197,1.0,1.0
ZNF747,2.3634298,5.244022,0.018106662451308382,1.0,1.0
MPP4,2.3362997,4.821943,0.019475631894805296,1.0,1.0
SIPA1L3,2.326515,3.5867968,0.019991093615745137,1.0,1.0
ANAPC10,2.315396,3.3841245,0.020591264238371276,1.0,1.0
AC009403.1,2.291824,4.429728,0.021915796650348228,1.0,1.0
NMT1,2.2891555,2.3227515,0.022070316387474455,1.0,1.0
NUP58,2.2878213,3.2212539,0.022147931013666973,1.0,1.0
ARRB1,2.2811499,4.0823984,0.02253957516804998,1.0,1.0
CDH13,2.2731442,3.1308627,0.02301748221607907,1.0,1.0
SND1-IT1,2.2620254,4.122909,0.02369582950800289,1.0,1.0
PPM1M,2.261136,4.157276,0.023750839043489874,1.0,1.0
MAPKAPK3,2.2531304,4.0417194,0.024250930266840283,1.0,1.0
HTATIP2,2.2504618,2.4378169,0.024419643551642806,1.0,1.0
AC015871.1,2.2500172,4.0386343,0.024447861101602044,1.0,1.0
MATN3,2.2473485,3.83314,0.02461776048031872,1.0,1.0
REPS1,2.2415667,3.7876644,0.02498938828696323,1.0,1.0
TRIM16L,2.240677,3.8450987,0.025046990809478153,1.0,1.0
RNF145,2.240677,2.4242923,0.025046990809478153,1.0,1.0
HIP1R,2.233561,3.9374878,0.025511963635810455,1.0,1.0
SNHG6,2.2273345,1.1975011,0.025924922444303746,1.0,1.0
AREL1,2.2042072,3.7201767,0.02750976976728174,1.0,1.0
DNASE1,2.2037625,3.7593005,0.027541049119204943,1.0,1.0
ACP6,2.202873,3.7480764,0.02760369986598655,1.0,1.0
TTC27,2.195757,3.7034514,0.02810934572240498,1.0,1.0
HINT3,2.1908646,3.5154662,0.028461590345093688,1.0,1.0
HERC2,2.1873066,2.7237105,0.028720150545554952,1.0,1.0
SKIV2L,2.1766324,3.5623007,0.029508001630304946,1.0,1.0
UBE2I,2.1748533,1.7382804,0.029641101410219237,1.0,1.0
GHITM,2.1730745,1.8643405,0.029774717165278283,1.0,1.0
AC005838.2,2.17174,3.548616,0.029875268538043284,1.0,1.0
DDX59,2.1690717,3.5166683,0.030077247314535663,1.0,1.0
OCEL1,2.1632898,3.3019736,0.03051889743003723,1.0,1.0
CRAT,2.1624002,3.4095547,0.030587335610677828,1.0,1.0
HMBOX1,2.1619556,3.4116971,0.030621604100797305,1.0,1.0
SPATC1L,2.1601765,2.1569352,0.03075900797466078,1.0,1.0
PBXIP1,2.1543946,3.343016,0.03120923266356553,1.0,1.0
RBM38,2.1526158,3.4604895,0.03134889609412095,1.0,1.0
FBXL13,2.142831,3.4151118,0.0321266669468462,1.0,1.0
NRIP3,2.137494,3.4000661,0.03255783416463113,1.0,1.0
LAGE3,2.1370492,2.379449,0.03259398745480521,1.0,1.0
NSD1,2.1343808,2.297367,0.03281163004307314,1.0,1.0
PEX13,2.1321568,3.3963332,0.032993948264268616,1.0,1.0
CCDC18-AS1,2.1308227,3.3312166,0.03310375491338141,1.0,1.0
LINC01235,2.1277094,3.332007,0.033361187424465095,1.0,1.0
XYLT2,2.122817,3.3261552,0.033769184418421604,1.0,1.0
SMIM30,2.121038,2.308843,0.0339186011789483,1.0,1.0
CCZ1B,2.1205933,3.3163779,0.0339560435652398,1.0,1.0
SMDT1,2.1201484,1.750019,0.03399352128179244,1.0,1.0
RPP21,2.1165905,2.4480488,0.034294618015839634,1.0,1.0
ALDOC,2.1139219,3.0987551,0.034521933523430796,1.0,1.0
KIAA0930,2.1125877,3.1297948,0.034636073147101244,1.0,1.0
HPRT1,2.1063612,2.2481093,0.035172996133699126,1.0,1.0
PAFAH1B2,2.1059163,1.9849617,0.03521161815956027,1.0,1.0
MRPS12,2.1054716,2.0026371,0.03525027637643088,1.0,1.0
RPL37,2.105027,0.521298,0.035288970810569996,1.0,1.0
ASAH1,2.1005793,2.3145597,0.03567791288603179,1.0,1.0
USP28,2.0947974,3.2245615,0.036188999310574725,1.0,1.0
PDAP1,2.0943527,1.655233,0.03622857086344924,1.0,1.0
SLC44A2,2.0899053,3.0302827,0.0366263190104601,1.0,1.0
SFXN5,2.084568,3.1810043,0.037108521986856116,1.0,1.0
EMSY,2.0836785,3.196482,0.03718941238396317,1.0,1.0
ACTR1B,2.08101,2.9926262,0.037432984826058495,1.0,1.0
C4orf3,2.0805652,1.6811562,0.037473711946743045,1.0,1.0
PRR3,2.0783415,3.1661413,0.03767791364662431,1.0,1.0
ZCCHC17,2.0752282,2.1655521,0.03796538598666536,1.0,1.0
TACO1,2.0743387,3.1193771,0.03804786277676585,1.0,1.0
C9orf85,2.073894,2.9842722,0.03808915827916358,1.0,1.0
CHMP1A,2.0725596,3.0165756,0.038213273539443086,1.0,1.0
HPSE,2.0654435,3.0536368,0.038881044061296686,1.0,1.0
SNHG5,2.0632198,0.9821088,0.0390917447763768,1.0,1.0
HBEGF,2.0618856,3.1279051,0.0392186300813208,1.0,1.0
CKLF,2.0587723,1.8729967,0.03951605644608235,1.0,1.0
RITA1,2.0583274,3.0719063,0.03955870182992082,1.0,1.0
EXOSC5,2.048098,2.8759084,0.040550380976321715,1.0,1.0
SOS1,2.0472085,2.8846116,0.04063760134820328,1.0,1.0
DKK1,2.0454297,2.9585607,0.040812519235046876,1.0,1.0
RBBP9,2.0383136,3.0181215,0.04151858507864786,1.0,1.0
MTMR14,2.037424,2.9746456,0.04160756631848925,1.0,1.0
FXR2,2.0289736,3.016267,0.042460969740144044,1.0,1.0
LEPROT,2.0240815,1.7285745,0.042961778511420474,1.0,1.0
NUP155,2.0209682,2.9533262,0.043283067543309205,1.0,1.0
SS18,2.01741,2.949623,0.04365273868260115,1.0,1.0
TEAD2,2.0116282,2.9081166,0.04425914049256431,1.0,1.0
METAP2,2.0107386,1.4293988,0.04435306118042432,1.0,1.0
LIMA1,2.0089598,1.6464173,0.04454140718560735,1.0,1.0
CASP3,2.008515,2.817788,0.04458859898317018,1.0,1.0
ARL6IP6,2.0076253,2.7469528,0.04468310913210743,1.0,1.0
TST,2.0076253,2.7185638,0.04468310913210743,1.0,1.0
DTNBP1,2.0076253,2.9374776,0.04468310913210743,1.0,1.0
FAM50A,2.0022883,1.6170933,0.04525372544708435,1.0,1.0
RPS7,2.0005093,0.49249837,0.045445290786142095,1.0,1.0
GTF3A,1.9996198,1.5217438,0.04554132946131238,1.0,1.0
RGS3,1.9996198,2.107895,0.04554132946131238,1.0,1.0
ERRFI1,1.9996198,2.90341,0.04554132946131238,1.0,1.0
MRPS24,1.9991751,1.5813401,0.045589412900029304,1.0,1.0
FAM120AOS,1.9982855,2.853782,0.04568570812228082,1.0,1.0
HILPDA,1.9960618,2.8439696,0.045927196187501476,1.0,1.0
ETV4,1.9951723,2.7422693,0.04602409201703731,1.0,1.0
H6PD,1.9938381,2.8488698,0.04616975855091415,1.0,1.0
METTL27,1.9916142,2.8457015,0.04641339878685812,1.0,1.0
MAT2A,1.988501,2.1232605,0.04675631275945766,1.0,1.0
DAD1,1.9871666,1.2899987,0.04690392719966134,1.0,1.0
EMD,1.9804953,1.9521726,0.04764789351865597,1.0,1.0
PARP14,1.9769373,2.1402404,0.04804871525909899,1.0,1.0
PMVK,1.9764925,2.6658125,0.04809901660998198,1.0,1.0
TMEM132A,1.9764925,2.6356025,0.04809901660998198,1.0,1.0
NRGN,1.9724897,2.0923493,0.04855372291244374,1.0,1.0
RAPGEF2,1.9707108,2.7839236,0.04875697029032607,1.0,1.0
IFNAR2,1.9680423,2.611595,0.049063180355706434,1.0,1.0
MORN2,1.966708,2.5759892,0.049216889637533394,1.0,1.0
TOPORS,1.9635947,2.5714228,0.04957711663134425,1.0,1.0
MRPL41,1.9622604,1.2952155,0.04973217523775533,1.0,1.0
TMEM123,1.9600366,1.6688164,0.04999150997710766,1.0,1.0
HIGD1A,1.9564786,1.9080048,0.05040880335536119,1.0,1.0
CZIB,1.9524758,2.1240487,0.050881743498371296,1.0,1.0
IFT52,1.952031,2.5694265,0.05093452106595276,1.0,1.0
IKBKG,1.9440254,2.5724723,0.05189238441793423,1.0,1.0
C20orf96,1.9413569,2.744655,0.05221500233659055,1.0,1.0
STAM,1.9413569,2.6656506,0.05221500233659055,1.0,1.0
HRH1,1.9404674,2.5552087,0.05232291370145351,1.0,1.0
RAB3IP,1.9404674,2.7114565,0.05232291370145351,1.0,1.0
MED31,1.9386884,2.0350318,0.052539295936568677,1.0,1.0
CHID1,1.9355751,1.9128128,0.0529197648599227,1.0,1.0
FLNB,1.9355751,1.4361675,0.0529197648599227,1.0,1.0
POGK,1.9351304,2.6563234,0.05297430505088436,1.0,1.0
TMEM67,1.9329065,2.6678057,0.05324771100940298,1.0,1.0
AMOTL2,1.9315723,2.6878965,0.05341231965469538,1.0,1.0
PPIC,1.9293485,1.3046706,0.05368761175178127,1.0,1.0
ATP5MD,1.9289037,0.95168114,0.05374281209167242,1.0,1.0
SNX29,1.9257904,2.6658726,0.05413054266800287,1.0,1.0
FTH1,1.924901,0.615312,0.0542417506455137,1.0,1.0
PRR14L,1.9240115,2.5224802,0.05435314919862175,1.0,1.0
SORD,1.9222324,2.6535978,0.05457651898491157,1.0,1.0
TCN2,1.9222324,2.0332773,0.05457651898491157,1.0,1.0
PDCL3,1.9204534,2.4908378,0.05480065393449368,1.0,1.0
SSH2,1.9200087,2.4657073,0.05485680745236344,1.0,1.0
NME4,1.9168954,1.2864492,0.05525122696242281,1.0,1.0
GLG1,1.9128926,1.7067565,0.055761808231049294,1.0,1.0
PGAP1,1.9097793,2.6375756,0.05616163909841129,1.0,1.0
FAM153CP,1.9075555,2.6095123,0.056448691781227155,1.0,1.0
TCF7L1,1.906666,2.570145,0.05656385431600598,1.0,1.0
AASDH,1.9039974,2.5933766,0.0569105157699328,1.0,1.0
