names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MRPL37,3.242182,0.64106727,0.0011861820904930734,1.0,0.6063829787234043
DDX46,3.1817353,0.59197146,0.0014639550683420426,1.0,0.6914893617021277
ADIPOR1,3.0455613,0.84479487,0.0023224633608809942,1.0,0.4787234042553192
CSNK2B,2.6744206,0.43796825,0.00748584961341367,1.0,0.7446808510638298
GOLIM4,2.6145208,0.43940267,0.008935271906121069,1.0,0.6702127659574468
MGAT5,2.5949616,0.8967893,0.009460146580837775,1.0,0.3723404255319149
CD99,2.5848281,0.09823932,0.009742751532646301,1.0,1.0
ARHGAP29,2.572282,0.31570885,0.010103053070254346,1.0,0.9042553191489362
FSCN1,2.5633068,0.44628724,0.010368039152910126,1.0,0.7340425531914894
TRAPPC2L,2.5554895,0.5118384,0.010603854004196531,1.0,0.5957446808510638
TNKS2,2.5417852,0.81619704,0.011028789273975735,1.0,0.43617021276595747
ATRAID,2.5056267,0.39573106,0.012223460641579845,1.0,0.7978723404255319
GNG5,2.4159057,0.22719784,0.01569612906920027,1.0,0.9148936170212766
NDUFA1,2.4143615,0.23764963,0.015762815223575387,1.0,0.8829787234042553
SLC7A6OS,2.3988879,1.0414623,0.016444948304280116,1.0,0.2978723404255319
ATP5MC3,2.3797147,0.26109967,0.017326041323891296,1.0,0.9680851063829787
COPRS,2.375951,0.46435606,0.0175037886378616,1.0,0.5957446808510638
INPP1,2.3634048,0.46921164,0.018107877464427824,1.0,0.5851063829787234
LIMA1,2.356006,0.35977682,0.018472628871887883,1.0,0.7553191489361702
DDT,2.3548477,0.28129047,0.018530298605772398,1.0,0.9361702127659575
ZFP91,2.3531427,0.4318093,0.01861548797444703,1.0,0.648936170212766
RAC2,2.313574,0.37446874,0.020691096257039875,1.0,0.7553191489361702
MIEN1,2.3096817,0.40428418,0.0209057900032479,1.0,0.648936170212766
ARPC1B,2.309199,0.21634132,0.020932539720480196,1.0,0.9893617021276596
NDUFB7,2.3027008,0.28782386,0.021295685277911557,1.0,0.9468085106382979
IPO7,2.3017678,0.36622694,0.021348267889792785,1.0,0.776595744680851
AACS,2.2953982,0.92506677,0.021710310947083915,1.0,0.2978723404255319
EXOC6B,2.2876775,0.6145162,0.022156305790962366,1.0,0.4148936170212766
LAMTOR4,2.2867446,0.26328984,0.022210732749217622,1.0,0.8404255319148937
TRIM56,2.267089,0.5505654,0.023384789236080433,1.0,0.46808510638297873
ATP6V0B,2.2155855,0.35046783,0.026719905866396283,1.0,0.7446808510638298
RALY,2.1945786,0.4434986,0.028193832884681254,1.0,0.6063829787234043
RPL38,2.1481578,0.09469755,0.03170120986420002,1.0,1.0
RPP30,2.1073668,0.8898386,0.03508578985711067,1.0,0.2978723404255319
OSGEP,2.0968153,0.93746674,0.03600993296608559,1.0,0.2872340425531915
GOLGA4,2.0864244,0.30505383,0.03694019061303555,1.0,0.7446808510638298
DYNC1I2,2.0863602,0.28321534,0.03694601388135744,1.0,0.8723404255319149
CUTA,2.079315,0.31120268,0.037588408889590884,1.0,0.776595744680851
GSTO1,2.0744574,0.27924246,0.0380368538243099,1.0,0.8936170212765957
HEXB,2.0574396,0.38903275,0.03964395471291519,1.0,0.6063829787234043
MTSS1,2.0561528,0.40252328,0.0397677841558949,1.0,0.6170212765957447
GOLM1,2.0557346,0.39678165,0.03980809932922252,1.0,0.5638297872340425
DCUN1D5,2.0349853,0.35040808,0.041852356260235576,1.0,0.6702127659574468
CCT3,2.0323153,0.23277697,0.042121758568002744,1.0,0.925531914893617
FARP1,2.030546,0.5275487,0.0423010853107515,1.0,0.425531914893617
SNHG29,2.0295165,0.14170723,0.04240571776024164,1.0,1.0
SIL1,2.029452,0.35589734,0.0424122645506093,1.0,0.648936170212766
DFFA,2.0117266,0.43993428,0.0442487618390859,1.0,0.5212765957446809
CTDNEP1,1.9967034,0.45646247,0.045857410223612574,1.0,0.5638297872340425
MSN,1.9844146,0.27949855,0.047209636395999184,1.0,0.9468085106382979
PKN1,1.9835782,0.43047503,0.047302879174716796,1.0,0.5638297872340425
SMAD4,1.9794283,0.6194698,0.047767800304901374,1.0,0.3829787234042553
SMARCD1,1.9729623,0.36430094,0.04849986357728947,1.0,0.6063829787234043
