names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
BRI3,3.5636358,0.34512746,0.00036575336658180806,1.0,0.990909090909091
SELENOS,3.4175923,0.54107547,0.000631776932517533,1.0,0.7818181818181819
NOP58,3.3981118,0.75600827,0.0006785268656707622,1.0,0.5181818181818182
R3HDM1,3.296404,0.78157526,0.000979311026946814,1.0,0.4636363636363636
EIF2AK4,3.256077,0.529689,0.0011296306063359532,1.0,0.7090909090909091
ANXA3,3.2296777,0.8077619,0.001239298706602451,1.0,0.4636363636363636
FTL,3.2123055,0.16509242,0.00131674215889497,1.0,1.0
SQSTM1,3.0900483,0.37756303,0.0020012393711885366,1.0,0.8454545454545455
RNF115,3.0384076,0.6803833,0.0023783214905236496,1.0,0.5454545454545454
ANKRD50,3.0020895,0.6480661,0.002681332677624533,1.0,0.5363636363636364
SMARCA4,2.9752743,0.5303637,0.0029272664088125966,1.0,0.6818181818181818
AP3D1,2.9670188,0.74626946,0.0030070245674799845,1.0,0.4727272727272727
PLAAT3,2.9398177,0.5771328,0.0032840547623241133,1.0,0.5727272727272728
FAM210B,2.9370856,0.51004905,0.003313126130978215,1.0,0.6636363636363637
SEC13,2.9337003,0.6783337,0.003349474450608369,1.0,0.509090909090909
ATF4,2.9231584,0.44245464,0.0034650027546078203,1.0,0.7909090909090909
GNB1,2.9063208,0.3581118,0.003657062449575453,1.0,0.8363636363636363
CTSL,2.851948,0.34864208,0.004345221180937771,1.0,0.8909090909090909
VEZT,2.7409453,0.5304301,0.006126269728236234,1.0,0.5636363636363636
RAB32,2.7291563,0.36708426,0.006349663131088369,1.0,0.7272727272727273
CACYBP,2.7199802,0.45364368,0.0065285833202687535,1.0,0.6272727272727273
RHOBTB3,2.6698835,0.4185214,0.007587757576010526,1.0,0.7
STAU1,2.6592524,0.33972952,0.007831426979897062,1.0,0.8909090909090909
NMI,2.658688,0.5951107,0.007844552906315078,1.0,0.45454545454545453
N4BP2L2,2.6566095,0.37800002,0.007893081807132203,1.0,0.8181818181818182
FTX,2.6393564,0.46312603,0.008306363947956422,1.0,0.6454545454545455
PNKP,2.630685,0.6557809,0.008521294990998095,1.0,0.44545454545454544
NFIC,2.6242115,0.42067537,0.008684985087347198,1.0,0.7272727272727273
SH3KBP1,2.6193116,0.45608848,0.008810741447589181,1.0,0.7181818181818181
HAUS1,2.6043153,0.6522416,0.009205802374060424,1.0,0.43636363636363634
TK2,2.5916352,0.6991074,0.009552099316339416,1.0,0.4090909090909091
CD63,2.5816278,0.16950779,0.009833558447830565,1.0,0.9818181818181818
GNG11,2.5780346,0.21604143,0.009936405296041362,1.0,0.9454545454545454
ZFP36L1,2.5777674,0.30226034,0.009944093212168095,1.0,0.9363636363636364
PAIP2,2.5676708,0.45104355,0.01023843441898794,1.0,0.6272727272727273
PDS5A,2.564909,0.4430546,0.0103202846488383,1.0,0.5727272727272728
NDUFAF2,2.5615237,0.3490162,0.010421411303801064,1.0,0.7090909090909091
SFSWAP,2.5326297,0.63434905,0.011321044126116559,1.0,0.5
CERS2,2.5298383,0.7341103,0.011411506616074832,1.0,0.38181818181818183
RFK,2.5291555,0.42275864,0.011433738530058534,1.0,0.6181818181818182
TOPORS,2.5197122,0.68013054,0.011745083081384715,1.0,0.39090909090909093
DLGAP4,2.5191479,0.5268926,0.011763921285695783,1.0,0.5545454545454546
UQCRH,2.5175443,0.1854701,0.01181760784772807,1.0,0.990909090909091
MSMO1,2.4761486,0.31357995,0.013280831046609997,1.0,0.8818181818181818
TRIR,2.474248,0.27487528,0.013351697163772134,1.0,0.8090909090909091
BHLHE40,2.452689,0.52925307,0.014179290222003739,1.0,0.5181818181818182
PRRC2C,2.4525404,0.2935925,0.014185143432804461,1.0,0.9727272727272728
POLM,2.4298232,0.99085045,0.01510618940591717,1.0,0.3
PFDN4,2.414411,0.3445772,0.015760667485837956,1.0,0.7545454545454545
AHNAK2,2.40963,0.49635476,0.015968700970222852,1.0,0.5818181818181818
TMEM161B-AS1,2.4028594,0.5906108,0.0162674367754902,1.0,0.42727272727272725
SERPINE1,2.39891,0.23055981,0.016443957860586448,1.0,1.0
RGS3,2.391961,0.5436502,0.01675861598415763,1.0,0.509090909090909
HNRNPU,2.3871207,0.3176383,0.016980912832650328,1.0,0.9363636363636364
PHLDA3,2.3742921,0.50948024,0.017582630151998714,1.0,0.5
WBP1,2.3713226,0.682199,0.01772455195343707,1.0,0.39090909090909093
DAP3,2.360335,0.42226,0.018258428556282718,1.0,0.6272727272727273
CHD4,2.3520799,0.3576039,0.0186687697438187,1.0,0.7363636363636363
MAPRE2,2.3397264,0.5127987,0.0192978728027701,1.0,0.4909090909090909
