names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SUCLG2,3.2405617,0.9334286,0.0011929443364125539,1.0,0.6521739130434783
MVD,3.0718946,0.9943271,0.0021270482994386105,1.0,0.5869565217391305
S100A10,2.975045,0.22560446,0.0029294566723060953,1.0,1.0
IAH1,2.9403138,0.79337853,0.003278799239877448,1.0,0.6739130434782609
EPS8L1,2.7657812,1.5409038,0.005678661650037369,1.0,0.41304347826086957
BFAR,2.7568214,0.8585828,0.005836622765230327,1.0,0.6086956521739131
HSF1,2.6888373,0.82025576,0.00717013717797892,1.0,0.5869565217391305
NCKAP1,2.6805701,0.633581,0.007349686071356603,1.0,0.7608695652173914
GOLM1,2.674566,0.68713146,0.007482602318037048,1.0,0.6739130434782609
SHC1,2.6681464,0.50723517,0.007627101429512664,1.0,0.782608695652174
GNA11,2.6375258,1.0961506,0.008351326422125048,1.0,0.45652173913043476
CHIC2,2.5959594,0.6786949,0.009432719770046082,1.0,0.6521739130434783
TMED7,2.5709271,0.75575876,0.010142663268263437,1.0,0.5869565217391305
SKIL,2.517676,0.7887641,0.011813190522338032,1.0,0.6304347826086957
SNHG25,2.5082543,0.6499777,0.012132929045322406,1.0,0.6956521739130435
GLT8D1,2.499156,0.81775343,0.012448951461324034,1.0,0.5869565217391305
POLR2J,2.489919,0.56805784,0.012777222094381051,1.0,0.8260869565217391
PSMB7,2.479712,0.58109206,0.013148849600044239,1.0,0.7608695652173914
SLMAP,2.443457,1.1795192,0.014547303472312369,1.0,0.41304347826086957
LY96,2.4406397,0.5571509,0.014661273607230955,1.0,0.8260869565217391
EIF5A,2.4387922,0.3609131,0.014736434725289608,1.0,1.0
DYNLT3,2.4219348,0.9210368,0.015438118541576569,1.0,0.5
OLA1,2.418933,0.506839,0.015566114685891908,1.0,0.782608695652174
CSNK2B,2.3655894,0.5625804,0.018001401866993533,1.0,0.8478260869565217
MRPL20,2.3566294,0.42867076,0.018441639990436007,1.0,0.8695652173913043
HMGCR,2.3539045,0.60836357,0.01857738234080845,1.0,0.6956521739130435
ARPC3,2.330258,0.31237918,0.019792526478979725,1.0,1.0
SRSF5,2.326748,0.56148195,0.019978691574360996,1.0,0.7391304347826086
CCNG1,2.3071654,0.45814,0.02104559984013441,1.0,0.782608695652174
TSNAX,2.3054104,0.8229017,0.021143599671440267,1.0,0.5217391304347826
NDUFB3,2.297836,0.48256522,0.021571120471262396,1.0,0.8695652173913043
RPS3A,2.263059,0.12251298,0.023632060637443244,1.0,1.0
WDFY1,2.2555308,0.7656322,0.024100035415661924,1.0,0.5217391304347826
NDUFA12,2.2479565,0.47253954,0.02457896932143761,1.0,0.8260869565217391
TRIAP1,2.2344704,0.7108878,0.0254521360260445,1.0,0.5869565217391305
SERPINE1,2.2218158,0.19173013,0.02629575819258778,1.0,0.9565217391304348
MPZL2,2.2154422,0.7089303,0.02672972322941679,1.0,0.6304347826086957
XRN2,2.215119,0.42049494,0.026751899815953207,1.0,0.9130434782608695
SEPTIN9,2.1984463,0.7247162,0.027917322442902147,1.0,0.5652173913043478
GNB4,2.194659,0.79366344,0.02818806293601448,1.0,0.5
EID1,2.179187,0.41653436,0.029317769206650707,1.0,0.9782608695652174
RB1CC1,2.1771088,0.5367458,0.02947244942358001,1.0,0.7391304347826086
CCS,2.1648698,0.7507756,0.030397655681941645,1.0,0.4782608695652174
TRIML2,2.1557252,0.732403,0.031105127732289226,1.0,0.5217391304347826
JAM3,2.1521227,1.095068,0.031387683936634395,1.0,0.3695652173913043
NUDT3,2.1450565,0.5836456,0.03194832881993082,1.0,0.6739130434782609
BMS1,2.120163,0.8065776,0.03399231285888109,1.0,0.4782608695652174
OGFOD3,2.116976,0.7948329,0.03426187546075253,1.0,0.4782608695652174
CNDP2,2.1131427,0.95134676,0.034588550375468693,1.0,0.41304347826086957
MED15,2.111711,1.0125736,0.03471124208794304,1.0,0.3695652173913043
NELFB,2.1033516,1.069015,0.035435048496672145,1.0,0.3695652173913043
GPKOW,2.0791044,1.1084507,0.037607745511558946,1.0,0.34782608695652173
TAGLN2,2.0780885,0.21909133,0.03770121377448458,1.0,1.0
DDX52,2.074486,0.55253935,0.038034195391783515,1.0,0.6521739130434783
ANAPC5,2.0707912,0.47271636,0.03837830976196497,1.0,0.717391304347826
C1orf122,2.057998,0.50515443,0.039590323091576785,1.0,0.6956521739130435
GSTP1,2.055227,0.21189798,0.03985709103689471,1.0,1.0
PCBD1,2.0448816,0.36334127,0.040866540301460946,1.0,0.8043478260869565
POLR2G,2.0428493,0.48185578,0.04106735010222138,1.0,0.7608695652173914
NTHL1,2.0354598,0.714055,0.04180462902503295,1.0,0.5
TSPO,2.0341206,0.20664057,0.041939453216954366,1.0,1.0
MTERF3,2.0190642,1.4742719,0.04348054985260509,1.0,0.2826086956521739
CD55,2.014769,0.3444547,0.0439288605973554,1.0,1.0
GPX8,2.013753,0.50187737,0.044035481546197304,1.0,0.6304347826086957
TRIM28,2.007518,0.5429118,0.04469454069709951,1.0,0.5869565217391305
NAT14,1.998558,0.8393232,0.045656188795868885,1.0,0.45652173913043476
PFKP,1.9971726,0.3659681,0.04580644257370183,1.0,0.8043478260869565
TATDN1,1.9954175,0.55949193,0.045997361835421635,1.0,0.6304347826086957
SMIM13,1.9938473,1.0032588,0.04616875201028302,1.0,0.34782608695652173
TSPAN4,1.9905682,0.4044256,0.04652838948721616,1.0,0.7391304347826086
CST3,1.9877509,0.24845994,0.046839254307274356,1.0,1.0
LUZP1,1.9873352,0.5174983,0.04688526721792447,1.0,0.717391304347826
COPS4,1.987058,0.6323095,0.04691596361540199,1.0,0.5434782608695652
DUSP4,1.987058,0.7836902,0.04691596361540199,1.0,0.4782608695652174
HSPG2,1.98655,0.19682488,0.046972284260565426,1.0,0.9782608695652174
FAM120A,1.9782368,0.40423512,0.0479020052517749,1.0,0.782608695652174
IL13RA2,1.977544,0.38968495,0.04798017526662496,1.0,0.8478260869565217
CHCHD10,1.9749115,0.37654936,0.0482781996026698,1.0,0.9565217391304348
CLSTN1,1.9732026,0.52845114,0.04847248510254126,1.0,0.6956521739130435
PEMT,1.9697849,0.6910229,0.04886302639118414,1.0,0.4782608695652174
