names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SF1,3.962202,0.7688721,7.426166270090146e-05,1.0,0.7571428571428571
LY6E,3.1292124,0.5459179,0.0017527559227149465,1.0,0.7571428571428571
KMT2A,2.8737154,0.59447575,0.004056743947347024,1.0,0.7142857142857143
DYNLT1,2.740008,0.3389424,0.006143766417816341,1.0,0.9285714285714286
LAMC1,2.7120264,0.37108138,0.006687327176617537,1.0,0.9285714285714286
CBX1,2.629538,0.5691955,0.0085500952081948,1.0,0.6857142857142857
TUSC2,2.624943,0.64464927,0.008666348447009928,1.0,0.5857142857142857
TMEM131,2.613698,1.0341007,0.008956818088480487,1.0,0.4
GLRX3,2.527063,0.60342145,0.011502091921810951,1.0,0.5571428571428572
LIPA,2.515631,0.87255746,0.01188194966264428,1.0,0.44285714285714284
EIF2B3,2.4754703,0.67261994,0.01330608249478364,1.0,0.4857142857142857
MALAT1,2.4410255,0.19154279,0.014645621617092633,1.0,1.0
UBE2H,2.4397552,0.4438095,0.014697214617666876,1.0,0.7714285714285715
HEBP1,2.4357579,0.58792067,0.014860627710615616,1.0,0.6
GRSF1,2.4276884,0.6629231,0.015195393382887038,1.0,0.6
TNRC18,2.4078135,1.1050339,0.016048377741771726,1.0,0.34285714285714286
RAB11A,2.3796449,0.32259157,0.017329327048386422,1.0,0.9428571428571428
TGM2,2.3717248,0.21760541,0.017705269772735763,1.0,1.0
TCF25,2.3671298,0.33494303,0.017926648142830917,1.0,0.8
CKLF,2.364141,0.46783006,0.018071932185384908,1.0,0.7285714285714285
NUDT8,2.3534937,0.6524959,0.01859792037415894,1.0,0.5
DPYSL2,2.3328342,0.33002293,0.019656842436489214,1.0,0.9285714285714286
RCN1,2.3326476,0.31634888,0.01966665217433968,1.0,0.9714285714285714
TBCA,2.3323114,0.30461383,0.019684320477192124,1.0,1.0
SEC63,2.3187873,0.49541917,0.020406566371161262,1.0,0.6
MYL6B,2.3130715,0.45797873,0.020718707988008928,1.0,0.6857142857142857
PRAG1,2.2800462,0.87104326,0.022604942164775495,1.0,0.38571428571428573
POLR2A,2.2706692,0.6885978,0.02316700828142946,1.0,0.5285714285714286
CRBN,2.2587519,0.7879132,0.023898829637557285,1.0,0.42857142857142855
SELENOW,2.2438457,0.20994192,0.02484233677092762,1.0,1.0
ARHGDIB,2.2256892,0.23125847,0.026035005296772377,1.0,0.9285714285714286
RBL2,2.2254276,0.9228585,0.026052539135725354,1.0,0.34285714285714286
CORO1C,2.2252784,0.6257278,0.026062563054805903,1.0,0.5285714285714286
HNRNPAB,2.2114928,0.23895636,0.02700172522579173,1.0,0.8857142857142857
NEDD8,2.197857,0.22463487,0.027959305295587218,1.0,0.9857142857142858
GOLGA3,2.1889656,0.7920022,0.02859934782985513,1.0,0.4142857142857143
PTPRK,2.1677456,0.73003477,0.030178041333558732,1.0,0.44285714285714284
ATP6V1E1,2.1483939,0.4507383,0.031682483612671,1.0,0.6571428571428571
FKBP14,2.1289673,0.47744676,0.033256971847401985,1.0,0.6
PLEKHA1,2.1185067,0.52692497,0.034132173172946235,1.0,0.6142857142857143
ARCN1,2.1113338,0.46456876,0.034743625262686526,1.0,0.6142857142857143
HSPG2,2.1002758,0.2171739,0.035704599749739906,1.0,1.0
ZPR1,2.0999768,0.9225627,0.03573088358805213,1.0,0.38571428571428573
FN1,2.076478,0.30590928,0.037849756155463,1.0,0.9428571428571428
DPM3,2.062431,0.42304638,0.03916670473639276,1.0,0.6571428571428571
SNTB2,2.0601523,0.39271402,0.03938398553825282,1.0,0.7714285714285715
CCDC92,2.0565658,0.95214486,0.03972800790571997,1.0,0.35714285714285715
MAP3K20,2.0555198,0.521127,0.03982882686172419,1.0,0.6285714285714286
ZC3H7A,2.0526805,0.7822465,0.04010357325352243,1.0,0.4142857142857143
PDGFB,2.048459,0.37308764,0.04051504889282386,1.0,0.7
RHOJ,2.0315728,0.5184196,0.04219692488563304,1.0,0.5571428571428572
DNAJC12,2.0273886,0.43010262,0.042622687935779814,1.0,0.6
FKBP1A,2.0139768,0.13055663,0.044011972226888046,1.0,1.0
HMGN3,2.0106144,0.3151388,0.0443661935812603,1.0,0.7571428571428571
IFI27L2,2.009008,0.4399333,0.044536280149526236,1.0,0.6
MYADM,2.0003781,0.24095345,0.04545944479873361,1.0,0.9857142857142858
NDUFS8,1.9987718,0.22380196,0.04563305771519941,1.0,0.8142857142857143
BMPR2,1.9918977,0.391074,0.0463822825010066,1.0,0.7285714285714285
GUK1,1.9912626,0.24595593,0.0464520239890799,1.0,0.9857142857142858
PXDC1,1.9853972,0.9706156,0.04710028914916342,1.0,0.3142857142857143
HADHA,1.9733677,0.2795111,0.04845368118795435,1.0,0.9
MT-ATP8,1.9723216,0.35343423,0.048572895673190175,1.0,0.7285714285714285
APP,1.9721723,0.25264078,0.04858994640392743,1.0,1.0
AHSA1,1.96485,0.4695791,0.049431610403029215,1.0,0.5571428571428572
ADAR,1.9639533,0.47452825,0.04953550686258428,1.0,0.5857142857142857
TMEM147,1.9602548,0.27236313,0.049966017949206944,1.0,0.7857142857142857
HAUS1,1.9570045,0.62400335,0.05034693133288975,1.0,0.42857142857142855
LOXL2,1.9530818,0.17822729,0.050809892367748424,1.0,0.9285714285714286
ATF7IP,1.9508777,0.6282268,0.051071593511184864,1.0,0.45714285714285713
SENP7,1.9446388,1.1365073,0.051818466373645074,1.0,0.2714285714285714
PRKAR1A,1.9428456,0.39219052,0.05203481958039832,1.0,0.6857142857142857
TP53I11,1.9364198,0.6232055,0.05281629948968709,1.0,0.42857142857142855
LNPEP,1.9270428,0.56788605,0.053974297268599855,1.0,0.4857142857142857
