names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ITGA3,3.4293497,0.66423213,0.0006050296138041887,1.0,0.7411764705882353
GANAB,3.2755032,0.62292516,0.0010547397434651391,1.0,0.7294117647058823
FLNB,3.2737424,0.4475411,0.0010613328495566222,1.0,0.8941176470588236
ITGA6,3.1325247,0.4647323,0.001733098971009842,1.0,0.8352941176470589
RBM25,3.1076734,0.47303054,0.0018856625528373843,1.0,0.788235294117647
TMEM30A,3.1060483,0.42314082,0.0018960569427901378,1.0,0.8941176470588236
TRIOBP,2.8939676,0.44619185,0.0038040736883895726,1.0,0.8
PTPN12,2.8391192,0.604487,0.00452382587139213,1.0,0.6235294117647059
HMGA1,2.8164687,0.23998402,0.004855476125448695,1.0,0.9764705882352941
XIST,2.8004882,0.3614257,0.00510253662140848,1.0,0.9882352941176471
KAT6A,2.7905004,0.68121976,0.005262663447165806,1.0,0.5529411764705883
TLE5,2.774757,0.43824524,0.005524299054007128,1.0,0.9058823529411765
FAM126A,2.7364306,0.5665815,0.006210968480448816,1.0,0.6470588235294118
PANK3,2.7151346,0.7389479,0.006624884914549779,1.0,0.49411764705882355
SARS,2.6705787,0.34727898,0.00757206339132214,1.0,0.9058823529411765
BAX,2.6546996,0.33281374,0.00793790477631055,1.0,0.9411764705882353
GBA2,2.5925043,1.2267945,0.009528001522748904,1.0,0.3176470588235294
ARHGDIB,2.575271,0.27220207,0.010016158716504754,1.0,0.9529411764705882
TPM4,2.5356243,0.23043095,0.011224707941317226,1.0,0.9882352941176471
FAM214B,2.5341008,1.1363729,0.011273631336869115,1.0,0.3058823529411765
CDK6,2.5312228,0.69239926,0.011366559049289406,1.0,0.5058823529411764
IGF2BP2,2.5272617,0.42375377,0.011495583380231515,1.0,0.7176470588235294
VEPH1,2.5002775,0.49814326,0.01240960483436947,1.0,0.6352941176470588
DBN1,2.4220338,0.49611297,0.01543391409572114,1.0,0.5882352941176471
C6orf62,2.4205103,0.5001318,0.015498742287142651,1.0,0.6705882352941176
ZMYND8,2.4131632,0.46516293,0.015814733694096743,1.0,0.6941176470588235
CDK5RAP2,2.4059517,1.081489,0.016130396847970907,1.0,0.29411764705882354
YWHAH,2.40067,0.36824235,0.01636508714526376,1.0,0.8705882352941177
SNX5,2.3955238,0.47524962,0.01659664001169363,1.0,0.7058823529411765
BTBD6,2.3945081,1.0188437,0.01664267969983043,1.0,0.3058823529411765
ADD1,2.3796787,0.55501986,0.017327743140877993,1.0,0.5529411764705883
PREX1,2.352559,0.71079457,0.018644726907692068,1.0,0.47058823529411764
