names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
EIF4E2,3.321034,0.5158392,0.0008968462200040192,1.0,0.7247706422018348
NARS,3.2631257,0.46316627,0.0011019067024281477,1.0,0.8440366972477065
TAF12,3.2460902,0.7672767,0.0011700175127721574,1.0,0.4954128440366973
SYF2,3.1686106,0.41393396,0.0015316947386287488,1.0,0.7614678899082569
SLIRP,3.1597795,0.3854622,0.0015788851406400735,1.0,0.908256880733945
RPS21,3.1288414,0.12141176,0.0017549696920568399,1.0,1.0
STMP1,3.0676215,0.33987516,0.0021576972768933564,1.0,0.8990825688073395
DCXR,3.0066104,0.45440307,0.0026417813164105295,1.0,0.7064220183486238
TXNL4A,2.9348888,0.3354822,0.003336673114733407,1.0,0.8440366972477065
KIF13A,2.917197,0.6773339,0.003531926216549455,1.0,0.5137614678899083
RPS27L,2.8519197,0.18490621,0.004345609449652071,1.0,1.0
FAU,2.793892,0.11279684,0.0052077888322022235,1.0,1.0
TXN,2.7365801,0.20154615,0.006208146016803669,1.0,0.981651376146789
THOC7,2.6900089,0.3890091,0.007145011952288052,1.0,0.7339449541284404
SAT1,2.677389,0.3849704,0.007419844084901146,1.0,0.7247706422018348
PRELID3B,2.6013114,0.56055486,0.00928680795950083,1.0,0.5412844036697247
ESF1,2.5944796,0.41853285,0.009473427083475195,1.0,0.6972477064220184
MICOS13,2.5519357,0.2749453,0.01071262650678089,1.0,0.9174311926605505
MYCT1,2.5514286,0.51740235,0.010728230697613722,1.0,0.5229357798165137
RPL12,2.5343037,0.08397426,0.011267103286222005,1.0,1.0
PNPLA8,2.5337667,0.62869745,0.011284383665740161,1.0,0.44954128440366975
FERMT3,2.5329015,0.43243232,0.011312273779570413,1.0,0.7339449541284404
INTS6,2.5310817,0.7223651,0.011371139039603236,1.0,0.42201834862385323
TMCO1,2.4904473,0.36237463,0.012758241594738321,1.0,0.7247706422018348
AASDHPPT,2.4594197,0.5318339,0.013916185049459913,1.0,0.4954128440366973
ATP5MC1,2.413087,0.29383722,0.01581804419366683,1.0,0.9541284403669725
GANAB,2.3811345,0.4012061,0.017259411052480328,1.0,0.6605504587155964
GHITM,2.3809853,0.37662202,0.017266401761333632,1.0,0.8073394495412844
NDUFS7,2.3766594,0.31195065,0.017470215536122588,1.0,0.8348623853211009
MRPL52,2.3393664,0.20889167,0.019316476510568732,1.0,0.8807339449541285
SLC35F2,2.3166924,0.72199047,0.020520494681132623,1.0,0.3669724770642202
NME4,2.3117995,0.27103513,0.020788731610028227,1.0,0.8715596330275229
KRT18,2.3111134,0.21298993,0.020826593531420325,1.0,0.981651376146789
DNAL1,2.2907963,0.9838393,0.021975202353960235,1.0,0.27522935779816515
RAD51C,2.274238,0.7706064,0.022951669302891487,1.0,0.3577981651376147
CHCHD1,2.263677,0.35898563,0.023593997364685187,1.0,0.6697247706422018
PSMG4,2.2587543,0.3725035,0.023898679454474735,1.0,0.6422018348623854
IFITM2,2.2580383,0.16301277,0.023943279922720467,1.0,0.9908256880733946
SLC39A10,2.2552338,0.4061069,0.024118660842930306,1.0,0.6146788990825688
SNW1,2.2443442,0.3937394,0.024810261892126265,1.0,0.6146788990825688
POLR2K,2.2116458,0.29922566,0.026991145050750218,1.0,0.7798165137614679
ATF7,2.2010546,0.63258094,0.027732153648426572,1.0,0.3761467889908257
MRPL20,2.186943,0.26190904,0.028746681507746372,1.0,0.8623853211009175
PPP1CB,2.164985,0.3273851,0.030388832928663404,1.0,0.7064220183486238
MICA,2.1387606,0.3178636,0.0324550560712101,1.0,0.6697247706422018
LXN,2.1299894,0.33025602,0.033172489291757826,1.0,0.908256880733945
