names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
BZW1,4.032254,0.38954854,5.524436461337604e-05,1.0,0.9405940594059405
IDH2,3.5967667,0.8641399,0.0003221973392700529,1.0,0.5247524752475248
HMGA1,3.5330608,0.33398333,0.00041077782876451483,1.0,1.0
ELOVL1,3.4894843,0.64591837,0.00048395362662387954,1.0,0.6336633663366337
CD55,3.3872883,0.3313351,0.0007058715077658762,1.0,0.9702970297029703
TCP1,3.37634,0.62228847,0.0007345710233490924,1.0,0.7227722772277227
LMAN2,3.3418818,0.49895176,0.0008321249328739552,1.0,0.8316831683168316
SMAD5,3.3007863,0.5167064,0.0009641427683500877,1.0,0.7425742574257426
TAF15,3.235778,0.7939355,0.0012131169723055319,1.0,0.504950495049505
SSB,3.1104445,0.47909358,0.0018680591640574903,1.0,0.8613861386138614
XPC,3.1077464,0.4909741,0.0018851983429013538,1.0,0.6732673267326733
MSANTD3,3.0865626,0.6431821,0.002024852072104081,1.0,0.5643564356435643
TCEA1,3.0526319,0.33427784,0.0022684404167785193,1.0,0.9306930693069307
PTPN1,3.0416834,0.5057425,0.0023525918652180164,1.0,0.7623762376237624
TUBB4B,3.0214612,0.52288264,0.0025155775028216677,1.0,0.801980198019802
STARD7,3.0024798,0.61818796,0.0026778964888200035,1.0,0.5445544554455446
MYH9,2.9911592,0.4159932,0.0027792049231391705,1.0,0.8613861386138614
NDUFA5,2.902176,0.4976856,0.0037058027422654676,1.0,0.693069306930693
SSR1,2.8777668,0.3887121,0.004005010104499244,1.0,0.7920792079207921
CEP170,2.819675,0.37691644,0.004807231751300525,1.0,0.7920792079207921
DEGS1,2.78928,0.52015865,0.005282540042156983,1.0,0.6039603960396039
ATP13A3,2.7832317,0.5249688,0.00538203357440658,1.0,0.6039603960396039
PLP2,2.7825494,0.36722794,0.005393364048654429,1.0,0.8613861386138614
ENO1,2.773586,0.23984744,0.005544218050847697,1.0,1.0
SKP1,2.7648396,0.29769266,0.005695078007926972,1.0,0.9900990099009901
BAG6,2.7473469,0.7384272,0.006007953929155368,1.0,0.42574257425742573
OGA,2.7463233,0.5327343,0.006026731245115826,1.0,0.5643564356435643
SEC23IP,2.74561,0.7570224,0.006039849714496964,1.0,0.40594059405940597
COPS6,2.7102835,0.33549747,0.0067225715481001825,1.0,0.8514851485148515
GTF3C6,2.7043595,0.40535048,0.006843618829958371,1.0,0.7623762376237624
POLR3GL,2.695117,0.4684889,0.007036392348509734,1.0,0.6534653465346535
GINM1,2.6919844,0.42007464,0.0071028263452987865,1.0,0.7920792079207921
DUSP1,2.6758564,0.7602413,0.007453857577858265,1.0,0.4158415841584158
YIF1B,2.6407778,0.61211866,0.008271591437826539,1.0,0.4752475247524752
TPM3,2.6402817,0.22817554,0.008283714183049008,1.0,1.0
MRPL11,2.6253324,0.46062228,0.008656445040662436,1.0,0.7029702970297029
WAPL,2.618912,0.64121646,0.008821068386236152,1.0,0.43564356435643564
HP1BP3,2.6178885,0.3782723,0.008847569619425137,1.0,0.8514851485148515
ME1,2.6172993,0.4245938,0.008862860149236734,1.0,0.7623762376237624
USP14,2.6140738,0.38875937,0.008946974664378646,1.0,0.7623762376237624
BSG,2.609049,0.32106727,0.00907941993492041,1.0,0.9702970297029703
NPM1,2.6075604,0.205478,0.009118997727128124,1.0,1.0
EXOC1,2.586718,0.56443906,0.009689484379232506,1.0,0.5544554455445545
WDR34,2.586315,0.7067145,0.009700827475215156,1.0,0.4158415841584158
TPM1,2.576483,0.2624971,0.009981112768115256,1.0,0.9306930693069307
EFTUD2,2.5669613,0.6043675,0.010259408756891884,1.0,0.48514851485148514
MAZ,2.5618436,0.47226164,0.010411817369664102,1.0,0.6336633663366337
TOMM40,2.5610993,0.6986308,0.010434152916041979,1.0,0.44554455445544555
LAMC1,2.560882,0.30019006,0.010440675475819356,1.0,0.9306930693069307
SNCG,2.556354,0.36029634,0.01057754686248697,1.0,0.8217821782178217
CLIC1,2.546739,0.26418355,0.010873467758400413,1.0,0.9900990099009901
LEO1,2.542459,0.7067152,0.011007550776029433,1.0,0.4158415841584158
RRP36,2.5139248,0.47351775,0.011939588140735936,1.0,0.5841584158415841
RBM42,2.510265,0.6073982,0.012064058883981764,1.0,0.44554455445544555
LDLR,2.500123,0.3438599,0.012415020856690927,1.0,0.7227722772277227
GFPT2,2.492245,0.52089936,0.012693842987254627,1.0,0.5247524752475248
SNX3,2.482289,0.2763695,0.013054132302524822,1.0,0.9504950495049505
HNRNPA3,2.4814827,0.30830896,0.013083706771176,1.0,0.9108910891089109
