source,target,stmt_type,english_stmt,belief,evidence_count,logfoldchange,pval,stmt_hash,source_counts
PVT1,FN1,IncreaseAmount,,0.6163664161553967,1,-0.47435996,0.00011333385192,-14904944620156864,{'medscan': 1}
PVT1,SERPINE1,IncreaseAmount,,0.6163664161553967,1,-0.35493845,7.112233536471432e-06,-27743026249076673,{'medscan': 1}
CSDE1,RAC1,IncreaseAmount,,0.5256427349609928,4,0.16537592,0.0294468495371188,-25645615493938504,{'reach': 4}
CSDE1,RAC1,DecreaseAmount,,0.47385749870081684,1,0.16537592,0.0294468495371188,-34341976664041002,{'reach': 1}
CSDE1,PTPN2,IncreaseAmount,,0.47153156304100474,2,-0.73822683,0.0478227782520427,-27740027292662210,{'reach': 2}
CSDE1,FN1,IncreaseAmount,,0.48445268803510766,1,-0.27422726,0.025162343036664,-18997085929488529,{'reach': 1}
CSDE1,PABPC1,DecreaseAmount,,0.47385749870081684,1,-0.32858723,6.755759077935938e-06,-11811464155929539,{'reach': 1}
PROX1,BAX,IncreaseAmount,,0.48445268803510766,1,0.15473251,0.0435136451155725,-15480010138667371,{'reach': 1}
PROX1,ANXA1,DecreaseAmount,,0.5034580088219961,4,-0.08652544,0.0496111221938101,19694836830544358,{'reach': 4}
PROX1,VIM,DecreaseAmount,,0.47385749870081684,1,-0.049339272,0.0467411591949621,-4143294349061533,{'reach': 1}
PROX1,VIM,IncreaseAmount,,0.48445268803510766,1,-0.049339272,0.0467411591949621,3959476463739558,{'reach': 1}
GTF3A,ANP32A,DecreaseAmount,,0.6301266297471854,1,0.38180038,0.0171418351315564,-10410448585491659,{'pc': 1}
GTF3A,PTMA,DecreaseAmount,,0.6301266297471854,1,0.09839852,0.0368924168442203,-7545618500777385,{'pc': 1}
GTF3A,MGLL,DecreaseAmount,,0.6301266297471854,1,-0.35006994,0.0418226534186809,-20986808558059995,{'pc': 1}
GTF3A,PPP1CA,DecreaseAmount,,0.6301266297471854,1,-0.321554,0.0253984248018205,-10881776416768266,{'pc': 1}
GTF3A,RRAS,DecreaseAmount,,0.6301266297471854,1,-0.26408368,0.0142071010922093,-35925540203993842,{'pc': 1}
GTF3A,MGAT4B,DecreaseAmount,,0.6301266297471854,1,-0.6079954,0.0128373521988502,6440689149294372,{'pc': 1}
GTF3A,USP48,DecreaseAmount,,0.6301266297471854,1,-0.4849001,0.0041689339895972,-26384250980585738,{'pc': 1}
GTF3A,IGFBP7,DecreaseAmount,,0.6301266297471854,1,-0.26380828,0.0027979962465261,-34093325353799658,{'pc': 1}
SMAD3,TXNDC12,DecreaseAmount,,0.6301266297471854,1,0.40882954,0.0053312003876884,-23593633653514190,{'pc': 1}
SMAD3,VIM,DecreaseAmount,,0.6214439452818142,1,0.05458241,0.0148957174021581,31386878527394632,{'medscan': 1}
SMAD3,VIM,DecreaseAmount,,0.47385749870081684,1,0.05458241,0.0148957174021581,-26467108137241833,{'reach': 1}
SMAD3,VIM,IncreaseAmount,,0.47153156304100474,2,0.05458241,0.0148957174021581,-2929776564166969,{'reach': 2}
SMAD3,VIM,IncreaseAmount,,0.4922809406747177,5,0.05458241,0.0148957174021581,18865310537312744,{'reach': 5}
SMAD3,SPOP,DecreaseAmount,,0.4684848027297138,2,0.30405352,0.0191538988875915,-27593494774639898,{'reach': 2}
SMAD3,CCBE1,DecreaseAmount,,0.47385749870081684,1,0.29945764,0.02321733521116,-13240481048302550,{'reach': 1}
