perturbation,total_targets,explained_1hop,explained_2hop,explained_3hop,explained_1hop_excl,explained_2hop_excl,explained_3hop_excl,total_explained,coverage_1hop,coverage_2hop,coverage_3hop,coverage_total,unexplained
AAGAB,210,0,10,202,0,10,192,202,0.0,4.761904761904762,96.19047619047619,96.19047619047619,8
ABCA5,125,0,24,124,0,24,100,124,0.0,19.2,99.2,99.2,1
ABCG4,152,0,40,150,0,40,110,150,0.0,26.31578947368421,98.68421052631578,98.68421052631578,2
ABHD16A,179,0,45,177,0,45,132,177,0.0,25.139664804469277,98.88268156424581,98.88268156424581,2
ABHD17C,168,0,8,0,0,8,0,8,0.0,4.761904761904762,0.0,4.761904761904762,160
ABHD2,123,0,70,120,0,70,50,120,0.0,56.91056910569105,97.5609756097561,97.5609756097561,3
ACAD11,221,0,39,219,0,39,180,219,0.0,17.647058823529413,99.09502262443439,99.09502262443439,2
ACCS,160,0,30,153,0,30,123,153,0.0,18.75,95.625,95.625,7
ACOT8,147,0,59,147,0,59,88,147,0.0,40.136054421768705,100.0,100.0,0
ACSS2,138,0,98,136,0,98,38,136,0.0,71.01449275362319,98.55072463768117,98.55072463768117,2
ACTG1,181,3,115,179,3,112,64,179,1.6574585635359116,63.53591160220995,98.89502762430939,98.89502762430939,2
ADAMTS10,128,0,27,127,0,27,100,127,0.0,21.09375,99.21875,99.21875,1
ADAMTS7,132,0,51,0,0,51,0,51,0.0,38.63636363636363,0.0,38.63636363636363,81
AGAP2,142,0,91,139,0,91,48,139,0.0,64.08450704225352,97.88732394366197,97.88732394366197,3
AGAP3,148,0,53,146,0,53,93,146,0.0,35.810810810810814,98.64864864864865,98.64864864864865,2
AGER,162,2,159,160,2,157,1,160,1.2345679012345678,98.14814814814815,98.76543209876543,98.76543209876543,2
AGPAT1,183,0,140,181,0,140,41,181,0.0,76.50273224043715,98.90710382513662,98.90710382513662,2
AGPAT4,157,0,33,155,0,33,122,155,0.0,21.019108280254777,98.72611464968153,98.72611464968153,2
AGTRAP,149,1,47,146,1,47,99,147,0.6711409395973155,31.543624161073826,97.98657718120806,98.65771812080537,2
AKAP12,147,0,103,147,0,103,44,147,0.0,70.06802721088435,100.0,100.0,0
ALKBH3,126,0,45,123,0,45,78,123,0.0,35.714285714285715,97.61904761904762,97.61904761904762,3
ALS2CL,128,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,128
AMT,191,0,133,191,0,133,58,191,0.0,69.63350785340315,100.0,100.0,0
AP1G1,152,0,35,148,0,35,113,148,0.0,23.026315789473685,97.36842105263158,97.36842105263158,4
APH1A,145,1,66,143,1,65,77,143,0.6896551724137931,45.51724137931035,98.62068965517241,98.62068965517241,2
ARG2,164,0,69,163,0,69,94,163,0.0,42.073170731707314,99.39024390243902,99.39024390243902,1
ARHGAP26,141,1,49,139,1,48,90,139,0.7092198581560284,34.751773049645394,98.58156028368793,98.58156028368793,2
ARL4A,174,0,79,172,0,79,93,172,0.0,45.40229885057471,98.85057471264368,98.85057471264368,2
ARNT,227,13,217,224,13,204,7,224,5.726872246696035,95.59471365638767,98.6784140969163,98.6784140969163,3
ARPC2,306,1,114,303,1,113,189,303,0.32679738562091504,37.254901960784316,99.01960784313727,99.01960784313727,3
ATP6V0E2,155,0,1,135,0,1,134,135,0.0,0.6451612903225806,87.09677419354838,87.09677419354838,20
ATXN7L2,144,0,2,114,0,2,112,114,0.0,1.3888888888888888,79.16666666666666,79.16666666666666,30
B3GNT8,184,0,10,0,0,10,0,10,0.0,5.434782608695652,0.0,5.434782608695652,174
BABAM1,127,0,34,127,0,34,93,127,0.0,26.77165354330709,100.0,100.0,0
BAG6,171,0,112,171,0,112,59,171,0.0,65.49707602339181,100.0,100.0,0
BLOC1S3,130,0,3,117,0,3,114,117,0.0,2.307692307692308,90.0,90.0,13
BMPER,169,1,83,169,1,82,86,169,0.591715976331361,49.112426035502956,100.0,100.0,0
BOLA1,148,0,15,145,0,15,130,145,0.0,10.135135135135135,97.97297297297297,97.97297297297297,3
C18orf32,136,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,136
C1orf54,122,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122
CALCOCO1,187,0,148,185,0,148,37,185,0.0,79.14438502673798,98.93048128342245,98.93048128342245,2
CARD8,146,1,42,145,1,41,103,145,0.684931506849315,28.767123287671232,99.31506849315068,99.31506849315068,1
CCDC36,141,0,10,138,0,10,128,138,0.0,7.092198581560284,97.87234042553192,97.87234042553192,3
CCL2,130,4,127,128,4,124,1,129,3.076923076923077,97.6923076923077,98.46153846153847,99.23076923076923,1
CCRL2,172,0,79,170,0,79,91,170,0.0,45.93023255813954,98.83720930232558,98.83720930232558,2
CD40,140,0,134,139,0,134,5,139,0.0,95.71428571428572,99.28571428571429,99.28571428571429,1
CDCA2,145,0,59,145,0,59,86,145,0.0,40.689655172413794,100.0,100.0,0
CDH13,137,1,116,136,1,115,20,136,0.7299270072992701,84.67153284671532,99.27007299270073,99.27007299270073,1
CDKN2B,203,3,158,202,3,155,44,202,1.477832512315271,77.83251231527095,99.50738916256158,99.50738916256158,1
CEP41,198,0,58,196,0,58,138,196,0.0,29.292929292929294,98.98989898989899,98.98989898989899,2
CHUK,228,1,208,227,1,207,19,227,0.43859649122807015,91.22807017543859,99.56140350877193,99.56140350877193,1
CLDN1,166,0,157,166,0,157,9,166,0.0,94.57831325301204,100.0,100.0,0
CLIC1,170,1,109,169,1,108,60,169,0.5882352941176471,64.11764705882354,99.41176470588235,99.41176470588235,1
CNPY3,175,0,51,172,0,51,121,172,0.0,29.142857142857142,98.28571428571429,98.28571428571429,3
COASY,135,0,34,135,0,34,101,135,0.0,25.185185185185183,100.0,100.0,0
COG2,149,0,44,148,0,44,104,148,0.0,29.53020134228188,99.32885906040269,99.32885906040269,1
COLGALT1,177,0,34,176,0,34,142,176,0.0,19.2090395480226,99.43502824858757,99.43502824858757,1
CPNE5,158,0,7,142,0,7,135,142,0.0,4.430379746835443,89.87341772151899,89.87341772151899,16
CREB1,133,17,122,132,17,105,10,132,12.781954887218044,91.72932330827066,99.24812030075188,99.24812030075188,1
CSDE1,322,3,182,320,3,181,137,321,0.9316770186335404,56.52173913043478,99.37888198757764,99.68944099378882,1
CTNND1,173,2,141,170,2,140,29,171,1.1560693641618496,81.5028901734104,98.26589595375722,98.84393063583815,2
CUL9,138,0,40,138,0,40,98,138,0.0,28.985507246376812,100.0,100.0,0
CX3CL1,158,1,130,154,1,129,24,154,0.6329113924050633,82.27848101265823,97.46835443037975,97.46835443037975,4
CYB561D1,158,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,158
CYP2J2,148,0,108,148,0,108,40,148,0.0,72.97297297297297,100.0,100.0,0
CYTH3,134,0,79,132,0,79,53,132,0.0,58.95522388059702,98.50746268656717,98.50746268656717,2
DAP,145,0,83,143,0,83,60,143,0.0,57.24137931034483,98.62068965517241,98.62068965517241,2
DCUN1D5,152,0,12,151,0,12,139,151,0.0,7.894736842105263,99.3421052631579,99.3421052631579,1
DDX60L,130,0,13,126,0,13,113,126,0.0,10.0,96.92307692307692,96.92307692307692,4
DET1,194,0,103,192,0,103,89,192,0.0,53.09278350515464,98.96907216494846,98.96907216494846,2
DGCR6L,134,0,0,126,0,0,126,126,0.0,0.0,94.02985074626866,94.02985074626866,8
DGKA,150,1,128,149,1,127,21,149,0.6666666666666667,85.33333333333334,99.33333333333333,99.33333333333333,1
DHCR24,151,1,135,147,1,134,12,147,0.6622516556291391,89.40397350993378,97.35099337748345,97.35099337748345,4
DHODH,104,1,67,102,1,66,35,102,0.9615384615384616,64.42307692307693,98.07692307692307,98.07692307692307,2
DHTKD1,228,0,65,218,0,65,155,220,0.0,28.50877192982456,95.6140350877193,96.49122807017544,8
DKK1,140,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,140
DMRTA1,155,0,71,155,0,71,84,155,0.0,45.806451612903224,100.0,100.0,0
